F,Last,Pos,Cost
T,Tagovailoa,QB,6
J,Allen,QB,32
D,Prescott,QB,2
J,Herbert,QB,10
L,Jackson,QB,28
D,Watson,QB,6
P,Mahomes,QB,40
J,Hurts,QB,37
T,Etienne,RB,36
N,Chubb,RB,57
S,Barkley,RB,50
C,McCaffrey,RB,63
K,Walker,RB,29
T,Pollard,RB,50
N,Harris,RB,33
D,Henry,RB,50
R,Stevenson,RB,32
J,Taylor,RB,31
A,Jones,RB,29
A,Ekeler,RB,59
A,Mattison,RB,18
R,White,RB,12
D,Cook,RB,10
M,Sanders,RB,16
C,Kupp,WR,47
D,Moore,WR,18
S,Diggs,WR,49
D,Samuel,WR,18
J,Waddle,WR,35
D,Adams,WR,44
A,Brown,WR,40
D,Smith,WR,27
C,Watson,WR,13
M,Thomas,WR,6
B,Aiyuk,WR,16
J,Dotson,WR,10
K,Allen,WR,20
T,Higgins,WR,26
C,Ridley,WR,28
T,McLaurin,WR,13
M,Brown,WR,9
R,Bateman,WR,2
M,Evans,WR,12
C,Kirk,WR,14
D,London,WR,18
D,Metcalf,WR,26
D,Johnson,WR,9
J,Smith-Schuster,WR,4
E,Engram,TE,4
D,Njoku,TE,4
P,Freiermuth,TE,5
K,Pitts,TE,7
D,Goedert,TE,9
C,Okonkwo,TE,1
D,Waller,TE,17
T,Kelce,TE,42
J,Dobbins,RB,18
J,Jacobs,RB,41
I,Pacheco,RB,7
G,Pickens,WR,8
T,Lockett,WR,14
D,Montgomery,RB,17
J,Smith-Njigba,WR,6
T,Burks,WR,3
J,Tucker,K,4
J,Myers,K,1
G,Zuerlein,K,1
G,Gano,K,1
H,Butker,K,1
J,Sanders,K,1
D,Carlson,K,1
Y,Koo,K,1
S,49ers,DEF,4
M,Dolphins,DEF,1
N,Jets,DEF,2
N,Patriots,DEF,1
P,Eagles,DEF,2
W,Commanders,DEF,1
B,Bills,DEF,3
B,Ravens,DEF,1
A,Dillon,RB,8
A,Lazard,WR,2
M,Pittman,WR,10
S,Perine,RB,3
J,Addison,WR,8
Z,Flowers,WR,6
B,Cooks,WR,6
T,Allgeier,RB,1
A,Gibson,RB,4
D,Singletary,RB,1
K,Herbert,RB,7
J,Hyatt,WR,1
J,Cook,RB,12
B,Robinson,RB,4
G,Smith,WR,2
D,Mooney,WR,1
J,Fields,QB,17
T,Lawrence,QB,10
J,Burrow,QB,20
M,Ryan,QB,1
D,Swift,RB,13
R,Mostert,RB,2
J,Mixon,RB,35
B,Robinson,RB,50
J,Gibbs,RB,24
J,McKinnon,RB,1
D,Pierce,RB,26
B,Hall,RB,23
A,Brown,WR,46
J,Jefferson,WR,65
C,Olave,WR,33
G,Wilson,WR,38
C,Lamb,WR,39
J,Chase,WR,56
A,Cooper,WR,29
D,Hopkins,WR,20
C,Godwin,WR,14
T,Hill,WR,56
M,Williams,WR,11
J,Jeudy,WR,12
G,Kittle,TE,14
G,Dulcich,TE,1
T,Hockenson,TE,18
M,Andrews,TE,27
C,Akers,RB,11
V,Jefferson,WR,1
J,Williams,RB,8
J,Conner,RB,13
R,Patterson,K,1
T,Bass,K,1
E,McPherson,K,1
J,Elliott,K,1
G,Packers,DEF,1
D,Broncos,DEF,1
D,Cowboys,DEF,2
N,Saints,DEF,1
A,Kamara,RB,14
K,Gainwell,RB,1
G,Davis,WR,5
A,Rodgers,QB,6
A,Richardson,QB,2
R,Johnson,RB,1
O,Beckham,WR,4
A,Thielen,WR,2
