"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"68","B. Jarwin","B. Jarwin","TE","DAL","7","","injury-status","Final L 29-31 @ TB","112","211.7","-","-","-","57","-","590","4","-","-","-","-"
"69","D. Harty","D. Harty","WR","NO","6","Ques","injury-status questionable","Final W 38-3 vs GB","111","999.0","16","99","-","50","-","585","3","-","-","-","-"
"70","P. Lindsay","P. Lindsay","RB","MIA","14","","injury-status","Final W 17-16 @ NE","111","127.8","177","772","3","14","-","103","-","-","-","-","-"
"71","D. Arnold","D. Arnold","TE","JAX","7","","injury-status","Final L 21-37 @ HOU","110","999.0","-","-","-","55","-","582","4","-","-","-","-"
"72","L. Rountree","L. Rountree","RB","LAC","7","","injury-status","Final W 20-16 @ WAS","109","999.0","87","384","2","23","-","194","1","-","-","-","-"
"73","Washington. Commanders","Washington. Commanders","DEF","WAS","9","","injury-status","Final L 16-20 vs LAC","108","117.5","-","-","-","-","-","-","-","-","-","-","-"
"74","R. Higgins","R. Higgins","WR","CLE","13","","injury-status","Final L 29-33 @ KC","108","999.0","-","-","-","50","-","649","3","-","-","-","-"
"75","K. Cole","K. Cole","WR","NYJ","6","","injury-status","Final L 14-19 @ CAR","107","999.0","1","5","-","50","-","632","3","-","-","-","-"
"76","O. Howard","O. Howard","TE","TB","9","","injury-status","Final W 31-29 vs DAL","107","999.0","-","-","-","50","-","577","4","-","-","-","-"
"77","C. Sims","C. Sims","WR","WAS","9","Ques","injury-status questionable","Final L 16-20 vs LAC","106","999.0","3","17","-","48","-","585","4","-","-","-","-"
"78","S. Miller","S. Miller","WR","TB","9","","injury-status","Final W 31-29 vs DAL","106","999.0","-","-","-","46","-","649","3","-","-","-","-"
"79","G. Minshew","G. Minshew","QB","PHI","14","","injury-status","Final W 32-6 @ ATL","104","654.3","20","85","1","-","-","-","-","121","185","1286","11"
"80","T. Conklin","T. Conklin","TE","MIN","7","","injury-status","Final L 24-27 @ CIN","103","999.0","-","-","-","49","-","547","4","-","-","-","-"
"81","T. Billy-Johnson","T. Billy-Johnson","WR","LV","8","","injury-status","Final W 33-27 vs BAL","103","999.0","3","20","-","44","-","610","3","-","-","-","-"
"82","A. Trautman","A. Trautman","TE","NO","6","","injury-status","Final W 38-3 vs GB","102","207.3","-","-","-","51","-","521","4","-","-","-","-"
"83","A. Miller","A. Miller","WR","PIT","7","","injury-status","Final W 23-16 @ BUF","102","999.0","-","-","-","42","-","565","4","-","-","-","-"
"84","S. Ahmed","S. Ahmed","RB","MIA","14","IR","injury-status ir","Final W 17-16 @ NE","101","247.0","122","519","2","28","-","172","1","-","-","-","-"
"85","Pittsburgh. Steelers","Pittsburgh. Steelers","DEF","PIT","7","","injury-status","Final W 23-16 @ BUF","101","130.9","-","-","-","-","-","-","-","-","-","-","-"
"86","D. Eskridge","D. Eskridge","WR","SEA","9","Ques","injury-status questionable","Final W 28-16 @ IND","100","999.0","10","69","-","40","-","554","3","-","-","-","-"
"87","E. Ebron","E. Ebron","TE","PIT","7","","injury-status","Final W 23-16 @ BUF","100","243.1","-","-","-","51","-","507","4","-","-","-","-"
"88","T. Atwell","T. Atwell","WR","LAR","11","","injury-status","Final W 34-14 vs CHI","100","999.0","-","-","-","45","-","595","3","-","-","-","-"
"89","Minnesota. Vikings","Minnesota. Vikings","DEF","MIN","7","","injury-status","Final L 24-27 @ CIN","100","201.6","-","-","-","-","-","-","-","-","-","-","-"
"90","D. Byrd","D. Byrd","WR","CHI","10","","injury-status","Final L 14-34 @ LAR","99","999.0","3","16","-","47","-","562","3","-","-","-","-"
"91","T. Johnson","T. Johnson","RB","NYJ","6","","injury-status","Final L 14-19 @ CAR","99","210.0","104","452","2","34","-","207","1","-","-","-","-"
"92","A. Firkser","A. Firkser","TE","TEN","13","","injury-status","Final L 13-38 vs ARI","98","239.9","-","-","-","52","-","543","3","-","-","-","-"
"93","H. Hurst","H. Hurst","TE","ATL","6","","injury-status","Final L 6-32 vs PHI","98","999.0","-","-","-","49","-","494","4","-","-","-","-"
"94","K. Gainwell","K. Gainwell","RB","PHI","14","","injury-status","Final W 32-6 @ ATL","98","169.4","87","389","3","28","-","226","1","-","-","-","-"
"95","D. Johnson","D. Johnson","RB","HOU","10","","injury-status","Final W 37-21 vs JAX","97","116.5","102","431","4","19","-","168","1","-","-","-","-"
"96","Arizona. Cardinals","Arizona. Cardinals","DEF","ARI","12","","injury-status","Final W 38-13 @ TEN","97","494.9","-","-","-","-","-","-","-","-","-","-","-"
"97","G. Smith","G. Smith","QB","SEA","9","","injury-status","Final W 28-16 @ IND","96","684.0","25","117","1","-","-","-","-","119","202","1411","8"
"98","Kansas City. Chiefs","Kansas City. Chiefs","DEF","KC","12","","injury-status","Final W 33-29 vs CLE","96","188.1","-","-","-","-","-","-","-","-","-","-","-"
"99","J. Agnew","J. Agnew","WR","JAX","7","Ques","injury-status questionable","Final L 21-37 @ HOU","96","999.0","6","37","-","50","-","512","3","-","-","-","-"
"100","J. Myers","J. Myers","K","SEA","9","","injury-status","Final W 28-16 @ IND","95","170.8","-","-","-","-","-","-","-","-","-","-","-"
"101","J. Hurd","J. Hurd","WR","","","","injury-status","BYE","95","999.0","-","-","-","48","-","589","2","-","-","-","-"
"102","A. Schwartz","A. Schwartz","WR","CLE","13","Ques","injury-status questionable","Final L 29-33 @ KC","94","999.0","-","-","-","36","-","580","3","-","-","-","-"
"103","J. Doyle","J. Doyle","TE","IND","14","","injury-status","Final L 16-28 vs SEA","94","999.0","-","-","-","52","-","499","3","-","-","-","-"
"104","J. Grant","J. Grant","WR","CHI","10","","injury-status","Final L 14-34 @ LAR","93","999.0","4","24","-","44","-","506","3","-","-","-","-"
"105","New York. Giants","New York. Giants","DEF","NYG","10","","injury-status","Final L 13-27 vs DEN","93","571.7","-","-","-","-","-","-","-","-","-","-","-"
"106","Tennessee. Titans","Tennessee. Titans","DEF","TEN","13","","injury-status","Final L 13-38 vs ARI","92","541.0","-","-","-","-","-","-","-","-","-","-","-"
"107","T. Johnson","T. Johnson","WR","TB","9","","injury-status","Final W 31-29 vs DAL","92","999.0","-","-","-","37","-","552","3","-","-","-","-"
"108","J. Funk","J. Funk","RB","LAR","11","","injury-status","Final W 34-14 vs CHI","91","674.0","122","540","3","14","-","120","-","-","-","-","-"
"109","Y. Koo","Y. Koo","K","ATL","6","","injury-status","Final L 6-32 vs PHI","91","140.3","-","-","-","-","-","-","-","-","-","-","-"
"110","M. Prater","M. Prater","K","ARI","12","Ques","injury-status questionable","Final W 38-13 @ TEN","91","203.3","-","-","-","-","-","-","-","-","-","-","-"
"111","J. Washington","J. Washington","WR","PIT","7","","injury-status","Final W 23-16 @ BUF","90","999.0","-","-","-","40","-","523","3","-","-","-","-"
"112","Q. Nordin","Q. Nordin","K","NE","14","Ques","injury-status questionable","Final L 16-17 vs MIA","90","587.1","-","-","-","-","-","-","-","-","-","-","-"
"113","T. Wallace","T. Wallace","WR","BAL","8","","injury-status","Final L 27-33 @ LV","90","999.0","-","-","-","37","-","534","3","-","-","-","-"
"114","L. Bell","L. Bell","RB","TB","9","","injury-status","Final W 31-29 vs DAL","90","234.8","93","346","2","30","-","221","1","-","-","-","-"
"115","A. Lazard","A. Lazard","WR","GB","13","Ques","injury-status questionable","Final L 3-38 @ NO","89","244.5","-","-","-","36","-","472","4","-","-","-","-"
"116","D. Duvernay","D. Duvernay","WR","BAL","8","","injury-status","Final L 27-33 @ LV","89","999.0","12","70","-","36","-","460","3","-","-","-","-"
"117","M. Crosby","M. Crosby","K","GB","13","","injury-status","Final L 3-38 @ NO","89","163.7","-","-","-","-","-","-","-","-","-","-","-"
"118","T. Vizcaino","T. Vizcaino","K","LAC","7","","injury-status","Final W 20-16 @ WAS","89","642.9","-","-","-","-","-","-","-","-","-","-","-"
"119","M. Badgley","M. Badgley","K","IND","14","","injury-status","Final L 16-28 vs SEA","89","999.0","-","-","-","-","-","-","-","-","-","-","-"
"120","J. Sanders","J. Sanders","K","MIA","14","IR","injury-status ir","Final W 17-16 @ NE","89","151.4","-","-","-","-","-","-","-","-","-","-","-"
"121","R. Gould","R. Gould","K","SF","6","","injury-status","Final W 41-33 @ DET","89","204.6","-","-","-","-","-","-","-","-","-","-","-"
"122","D. Njoku","D. Njoku","TE","CLE","13","","injury-status","Final L 29-33 @ KC","89","999.0","-","-","-","39","-","455","4","-","-","-","-"
"123","W. Gallman","W. Gallman","RB","MIN","7","","injury-status","Final L 24-27 @ CIN","89","635.3","106","420","3","28","-","147","-","-","-","-","-"
"124","Carolina. Panthers","Carolina. Panthers","DEF","CAR","13","","injury-status","Final W 19-14 vs NYJ","87","218.2","-","-","-","-","-","-","-","-","-","-","-"
"125","R. Blankenship","R. Blankenship","K","IND","14","","injury-status","Final L 16-28 vs SEA","86","171.5","-","-","-","-","-","-","-","-","-","-","-"
"126","C. McLaughlin","C. McLaughlin","K","CLE","13","","injury-status","Final L 29-33 @ KC","86","539.8","-","-","-","-","-","-","-","-","-","-","-"
"127","G. Gano","G. Gano","K","NYG","10","","injury-status","Final L 13-27 vs DEN","86","559.2","-","-","-","-","-","-","-","-","-","-","-"
"128","J. Ross","J. Ross","WR","NYG","10","Ques","injury-status questionable","Final L 13-27 vs DEN","86","999.0","-","-","-","38","-","549","2","-","-","-","-"
"129","Cincinnati. Bengals","Cincinnati. Bengals","DEF","CIN","10","","injury-status","Final W 27-24 vs MIN","85","572.5","-","-","-","-","-","-","-","-","-","-","-"
"130","D. Jackson","D. Jackson","WR","LV","8","","injury-status","Final W 33-27 vs BAL","84","999.0","-","-","-","33","-","495","3","-","-","-","-"
"131","D. Evans","D. Evans","RB","TEN","13","Ques","injury-status questionable","Final L 13-38 vs ARI","84","249.1","88","353","1","30","-","212","1","-","-","-","-"
"132","J. Lambo","J. Lambo","K","","","","injury-status","BYE","83","591.6","-","-","-","-","-","-","-","-","-","-","-"
"133","M. Boykin","M. Boykin","WR","BAL","8","","injury-status","Final L 27-33 @ LV","83","999.0","-","-","-","33","-","483","3","-","-","-","-"
"134","M. Strachan","M. Strachan","WR","IND","14","","injury-status","Final L 16-28 vs SEA","83","999.0","-","-","-","43","-","491","2","-","-","-","-"
"135","J. White","J. White","RB","NE","14","","injury-status","Final L 16-17 vs MIA","83","167.8","27","113","1","46","-","362","1","-","-","-","-"
"136","S. Smith","S. Smith","WR","CAR","13","Sus","injury-status sus","Final W 19-14 vs NYJ","82","999.0","-","-","-","40","-","443","3","-","-","-","-"
"137","R. Santoso","R. Santoso","K, P - LAR(11)","","","","injury-status","Final W 34-14 vs CHI","82","609.0","-","-","-","-","-","-","-","-","-","-","-"
"138","M. Brown","M. Brown","RB","MIA","14","","injury-status","Final W 17-16 @ NE","82","223.9","87","362","2","21","-","173","1","-","-","-","-"
"139","S. Perine","S. Perine","RB","CIN","10","","injury-status","Final W 27-24 vs MIN","82","999.0","97","384","3","25","-","128","-","-","-","-","-"
"140","C. Johnson","C. Johnson","WR","NYG","10","","injury-status","Final L 13-27 vs DEN","82","999.0","-","-","-","47","-","460","2","-","-","-","-"
"141","New York. Jets","New York. Jets","DEF","NYJ","6","","injury-status","Final L 14-19 @ CAR","81","629.8","-","-","-","-","-","-","-","-","-","-","-"
"142","Las Vegas. Raiders","Las Vegas. Raiders","DEF","LV","8","","injury-status","Final W 33-27 vs BAL","81","423.6","-","-","-","-","-","-","-","-","-","-","-"
"143","Atlanta. Falcons","Atlanta. Falcons","DEF","ATL","6","","injury-status","Final L 6-32 vs PHI","81","575.6","-","-","-","-","-","-","-","-","-","-","-"
"144","K. Hill","K. Hill","RB","GB","13","","injury-status","Final L 3-38 @ NO","81","999.0","79","347","3","18","-","150","1","-","-","-","-"
"145","J. McKinnon","J. McKinnon","RB","KC","12","","injury-status","Final W 33-29 vs CLE","81","247.7","52","238","1","34","-","277","1","-","-","-","-"
"146","D. Booker","D. Booker","RB","NYG","10","","injury-status","Final L 13-27 vs DEN","80","202.5","79","327","1","28","-","217","1","-","-","-","-"
"147","W. Lutz","W. Lutz","K","NO","6","","injury-status","Final W 38-3 vs GB","80","511.6","-","-","-","-","-","-","-","-","-","-","-"
"148","C. Santos","C. Santos","K","CHI","10","","injury-status","Final L 14-34 @ LAR","80","503.4","-","-","-","-","-","-","-","-","-","-","-"
"149","D. Westbrook","D. Westbrook","WR","MIN","7","","injury-status","Final L 24-27 @ CIN","80","999.0","-","-","-","40","-","478","2","-","-","-","-"
"150","T. Kroft","T. Kroft","TE","NYJ","6","","injury-status","Final L 14-19 @ CAR","79","999.0","-","-","-","38","-","361","4","-","-","-","-"
"151","M. Alie-Cox","M. Alie-Cox","TE","IND","14","","injury-status","Final L 16-28 vs SEA","79","999.0","-","-","-","34","-","437","3","-","-","-","-"
"152","D. Williams","D. Williams","RB","CHI","10","Ques","injury-status questionable","Final L 14-34 @ LAR","78","223.6","53","221","1","35","-","265","1","-","-","-","-"
"153","M. Mariota","M. Mariota","QB","LV","8","Ques","injury-status questionable","Final W 33-27 vs BAL","78","999.0","22","118","1","-","-","-","-","83","129","956","7"
"154","G. Bernard","G. Bernard","RB","TB","9","","injury-status","Final W 31-29 vs DAL","78","195.7","34","140","1","40","-","320","1","-","-","-","-"
"155","Jacksonville. Jaguars","Jacksonville. Jaguars","DEF","JAX","7","","injury-status","Final L 21-37 @ HOU","78","575.3","-","-","-","-","-","-","-","-","-","-","-"
"156","N. Harry","N. Harry","TE","NE","14","","injury-status","Final L 16-17 vs MIA","78","999.0","-","-","-","39","-","464","2","-","-","-","-"
"157","A. Okwuegbunam","A. Okwuegbunam","TE","DEN","11","","injury-status","Final W 27-13 @ NYG","78","999.0","-","-","-","37","-","413","3","-","-","-","-"
"158","K. Coutee","K. Coutee","WR","IND","14","","injury-status","Final L 16-28 vs SEA","78","999.0","-","-","-","32","-","436","3","-","-","-","-"
"159","B. Perriman","B. Perriman","WR","TB","9","","injury-status","Final W 31-29 vs DAL","77","999.0","4","15","-","26","-","388","4","-","-","-","-"
"160","Detroit. Lions","Detroit. Lions","DEF","DET","9","","injury-status","Final L 33-41 vs SF","77","663.6","-","-","-","-","-","-","-","-","-","-","-"
"161","M. Mack","M. Mack","RB","IND","14","Ques","injury-status questionable","Final L 16-28 vs SEA","76","217.3","89","390","2","22","-","143","-","-","-","-","-"
"162","H. Bryant","H. Bryant","TE","CLE","13","","injury-status","Final L 29-33 @ KC","76","999.0","-","-","-","38","-","392","3","-","-","-","-"
"163","J. Elliott","J. Elliott","K","PHI","14","","injury-status","Final W 32-6 @ ATL","76","547.2","-","-","-","-","-","-","-","-","-","-","-"
"164","R. Freeman","R. Freeman","RB","HOU","10","","injury-status","Final W 37-21 vs JAX","76","999.0","53","228","1","32","-","249","1","-","-","-","-"
"165","G. Brightwell","G. Brightwell","RB","NYG","10","","injury-status","Final L 13-27 vs DEN","76","999.0","77","331","2","12","-","105","-","-","-","-","-"
"166","A. Tate","A. Tate","WR","CIN","10","","injury-status","Final W 27-24 vs MIN","75","999.0","-","-","-","35","-","399","3","-","-","-","-"
"167","A. Wilson","A. Wilson","WR","MIA","14","","injury-status","Final W 17-16 @ NE","75","999.0","-","-","-","42","-","422","2","-","-","-","-"
"168","A. Seibert","A. Seibert","K","DET","9","Ques","injury-status questionable","Final L 33-41 vs SF","75","999.0","-","-","-","-","-","-","-","-","-","-","-"
"169","J. Eason","J. Eason","QB","SEA","9","","injury-status","Final W 28-16 @ IND","75","999.0","8","11","-","-","-","-","-","144","216","1418","6"
"170","L. Bowden","L. Bowden","WR","MIA","14","","injury-status","Final W 17-16 @ NE","75","999.0","14","66","1","34","-","329","2","-","-","-","-"
"171","T. Cannon","T. Cannon","RB","SF","6","","injury-status","Final W 41-33 @ DET","74","385.3","88","400","2","18","-","133","-","-","-","-","-"
"172","Houston. Texans","Houston. Texans","DEF","HOU","10","","injury-status","Final W 37-21 vs JAX","74","554.4","-","-","-","-","-","-","-","-","-","-","-"
"173","J. Patterson","J. Patterson","RB","WAS","9","Ques","injury-status questionable","Final L 16-20 vs LAC","74","999.0","85","377","6","-","-","-","-","-","-","-","-"
"174","J. Graham","J. Graham","TE","CHI","10","","injury-status","Final L 14-34 @ LAR","74","999.0","-","-","-","35","-","341","4","-","-","-","-"
"175","K. Raymond","K. Raymond","WR","DET","9","","injury-status","Final L 33-41 vs SF","74","999.0","-","-","-","40","-","416","2","-","-","-","-"
"176","L. Perine","L. Perine","RB","NYJ","6","","injury-status","Final L 14-19 @ CAR","73","999.0","83","360","2","20","-","152","-","-","-","-","-"
"177","C. Brate","C. Brate","TE","TB","9","","injury-status","Final W 31-29 vs DAL","72","999.0","-","-","-","35","-","366","3","-","-","-","-"
"178","D. Moore","D. Moore","WR","GB","13","","injury-status","Final L 3-38 @ NO","70","999.0","4","23","-","31","-","342","3","-","-","-","-"
"179","D. Amendola","D. Amendola","WR","HOU","10","","injury-status","Final W 37-21 vs JAX","69","999.0","-","-","-","35","-","459","1","-","-","-","-"
"180","J. Akins","J. Akins","TE","HOU","10","","injury-status","Final W 37-21 vs JAX","69","999.0","-","-","-","34","-","401","2","-","-","-","-"
"181","R. Bullock","R. Bullock","K","TEN","13","","injury-status","Final L 13-38 vs ARI","69","499.3","-","-","-","-","-","-","-","-","-","-","-"
"182","K. Smith","K. Smith","TE","NYG","10","","injury-status","Final L 13-27 vs DEN","68","999.0","-","-","-","42","-","354","2","-","-","-","-"
