"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"1","D. Jones","D. Jones","QB","NYG","10","","injury-status","Final L 13-27 vs DEN","307","233.3","96","511","3","-","-","-","-","345","533","4000","25"
"2","T. Lance","T. Lance","QB","SF","6","","injury-status","Final W 41-33 @ DET","307","131.6","104","570","7","-","-","-","-","318","553","3702","19"
"3","J. Fields","J. Fields","QB","CHI","10","","injury-status","Final L 14-34 @ LAR","298","135.9","79","518","6","-","-","-","-","309","467","3237","25"
"4","B. Mayfield","B. Mayfield","QB","CLE","13","","injury-status","Final L 29-33 @ KC","295","145.9","48","124","1","-","-","-","-","367","557","4203","31"
"5","M. Ryan","M. Ryan","QB","ATL","6","","injury-status","Final L 6-32 vs PHI","283","157.5","27","80","1","-","-","-","-","426","637","4801","24"
"6","T. Lawrence","T. Lawrence","QB","JAX","7","","injury-status","Final L 21-37 @ HOU","276","119.2","41","219","2","-","-","-","-","386","595","4336","24"
"7","T. Taylor","T. Taylor","QB","HOU","10","Ques","injury-status questionable","Final W 37-21 vs JAX","257","999.0","99","545","7","-","-","-","-","263","430","2971","13"
"8","D. Hopkins","D. Hopkins","WR","ARI","12","Ques","injury-status questionable","Final W 38-13 @ TEN","250","15.8","-","-","-","112","-","1380","9","-","-","-","-"
"9","J. Winston","J. Winston","QB","NO","6","","injury-status","Final W 38-3 vs GB","249","178.8","50","185","4","-","-","-","-","299","455","3457","23"
"10","J. Goff","J. Goff","QB","DET","9","","injury-status","Final L 33-41 vs SF","241","999.0","14","48","2","-","-","-","-","354","534","3730","23"
"11","Z. Wilson","Z. Wilson","QB","NYJ","6","","injury-status","Final L 14-19 @ CAR","241","189.9","25","124","2","-","-","-","-","322","519","3590","23"
"12","M. Jones","M. Jones","QB","NE","14","Ques","injury-status questionable","Final L 16-17 vs MIA","238","181.3","56","120","1","-","-","-","-","312","480","3658","23"
"13","T. Bridgewater","T. Bridgewater","QB","DEN","11","","injury-status","Final W 27-13 @ NYG","237","999.0","51","208","3","-","-","-","-","295","446","3159","21"
"14","B. Roethlisberger","B. Roethlisberger","QB","PIT","7","","injury-status","Final W 23-16 @ BUF","230","207.7","-","-","-","-","-","-","-","347","530","3732","24"
"15","A. Robinson","A. Robinson","WR","CHI","10","","injury-status","Final L 14-34 @ LAR","222","32.0","-","-","-","95","-","1329","7","-","-","-","-"
"16","J. Garoppolo","J. Garoppolo","QB","SF","6","","injury-status","Final W 41-33 @ DET","219","999.0","10","38","1","-","-","-","-","282","424","3300","23"
"17","R. Woods","R. Woods","WR","LAR","11","","injury-status","Final W 34-14 vs CHI","216","43.1","22","125","1","102","-","1126","6","-","-","-","-"
"18","M. Sanders","M. Sanders","RB","PHI","14","","injury-status","Final W 32-6 @ ATL","214","37.6","228","1085","7","44","-","374","1","-","-","-","-"
"19","D. Waller","D. Waller","TE","LV","8","","injury-status","Final W 33-27 vs BAL","210","25.8","-","-","-","102","-","1165","7","-","-","-","-"
"20","J. Jeudy","J. Jeudy","WR","DEN","11","","injury-status","Final W 27-13 @ NYG","203","71.2","-","-","-","83","-","1218","7","-","-","-","-"
"21","C. Newton","C. Newton","QB","CAR","13","","injury-status","Final W 19-14 vs NYJ","190","659.3","73","389","3","-","-","-","-","183","290","2121","14"
"22","D. Henderson","D. Henderson","RB","LAR","11","","injury-status","Final W 34-14 vs CHI","186","41.0","184","856","7","43","-","331","1","-","-","-","-"
"23","K. Golladay","K. Golladay","WR","NYG","10","","injury-status","Final L 13-27 vs DEN","185","71.6","-","-","-","73","-","1001","8","-","-","-","-"
"24","T. Hockenson","T. Hockenson","TE","DET","9","","injury-status","Final L 33-41 vs SF","178","57.2","-","-","-","85","-","937","7","-","-","-","-"
"25","D. Lock","D. Lock","QB","DEN","11","","injury-status","Final W 27-13 @ NYG","176","999.0","24","85","2","-","-","-","-","240","394","2622","16"
"26","M. Thomas","M. Thomas","WR","NO","6","","injury-status","Final W 38-3 vs GB","176","62.0","-","-","-","83","-","986","6","-","-","-","-"
"27","A. Dalton","A. Dalton","QB","CHI","10","Ques","injury-status questionable","Final L 14-34 @ LAR","173","999.0","23","108","1","-","-","-","-","225","347","2533","16"
"28","T. Sermon","T. Sermon","RB","SF","6","","injury-status","Final W 41-33 @ DET","171","74.5","194","867","5","39","-","305","1","-","-","-","-"
"29","R. Moore","R. Moore","WR","ARI","12","IR","injury-status ir","Final W 38-13 @ TEN","157","159.7","23","122","1","63","-","776","5","-","-","-","-"
"30","W. Fuller","W. Fuller","WR","MIA","14","Ques","injury-status questionable","Final W 17-16 @ NE","157","109.3","-","-","-","59","-","931","6","-","-","-","-"
"31","R. Mostert","R. Mostert","RB","SF","6","","injury-status","Final W 41-33 @ DET","156","63.4","173","814","6","24","-","230","1","-","-","-","-"
"32","D. Mooney","D. Mooney","WR","CHI","10","Ques","injury-status questionable","Final L 14-34 @ LAR","152","115.1","5","35","-","74","-","833","5","-","-","-","-"
"33","J. Reagor","J. Reagor","WR","PHI","14","Out","injury-status out","Final W 32-6 @ ATL","151","173.5","5","36","-","68","-","911","4","-","-","-","-"
"34","G. Davis","G. Davis","WR","BUF","7","Out","injury-status out","Final L 16-23 vs PIT","147","196.2","-","-","-","64","-","871","5","-","-","-","-"
"35","H. Ruggs","H. Ruggs","WR","","","","injury-status","BYE","145","124.8","10","62","-","50","-","833","5","-","-","-","-"
"36","S. Shepard","S. Shepard","WR","NYG","10","","injury-status","Final L 13-27 vs DEN","144","193.7","6","37","-","74","-","816","4","-","-","-","-"
"37","T. Williams","T. Williams","RB","BAL","8","","injury-status","Final L 27-33 @ LV","142","177.3","147","659","5","34","-","255","1","-","-","-","-"
"38","S. Darnold","S. Darnold","QB","CAR","13","","injury-status","Final W 19-14 vs NYJ","137","238.6","37","185","5","-","-","-","-","182","306","1986","7"
"39","T. Marshall","T. Marshall","WR","CAR","13","","injury-status","Final W 19-14 vs NYJ","133","162.1","-","-","-","55","-","776","5","-","-","-","-"
"40","J. Palmer","J. Palmer","WR","LAC","7","","injury-status","Final W 20-16 @ WAS","133","242.2","-","-","-","62","-","778","4","-","-","-","-"
"41","T. Williams","T. Williams","WR","","","Ques","injury-status questionable","BYE","133","198.3","-","-","-","53","-","761","5","-","-","-","-"
"42","P. Campbell","P. Campbell","WR","IND","14","Ques","injury-status questionable","Final L 16-28 vs SEA","132","213.3","-","-","-","62","-","771","4","-","-","-","-"
"43","D. Brown","D. Brown","WR","WAS","9","","injury-status","Final L 16-20 vs LAC","131","999.0","-","-","-","54","-","737","5","-","-","-","-"
"44","T. Smith","T. Smith","WR","NO","6","","injury-status","Final W 38-3 vs GB","130","199.2","-","-","-","54","-","728","5","-","-","-","-"
"45","D. Slayton","D. Slayton","WR","NYG","10","","injury-status","Final L 13-27 vs DEN","129","999.0","-","-","-","55","-","796","4","-","-","-","-"
"46","R. Cobb","R. Cobb","WR","GB","13","","injury-status","Final L 3-38 @ NO","128","191.8","-","-","-","64","-","721","4","-","-","-","-"
"47","Q. Cephus","Q. Cephus","WR","DET","9","","injury-status","Final L 33-41 vs SF","128","999.0","-","-","-","57","-","756","4","-","-","-","-"
"48","J. Love","J. Love","QB","GB","13","","injury-status","Final L 3-38 @ NO","128","999.0","10","30","-","-","-","-","-","203","320","2124","12"
"49","Z. Pascal","Z. Pascal","WR","IND","14","","injury-status","Final L 16-28 vs SEA","128","999.0","-","-","-","54","-","705","5","-","-","-","-"
"50","N. Collins","N. Collins","WR","HOU","10","","injury-status","Final W 37-21 vs JAX","126","700.5","-","-","-","58","-","731","4","-","-","-","-"
"51","S. Watkins","S. Watkins","WR","BAL","8","","injury-status","Final L 27-33 @ LV","125","222.7","-","-","-","63","-","697","4","-","-","-","-"
"52","D. Robinson","D. Robinson","WR","KC","12","Sus","injury-status sus","Final W 33-29 vs CLE","124","999.0","-","-","-","60","-","702","4","-","-","-","-"
"53","Q. Watkins","Q. Watkins","WR","PHI","14","Ques","injury-status questionable","Final W 32-6 @ ATL","124","999.0","-","-","-","61","-","755","3","-","-","-","-"
"54","K. Hamler","K. Hamler","WR","DEN","11","","injury-status","Final W 27-13 @ NYG","124","999.0","7","41","-","51","-","661","5","-","-","-","-"
"55","M. Goodwin","M. Goodwin","WR","CHI","10","","injury-status","Final L 14-34 @ LAR","122","662.1","-","-","-","53","-","778","3","-","-","-","-"
"56","T. Hilton","T. Hilton","WR","IND","14","","injury-status","Final L 16-28 vs SEA","122","182.5","-","-","-","57","-","718","4","-","-","-","-"
"57","C. Samuel","C. Samuel","WR","WAS","9","Ques","injury-status questionable","Final L 16-20 vs LAC","122","113.7","15","99","1","49","-","592","4","-","-","-","-"
"58","J. Brown","J. Brown","WR","TB","9","","injury-status","Final W 31-29 vs DAL","121","647.4","-","-","-","55","-","714","4","-","-","-","-"
"59","O. Zaccheaus","O. Zaccheaus","WR","ATL","6","","injury-status","Final L 6-32 vs PHI","121","999.0","-","-","-","60","-","725","3","-","-","-","-"
"60","J. Guyton","J. Guyton","WR","LAC","7","","injury-status","Final W 20-16 @ WAS","119","999.0","-","-","-","47","-","719","4","-","-","-","-"
"61","T. Jones","T. Jones","RB","NO","6","","injury-status","Final W 38-3 vs GB","117","206.9","148","658","4","29","-","148","-","-","-","-","-"
"62","D. Mims","D. Mims","WR","NYJ","6","","injury-status","Final L 14-19 @ CAR","116","999.0","-","-","-","56","-","655","4","-","-","-","-"
"63","A. Rodgers","A. Rodgers","WR","GB","13","","injury-status","Final L 3-38 @ NO","115","246.1","-","-","-","47","-","617","5","-","-","-","-"
"64","B. Pringle","B. Pringle","WR","KC","12","","injury-status","Final W 33-29 vs CLE","115","999.0","-","-","-","62","-","657","3","-","-","-","-"
"65","P. Williams","P. Williams","WR","MIA","14","","injury-status","Final W 17-16 @ NE","114","999.0","-","-","-","46","-","673","4","-","-","-","-"
"66","J. Smith","J. Smith","TE","NE","14","Ques","injury-status questionable","Final L 16-17 vs MIA","114","141.1","-","-","-","56","-","555","5","-","-","-","-"
"67","C. Kmet","C. Kmet","TE","CHI","10","","injury-status","Final L 14-34 @ LAR","112","190.8","-","-","-","61","-","639","3","-","-","-","-"
