"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12"
"130","D. Jackson","D. Jackson","WR","LV","8","","injury-status","Final W 33-27 vs BAL","65","1","4","-","20","34","454","2","-","-","-","-"
"131","D. Evans","D. Evans","RB","TEN","13","Ques","injury-status questionable","Final L 13-38 vs ARI","3","2","7","-","2","2","11","-","-","-","-","-"
"132","J. Lambo","J. Lambo","K","","","","injury-status","BYE","-","-","-","-","-","-","-","-","-","-","-","-"
"133","M. Boykin","M. Boykin","WR","BAL","8","","injury-status","Final L 27-33 @ LV","1","-","-","-","1","1","6","-","-","-","-","-"
"134","M. Strachan","M. Strachan","WR","IND","14","","injury-status","Final L 16-28 vs SEA","4","-","-","-","2","3","26","-","-","-","-","-"
"135","J. White","J. White","RB","NE","14","","injury-status","Final L 16-17 vs MIA","25","10","38","1","12","14","94","-","-","-","-","-"
"136","S. Smith","S. Smith","WR","CAR","13","Sus","injury-status sus","Final W 19-14 vs NYJ","13","1","-3","-","6","11","104","-","-","-","-","-"
"137","R. Santoso","R. Santoso","K, P - LAR(11)","","","","injury-status","Final W 34-14 vs CHI","15","-","-","-","-","-","-","-","-","-","-","-"
"138","M. Brown","M. Brown","RB","MIA","14","","injury-status","Final W 17-16 @ NE","21","33","125","1","3","5","10","-","-","-","-","-"
"139","S. Perine","S. Perine","RB","CIN","10","","injury-status","Final W 27-24 vs MIN","70","55","246","1","27","31","196","1","-","-","-","-"
"140","C. Johnson","C. Johnson","WR","NYG","10","","injury-status","Final L 13-27 vs DEN","16","-","-","-","11","21","105","-","-","-","-","-"
"141","New York. Jets","New York. Jets","DEF","NYJ","6","","injury-status","Final L 14-19 @ CAR","70","-","-","-","-","-","-","-","-","-","-","-"
"142","Las Vegas. Raiders","Las Vegas. Raiders","DEF","LV","8","","injury-status","Final W 33-27 vs BAL","76","-","-","-","-","-","-","-","-","-","-","-"
"143","Atlanta. Falcons","Atlanta. Falcons","DEF","ATL","6","","injury-status","Final L 6-32 vs PHI","76","-","-","-","-","-","-","-","-","-","-","-"
"144","K. Hill","K. Hill","RB","GB","13","","injury-status","Final L 3-38 @ NO","3","10","24","-","1","2","5","-","-","-","-","-"
"145","J. McKinnon","J. McKinnon","RB","KC","12","","injury-status","Final W 33-29 vs CLE","29","12","62","-","13","20","107","1","-","-","-","-"
"146","D. Booker","D. Booker","RB","NYG","10","","injury-status","Final L 13-27 vs DEN","124","145","593","2","40","45","268","1","-","-","-","-"
"147","W. Lutz","W. Lutz","K","NO","6","","injury-status","Final W 38-3 vs GB","-","-","-","-","-","-","-","-","-","-","-","-"
"148","C. Santos","C. Santos","K","CHI","10","","injury-status","Final L 14-34 @ LAR","111","-","-","-","-","-","-","-","-","-","-","-"
"149","D. Westbrook","D. Westbrook","WR","MIN","7","","injury-status","Final L 24-27 @ CIN","10","-","-","-","10","15","68","-","-","-","-","-"
"150","T. Kroft","T. Kroft","TE","NYJ","6","","injury-status","Final L 14-19 @ CAR","31","-","-","-","16","25","173","1","-","-","-","-"
"151","M. Alie-Cox","M. Alie-Cox","TE","IND","14","","injury-status","Final L 16-28 vs SEA","67","-","-","-","24","45","316","4","-","-","-","-"
"152","D. Williams","D. Williams","RB","CHI","10","Ques","injury-status questionable","Final L 14-34 @ LAR","53","40","164","2","16","23","103","1","-","-","-","-"
"153","M. Mariota","M. Mariota","QB","LV","8","Ques","injury-status questionable","Final W 33-27 vs BAL","14","13","87","1","-","-","-","-","1","2","4","-"
"154","G. Bernard","G. Bernard","RB","TB","9","","injury-status","Final W 31-29 vs DAL","47","8","58","-","23","29","123","3","-","-","-","-"
"155","Jacksonville. Jaguars","Jacksonville. Jaguars","DEF","JAX","7","","injury-status","Final L 21-37 @ HOU","69","-","-","-","-","-","-","-","-","-","-","-"
"156","N. Harry","N. Harry","TE","NE","14","","injury-status","Final L 16-17 vs MIA","21","-","-","-","12","22","184","-","-","-","-","-"
"157","A. Okwuegbunam","A. Okwuegbunam","TE","DEN","11","","injury-status","Final W 27-13 @ NYG","59","-","-","-","33","40","330","2","-","-","-","-"
"158","K. Coutee","K. Coutee","WR","IND","14","","injury-status","Final L 16-28 vs SEA","1","-","-","-","1","1","5","-","-","-","-","-"
"159","B. Perriman","B. Perriman","WR","TB","9","","injury-status","Final W 31-29 vs DAL","28","1","-3","-","11","18","167","1","-","-","-","-"
"160","Detroit. Lions","Detroit. Lions","DEF","DET","9","","injury-status","Final L 33-41 vs SF","69","-","-","-","-","-","-","-","-","-","-","-"
"161","M. Mack","M. Mack","RB","IND","14","Ques","injury-status questionable","Final L 16-28 vs SEA","12","28","101","-","2","5","8","-","-","-","-","-"
"162","H. Bryant","H. Bryant","TE","CLE","13","","injury-status","Final L 29-33 @ KC","52","-","-","-","21","28","233","3","-","-","-","-"
"163","J. Elliott","J. Elliott","K","PHI","14","","injury-status","Final W 32-6 @ ATL","147","-","-","-","-","-","-","-","-","-","-","-"
"164","R. Freeman","R. Freeman","RB","HOU","10","","injury-status","Final W 37-21 vs JAX","30","56","169","-","10","16","77","-","-","-","-","-"
"165","G. Brightwell","G. Brightwell","RB","NYG","10","","injury-status","Final L 13-27 vs DEN","2","1","4","-","1","1","6","-","-","-","-","-"
"166","A. Tate","A. Tate","WR","CIN","10","","injury-status","Final W 27-24 vs MIN","11","-","-","-","3","4","39","1","-","-","-","-"
"167","A. Wilson","A. Wilson","WR","MIA","14","","injury-status","Final W 17-16 @ NE","36","4","17","-","25","39","213","-","-","1","-","-"
"168","A. Seibert","A. Seibert","K","DET","9","Ques","injury-status questionable","Final L 33-41 vs SF","40","-","-","-","-","-","-","-","-","-","-","-"
"169","J. Eason","J. Eason","QB","SEA","9","","injury-status","Final W 28-16 @ IND","-","-","-","-","-","-","-","-","2","5","25","-"
"170","L. Bowden","L. Bowden","WR","MIA","14","","injury-status","Final W 17-16 @ NE","-","-","-","-","-","-","-","-","-","-","-","-"
"171","T. Cannon","T. Cannon","RB","SF","6","","injury-status","Final W 41-33 @ DET","-3","3","4","-","-","-","-","-","-","-","-","-"
"172","Houston. Texans","Houston. Texans","DEF","HOU","10","","injury-status","Final W 37-21 vs JAX","101","-","-","-","-","-","-","-","-","-","-","-"
"173","J. Patterson","J. Patterson","RB","WAS","9","Ques","injury-status questionable","Final L 16-20 vs LAC","50","68","266","2","10","11","73","-","-","-","-","-"
"174","J. Graham","J. Graham","TE","CHI","10","","injury-status","Final L 14-34 @ LAR","44","-","-","-","14","23","167","3","-","-","-","-"
"175","K. Raymond","K. Raymond","WR","DET","9","","injury-status","Final L 33-41 vs SF","108","4","28","-","48","71","576","4","-","-","-","-"
"176","L. Perine","L. Perine","RB","NYJ","6","","injury-status","Final L 14-19 @ CAR","3","8","31","-","-","-","-","-","-","-","-","-"
"177","C. Brate","C. Brate","TE","TB","9","","injury-status","Final W 31-29 vs DAL","64","-","-","-","30","57","245","4","-","-","-","-"
"178","D. Moore","D. Moore","WR","GB","13","","injury-status","Final L 3-38 @ NO","-","-","-","-","-","2","-","-","-","-","-","-"
"179","D. Amendola","D. Amendola","WR","HOU","10","","injury-status","Final W 37-21 vs JAX","56","-","-","-","24","37","248","3","-","1","-","-"
"180","J. Akins","J. Akins","TE","HOU","10","","injury-status","Final W 37-21 vs JAX","28","1","3","-","24","33","214","-","-","-","-","-"
"181","R. Bullock","R. Bullock","K","TEN","13","","injury-status","Final L 13-38 vs ARI","122","-","-","-","-","-","-","-","-","-","-","-"
"182","K. Smith","K. Smith","TE","NYG","10","","injury-status","Final L 13-27 vs DEN","5","-","-","-","3","3","33","-","-","-","-","-"
"183","B. Jordan","B. Jordan","TE","HOU","10","IR","injury-status ir","Final W 37-21 vs JAX","46","-","-","-","20","28","178","3","-","-","-","-"
"184","K. Fairbairn","K. Fairbairn","K","HOU","10","","injury-status","Final W 37-21 vs JAX","61","-","-","-","-","-","-","-","-","-","-","-"
"185","Z. Gonzalez","Z. Gonzalez","K","CAR","13","","injury-status","Final W 19-14 vs NYJ","95","-","-","-","-","-","-","-","-","-","-","-"
"186","J. Jefferson","J. Jefferson","RB","DET","9","","injury-status","Final L 33-41 vs SF","24","15","74","2","4","5","23","-","-","-","-","-"
"187","F. Swain","F. Swain","WR","SEA","9","Ques","injury-status questionable","Final W 28-16 @ IND","73","5","32","-","25","40","343","4","-","-","-","-"
"188","M. White","M. White","QB","NYJ","6","","injury-status","Final L 14-19 @ CAR","52","5","-1","-","-","-","-","-","88","132","953","5"
"189","M. Trubisky","M. Trubisky","QB","BUF","7","","injury-status","Final L 16-23 vs PIT","9","13","24","1","-","-","-","-","6","8","43","-"
"190","J. Reynolds","J. Reynolds","WR","DET","9","","injury-status","Final L 33-41 vs SF","66","-","-","-","29","49","396","2","-","-","-","-"
"191","C. Rogers","C. Rogers","WR","TEN","13","","injury-status","Final L 13-38 vs ARI","46","1","9","-","30","43","301","1","-","-","-","-"
"192","P. Walker","P. Walker","QB","CAR","13","","injury-status","Final W 19-14 vs NYJ","14","7","13","-","-","-","-","-","36","66","362","1"
