"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12"
"1","D. Jones","D. Jones","QB","NYG","10","","injury-status","Final L 13-27 vs DEN","167","62","298","2","1","1","16","-","232","361","2428","10"
"2","T. Lance","T. Lance","QB","SF","6","","injury-status","Final W 41-33 @ DET","67","38","168","1","-","-","-","-","41","71","603","5"
"3","J. Fields","J. Fields","QB","CHI","10","","injury-status","Final L 14-34 @ LAR","125","72","420","2","-","-","-","-","159","270","1870","7"
"4","B. Mayfield","B. Mayfield","QB","CLE","13","","injury-status","Final L 29-33 @ KC","188","37","134","1","-","-","11","-","253","418","3010","17"
"5","M. Ryan","M. Ryan","QB","ATL","6","","injury-status","Final L 6-32 vs PHI","224","40","82","1","-","-","-","-","375","560","3968","20"
"6","T. Lawrence","T. Lawrence","QB","JAX","7","","injury-status","Final L 21-37 @ HOU","207","73","334","2","-","-","-","-","359","602","3641","12"
"7","T. Taylor","T. Taylor","QB","HOU","10","Ques","injury-status questionable","Final W 37-21 vs JAX","84","19","151","3","-","-","-","-","91","150","966","5"
"8","D. Hopkins","D. Hopkins","WR","ARI","12","Ques","injury-status questionable","Final W 38-13 @ TEN","126","-","-","-","42","64","572","8","-","-","-","-"
"9","J. Winston","J. Winston","QB","NO","6","","injury-status","Final W 38-3 vs GB","118","32","166","1","-","-","-","-","95","161","1170","14"
"10","J. Goff","J. Goff","QB","DET","9","","injury-status","Final L 33-41 vs SF","194","17","87","-","-","-","-","-","332","494","3245","19"
"11","Z. Wilson","Z. Wilson","QB","NYJ","6","","injury-status","Final L 14-19 @ CAR","158","29","185","4","-","1","-","-","213","383","2334","9"
"12","M. Jones","M. Jones","QB","NE","14","Ques","injury-status questionable","Final L 16-17 vs MIA","231","44","129","-","-","-","-","-","352","521","3801","22"
"13","T. Bridgewater","T. Bridgewater","QB","DEN","11","","injury-status","Final W 27-13 @ NYG","209","30","106","2","-","-","-","-","285","426","3052","18"
"14","B. Roethlisberger","B. Roethlisberger","QB","PIT","7","","injury-status","Final W 23-16 @ BUF","217","20","5","1","-","-","-","-","390","605","3740","22"
"15","A. Robinson","A. Robinson","WR","CHI","10","","injury-status","Final L 14-34 @ LAR","68","-","-","-","38","66","410","1","-","-","-","-"
"16","J. Garoppolo","J. Garoppolo","QB","SF","6","","injury-status","Final W 41-33 @ DET","232","38","51","3","-","-","-","-","301","441","3810","20"
"17","R. Woods","R. Woods","WR","LAR","11","","injury-status","Final W 34-14 vs CHI","115","8","46","1","45","69","556","4","-","-","-","-"
"18","M. Sanders","M. Sanders","RB","PHI","14","","injury-status","Final W 32-6 @ ATL","103","137","754","-","26","34","158","-","-","-","-","-"
"19","D. Waller","D. Waller","TE","LV","8","","injury-status","Final W 33-27 vs BAL","106","-","-","-","55","93","665","2","-","-","-","-"
"20","J. Jeudy","J. Jeudy","WR","DEN","11","","injury-status","Final W 27-13 @ NYG","65","2","3","-","38","56","467","-","-","-","-","-"
"21","C. Newton","C. Newton","QB","CAR","13","","injury-status","Final W 19-14 vs NYJ","87","47","230","5","-","-","-","-","69","126","684","4"
"22","D. Henderson","D. Henderson","RB","LAR","11","","injury-status","Final W 34-14 vs CHI","149","149","688","5","29","40","176","3","-","-","-","-"
"23","K. Golladay","K. Golladay","WR","NYG","10","","injury-status","Final L 13-27 vs DEN","71","-","-","-","37","76","521","-","-","-","-","-"
"24","T. Hockenson","T. Hockenson","TE","DET","9","","injury-status","Final L 33-41 vs SF","115","-","-","-","61","84","583","4","-","-","-","-"
"25","D. Lock","D. Lock","QB","DEN","11","","injury-status","Final W 27-13 @ NYG","51","10","53","2","1","1","1","-","67","111","787","2"
"26","M. Thomas","M. Thomas","WR","NO","6","","injury-status","Final W 38-3 vs GB","-","-","-","-","-","-","-","-","-","-","-","-"
"27","A. Dalton","A. Dalton","QB","CHI","10","Ques","injury-status questionable","Final L 14-34 @ LAR","92","16","76","-","-","-","-","-","149","236","1515","8"
"28","T. Sermon","T. Sermon","RB","SF","6","","injury-status","Final W 41-33 @ DET","27","41","167","1","3","4","26","-","-","-","-","-"
"29","R. Moore","R. Moore","WR","ARI","12","IR","injury-status ir","Final W 38-13 @ TEN","79","18","76","-","54","64","435","1","-","-","-","-"
"30","W. Fuller","W. Fuller","WR","MIA","14","Ques","injury-status questionable","Final W 17-16 @ NE","7","-","-","-","4","8","26","-","-","-","-","-"
"31","R. Mostert","R. Mostert","RB","SF","6","","injury-status","Final W 41-33 @ DET","2","2","20","-","-","-","-","-","-","-","-","-"
"32","D. Mooney","D. Mooney","WR","CHI","10","Ques","injury-status questionable","Final L 14-34 @ LAR","179","6","32","1","81","140","1055","4","-","-","-","-"
"33","J. Reagor","J. Reagor","WR","PHI","14","Out","injury-status out","Final W 32-6 @ ATL","60","10","32","-","33","57","299","2","-","-","-","-"
"34","G. Davis","G. Davis","WR","BUF","7","Out","injury-status out","Final L 16-23 vs PIT","108","-","-","-","35","63","549","6","-","-","-","-"
"35","H. Ruggs","H. Ruggs","WR","","","","injury-status","BYE","73","3","16","-","24","36","469","2","-","-","-","-"
"36","S. Shepard","S. Shepard","WR","NYG","10","","injury-status","Final L 13-27 vs DEN","60","1","-9","-","36","53","366","1","-","-","-","-"
"37","T. Williams","T. Williams","RB","BAL","8","","injury-status","Final L 27-33 @ LV","36","35","185","1","9","12","84","-","-","-","-","-"
"38","S. Darnold","S. Darnold","QB","CAR","13","","injury-status","Final W 19-14 vs NYJ","161","48","222","5","-","-","-","-","243","406","2527","9"
"39","T. Marshall","T. Marshall","WR","CAR","13","","injury-status","Final W 19-14 vs NYJ","24","-","-","-","17","30","138","-","-","-","-","-"
"40","J. Palmer","J. Palmer","WR","LAC","7","","injury-status","Final W 20-16 @ WAS","76","1","6","-","33","49","353","4","-","-","-","-"
"41","T. Williams","T. Williams","WR","","","Ques","injury-status questionable","BYE","2","-","-","-","2","3","14","-","-","-","-","-"
"42","P. Campbell","P. Campbell","WR","IND","14","Ques","injury-status questionable","Final L 16-28 vs SEA","27","-","-","-","10","20","162","1","-","-","-","-"
"43","D. Brown","D. Brown","WR","WAS","9","","injury-status","Final L 16-20 vs LAC","22","1","-4","-","12","25","165","-","-","-","-","-"
"44","T. Smith","T. Smith","WR","NO","6","","injury-status","Final W 38-3 vs GB","71","-","-","-","32","50","377","3","-","-","-","-"
"45","D. Slayton","D. Slayton","WR","NYG","10","","injury-status","Final L 13-27 vs DEN","55","1","-13","-","26","58","339","2","-","-","-","-"
"46","R. Cobb","R. Cobb","WR","GB","13","","injury-status","Final L 3-38 @ NO","79","1","1","-","28","39","375","5","-","-","-","-"
"47","Q. Cephus","Q. Cephus","WR","DET","9","","injury-status","Final L 33-41 vs SF","42","-","-","-","15","22","204","2","-","-","-","-"
"48","J. Love","J. Love","QB","GB","13","","injury-status","Final L 3-38 @ NO","21","12","27","-","-","-","-","-","36","62","411","2"
"49","Z. Pascal","Z. Pascal","WR","IND","14","","injury-status","Final L 16-28 vs SEA","75","2","21","-","38","69","384","3","-","-","-","-"
"50","N. Collins","N. Collins","WR","HOU","10","","injury-status","Final W 37-21 vs JAX","67","-","-","-","33","61","446","1","-","-","-","-"
"51","S. Watkins","S. Watkins","WR","BAL","8","","injury-status","Final L 27-33 @ LV","56","-","-","-","27","49","394","1","-","-","-","-"
"52","D. Robinson","D. Robinson","WR","KC","12","Sus","injury-status sus","Final W 33-29 vs CLE","57","-","-","-","25","41","264","3","-","-","-","-"
"53","Q. Watkins","Q. Watkins","WR","PHI","14","Ques","injury-status questionable","Final W 32-6 @ ATL","95","1","3","-","43","62","647","1","-","-","-","-"
"54","K. Hamler","K. Hamler","WR","DEN","11","","injury-status","Final W 27-13 @ NYG","10","-","-","-","5","10","74","-","-","-","-","-"
"55","M. Goodwin","M. Goodwin","WR","CHI","10","","injury-status","Final L 14-34 @ LAR","47","2","-1","-","20","40","313","1","-","-","-","-"
"56","T. Hilton","T. Hilton","WR","IND","14","","injury-status","Final L 16-28 vs SEA","63","-","-","-","23","37","331","3","-","-","-","-"
"57","C. Samuel","C. Samuel","WR","WAS","9","Ques","injury-status questionable","Final L 16-20 vs LAC","7","4","11","-","6","9","27","-","-","-","-","-"
"58","J. Brown","J. Brown","WR","TB","7","","injury-status","Final W 31-29 vs DAL","-","-","-","-","-","3","-","-","-","-","-","-"
"59","O. Zaccheaus","O. Zaccheaus","WR","ATL","6","","injury-status","Final L 6-32 vs PHI","74","1","2","-","31","53","406","3","-","-","-","-"
"60","J. Guyton","J. Guyton","WR","LAC","7","","injury-status","Final W 20-16 @ WAS","81","7","34","-","31","48","448","3","-","-","-","-"
"61","T. Jones","T. Jones","RB","NO","6","","injury-status","Final W 38-3 vs GB","20","54","142","-","5","8","29","-","-","-","-","-"
"62","D. Mims","D. Mims","WR","NYJ","6","","injury-status","Final L 14-19 @ CAR","17","-","-","-","8","23","133","-","-","-","-","-"
"63","A. Rodgers","A. Rodgers","WR","GB","13","","injury-status","Final L 3-38 @ NO","6","1","11","-","4","8","45","-","-","-","-","-"
"64","B. Pringle","B. Pringle","WR","KC","12","","injury-status","Final W 33-29 vs CLE","105","-","-","-","42","60","568","5","-","-","-","-"
"65","P. Williams","P. Williams","WR","MIA","14","","injury-status","Final W 17-16 @ NE","11","1","7","-","6","16","71","-","-","-","-","-"
"66","J. Smith","J. Smith","TE","NE","14","Ques","injury-status questionable","Final L 16-17 vs MIA","52","9","40","-","28","45","294","1","-","-","-","-"
"67","C. Kmet","C. Kmet","TE","CHI","10","","injury-status","Final L 14-34 @ LAR","91","1","-","-","60","93","612","-","-","-","-","-"
"68","B. Jarwin","B. Jarwin","TE","DAL","7","","injury-status","Final L 29-31 @ TB","27","-","-","-","11","18","96","2","-","-","-","-"
"69","D. Harty","D. Harty","WR","NO","6","Ques","injury-status questionable","Final W 38-3 vs GB","93","5","41","-","36","59","570","3","-","-","-","-"
"70","P. Lindsay","P. Lindsay","RB","MIA","14","","injury-status","Final W 17-16 @ NE","43","88","249","1","4","5","45","1","-","-","-","-"
"71","D. Arnold","D. Arnold","TE","JAX","7","","injury-status","Final L 21-37 @ HOU","57","-","-","-","35","52","408","-","-","-","-","-"
"72","L. Rountree","L. Rountree","RB","LAC","7","","injury-status","Final W 20-16 @ WAS","15","36","87","1","1","2","-1","-","-","-","-","-"
"73","Washington. Commanders","Washington. Commanders","DEF","WAS","9","","injury-status","Final L 16-20 vs LAC","101","-","-","-","-","-","-","-","-","-","-","-"
"74","R. Higgins","R. Higgins","WR","CLE","13","","injury-status","Final L 29-33 @ KC","46","-","-","-","24","47","275","1","-","-","-","-"
"75","K. Cole","K. Cole","WR","NYJ","6","","injury-status","Final L 14-19 @ CAR","65","-","-","-","28","51","449","1","-","1","-","-"
"76","O. Howard","O. Howard","TE","TB","9","","injury-status","Final W 31-29 vs DAL","27","-","-","-","14","21","135","1","-","-","-","-"
"77","C. Sims","C. Sims","WR","WAS","9","Ques","injury-status questionable","Final L 16-20 vs LAC","41","1","7","-","15","23","211","2","-","-","-","-"
"78","S. Miller","S. Miller","WR","TB","9","","injury-status","Final W 31-29 vs DAL","18","2","43","1","5","9","38","-","-","-","-","-"
"79","G. Minshew","G. Minshew","QB","PHI","14","","injury-status","Final W 32-6 @ ATL","34","9","21","-","-","-","-","-","41","60","439","4"
"80","T. Conklin","T. Conklin","TE","MIN","7","","injury-status","Final L 24-27 @ CIN","107","-","-","-","61","87","593","3","-","-","-","-"
"81","T. Billy-Johnson","T. Billy-Johnson","WR","LV","8","","injury-status","Final W 33-27 vs BAL","4","-","-","-","2","5","16","-","-","-","-","-"
"82","A. Trautman","A. Trautman","TE","NO","6","","injury-status","Final W 38-3 vs GB","49","-","-","-","27","43","263","2","-","-","-","-"
"83","A. Miller","A. Miller","WR","PIT","7","","injury-status","Final W 23-16 @ BUF","12","-","-","-","6","12","25","1","-","-","-","-"
"84","S. Ahmed","S. Ahmed","RB","MIA","14","IR","injury-status ir","Final W 17-16 @ NE","33","54","149","-","12","19","117","-","-","-","-","-"
"85","Pittsburgh. Steelers","Pittsburgh. Steelers","DEF","PIT","7","","injury-status","Final W 23-16 @ BUF","128","-","-","-","-","-","-","-","-","-","-","-"
"86","D. Eskridge","D. Eskridge","WR","SEA","9","Ques","injury-status questionable","Final W 28-16 @ IND","23","4","59","-","10","20","64","1","-","-","-","-"
"87","E. Ebron","E. Ebron","TE","PIT","7","","injury-status","Final W 23-16 @ BUF","27","1","1","1","12","18","84","1","-","-","-","-"
"88","T. Atwell","T. Atwell","WR","LAR","11","","injury-status","Final W 34-14 vs CHI","-1","-","-","-","-","-","-","-","-","-","-","-"
"89","Minnesota. Vikings","Minnesota. Vikings","DEF","MIN","7","","injury-status","Final L 24-27 @ CIN","135","-","-","-","-","-","-","-","-","-","-","-"
"90","D. Byrd","D. Byrd","WR","CHI","10","","injury-status","Final L 14-34 @ LAR","51","-","-","-","26","38","329","1","-","-","-","-"
"91","T. Johnson","T. Johnson","RB","NYJ","6","","injury-status","Final L 14-19 @ CAR","98","61","238","2","34","55","372","2","-","-","-","-"
"92","A. Firkser","A. Firkser","TE","TEN","13","","injury-status","Final L 13-38 vs ARI","60","-","-","-","34","43","291","2","-","-","-","-"
"93","H. Hurst","H. Hurst","TE","ATL","6","","injury-status","Final L 6-32 vs PHI","48","-","-","-","26","31","221","3","-","-","-","-"
"94","K. Gainwell","K. Gainwell","RB","PHI","14","","injury-status","Final W 32-6 @ ATL","105","68","291","5","33","50","253","1","-","-","-","-"
"95","D. Johnson","D. Johnson","RB","HOU","10","","injury-status","Final W 37-21 vs JAX","64","67","228","-","32","42","225","1","-","-","-","-"
"96","Arizona. Cardinals","Arizona. Cardinals","DEF","ARI","12","","injury-status","Final W 38-13 @ TEN","145","-","-","-","-","-","-","-","-","-","-","-"
"97","G. Smith","G. Smith","QB","SEA","9","","injury-status","Final W 28-16 @ IND","54","9","42","1","-","-","-","-","65","95","702","5"
"98","Kansas City. Chiefs","Kansas City. Chiefs","DEF","KC","12","","injury-status","Final W 33-29 vs CLE","147","-","-","-","-","-","-","-","-","-","-","-"
"99","J. Agnew","J. Agnew","WR","JAX","7","Ques","injury-status questionable","Final L 21-37 @ HOU","69","7","111","1","24","39","229","1","-","-","-","-"
"100","J. Myers","J. Myers","K","SEA","9","","injury-status","Final W 28-16 @ IND","95","-","-","-","-","-","-","-","-","-","-","-"
"101","J. Hurd","J. Hurd","WR","","","","injury-status","BYE","-","-","-","-","-","-","-","-","-","-","-","-"
"102","A. Schwartz","A. Schwartz","WR","CLE","13","Ques","injury-status questionable","Final L 29-33 @ KC","28","6","39","-","10","23","135","1","-","-","-","-"
"103","J. Doyle","J. Doyle","TE","IND","14","","injury-status","Final L 16-28 vs SEA","65","-","-","-","29","43","302","3","-","-","-","-"
"104","J. Grant","J. Grant","WR","CHI","10","","injury-status","Final L 14-34 @ LAR","31","5","33","-","11","17","132","2","-","-","-","-"
"105","New York. Giants","New York. Giants","DEF","NYG","10","","injury-status","Final L 13-27 vs DEN","99","-","-","-","-","-","-","-","-","-","-","-"
"106","Tennessee. Titans","Tennessee. Titans","DEF","TEN","13","","injury-status","Final L 13-38 vs ARI","134","-","-","-","-","-","-","-","-","-","-","-"
"107","T. Johnson","T. Johnson","WR","TB","9","","injury-status","Final W 31-29 vs DAL","54","-","-","-","36","55","360","-","-","-","-","-"
"108","J. Funk","J. Funk","RB","LAR","11","","injury-status","Final W 34-14 vs CHI","1","2","5","-","-","-","-","-","-","-","-","-"
"109","Y. Koo","Y. Koo","K","ATL","6","","injury-status","Final L 6-32 vs PHI","123","-","-","-","-","-","-","-","-","-","-","-"
"110","M. Prater","M. Prater","K","ARI","12","Ques","injury-status questionable","Final W 38-13 @ TEN","145","-","-","-","-","-","-","-","-","-","-","-"
"111","J. Washington","J. Washington","WR","PIT","7","","injury-status","Final W 23-16 @ BUF","54","2","13","-","24","44","285","2","-","-","-","-"
"112","Q. Nordin","Q. Nordin","K","NE","14","Ques","injury-status questionable","Final L 16-17 vs MIA","-","-","-","-","-","-","-","-","-","-","-","-"
"113","T. Wallace","T. Wallace","WR","BAL","8","","injury-status","Final L 27-33 @ LV","3","-","-","-","2","6","23","-","-","-","-","-"
"114","L. Bell","L. Bell","RB","TB","9","","injury-status","Final W 31-29 vs DAL","36","39","101","2","5","7","30","1","-","-","-","-"
"115","A. Lazard","A. Lazard","WR","GB","13","Ques","injury-status questionable","Final L 3-38 @ NO","123","3","32","-","40","60","513","8","-","-","-","-"
"116","D. Duvernay","D. Duvernay","WR","BAL","8","","injury-status","Final L 27-33 @ LV","66","7","50","-","33","47","272","2","-","-","-","-"
"117","M. Crosby","M. Crosby","K","GB","13","","injury-status","Final L 3-38 @ NO","123","-","-","-","-","-","-","-","-","-","-","-"
"118","T. Vizcaino","T. Vizcaino","K","LAC","7","","injury-status","Final W 20-16 @ WAS","23","-","-","-","-","-","-","-","-","-","-","-"
"119","M. Badgley","M. Badgley","K","IND","14","","injury-status","Final L 16-28 vs SEA","97","-","-","-","-","-","-","-","-","-","-","-"
"120","J. Sanders","J. Sanders","K","MIA","14","IR","injury-status ir","Final W 17-16 @ NE","106","-","-","-","-","-","-","-","-","-","-","-"
"121","R. Gould","R. Gould","K","SF","6","","injury-status","Final W 41-33 @ DET","108","-","-","-","-","-","-","-","-","-","-","-"
"122","D. Njoku","D. Njoku","TE","CLE","13","","injury-status","Final L 29-33 @ KC","90","1","1","-","36","53","475","4","-","-","-","-"
"123","W. Gallman","W. Gallman","RB","MIN","7","","injury-status","Final L 24-27 @ CIN","13","28","104","-","1","3","21","-","-","-","-","-"
"124","Carolina. Panthers","Carolina. Panthers","DEF","CAR","13","","injury-status","Final W 19-14 vs NYJ","102","-","-","-","-","-","-","-","-","-","-","-"
"125","R. Blankenship","R. Blankenship","K","IND","14","","injury-status","Final L 16-28 vs SEA","41","-","-","-","-","-","-","-","-","-","-","-"
"126","C. McLaughlin","C. McLaughlin","K","CLE","13","","injury-status","Final L 29-33 @ KC","86","-","-","-","-","-","-","-","-","-","-","-"
"127","G. Gano","G. Gano","K","NYG","10","","injury-status","Final L 13-27 vs DEN","119","-","-","-","-","-","-","-","-","-","-","-"
"128","J. Ross","J. Ross","WR","NYG","10","Ques","injury-status questionable","Final L 13-27 vs DEN","35","1","16","-","11","20","224","1","-","-","-","-"
"129","Cincinnati. Bengals","Cincinnati. Bengals","DEF","CIN","10","","injury-status","Final W 27-24 vs MIN","125","-","-","-","-","-","-","-","-","-","-","-"
