"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12"
"24","K. Cousins","K. Cousins","QB","ATL","5","","injury-status","Final L 10-18 vs PIT","179","23","-","-","-","-","-","-","303","453","3508","18"
"25","S. Barkley","S. Barkley","RB","PHI","9","","injury-status","Final W 34-29 vs GB","337","345","2005","13","33","43","278","2","-","-","-","-"
"26","T. Hill","T. Hill","WR","MIA","12","Ques","injury-status questionable","Final W 20-17 vs JAX","178","8","53","-","81","123","959","6","-","-","-","-"
"27","B. Hall","B. Hall","RB","NYJ","9","","injury-status","Final L 19-32 @ SF","206","209","876","5","57","76","483","3","-","-","-","-"
"28","J. Chase","J. Chase","WR","CIN","10","","injury-status","Final L 10-16 vs NE","340","3","32","-","127","175","1708","17","-","-","-","-"
"29","M. Stafford","M. Stafford","QB","LAR","8","","injury-status","Final L 20-26 @ DET","217","30","41","-","-","-","-","-","340","517","3762","20"
"30","D. Watson","D. Watson","QB","CLE","9","PUP","injury-status pup","Final L 17-33 vs DAL","75","31","148","1","-","-","-","-","137","216","1148","5"
"31","C. McCaffrey","C. McCaffrey","RB","SF","14","","injury-status","Final W 32-19 vs NYJ","39","50","202","-","15","19","146","-","-","-","-","-"
"32","B. Nix","B. Nix","QB","DEN","12","","injury-status","Final L 20-26 @ SEA","326","92","430","4","1","1","2","1","376","567","3775","29"
"33","W. Levis","W. Levis","QB","TEN","10","IR","injury-status ir","Final L 17-24 @ CHI","122","45","183","-","-","-","-","-","190","301","2091","13"
"34","B. Robinson","B. Robinson","RB","ATL","5","","injury-status","Final L 10-18 vs PIT","310","304","1456","14","61","72","431","1","-","-","-","-"
"35","J. Jefferson","J. Jefferson","WR","MIN","6","Ques","injury-status questionable","Final W 28-6 @ NYG","265","1","3","-","103","154","1533","10","1","1","22","-"
"36","D. Carr","D. Carr","QB","NO","11","NA","injury-status na","Final W 47-10 vs CAR","153","17","71","1","-","-","-","-","189","279","2145","15"
"37","C. Lamb","C. Lamb","WR","DAL","10","","injury-status","Final W 33-17 @ CLE","212","14","70","-","101","152","1194","6","-","-","-","-"
"38","J. Brissett","J. Brissett","QB","NE","14","","injury-status","Final W 16-10 @ CIN","42","15","62","-","-","-","-","-","95","161","826","2"
"39","J. Taylor","J. Taylor","RB","IND","11","","injury-status","Final L 27-29 vs HOU","233","303","1431","11","18","31","136","1","-","-","-","-"
"40","A. Brown","A. Brown","WR","PHI","9","Ques","injury-status questionable","Final W 34-29 vs GB","183","-","-","-","67","97","1079","7","-","-","-","-"
"41","D. Jones","D. Jones","QB","MIN","6","","injury-status","Final W 28-6 @ NYG","138","67","265","2","-","-","-","-","216","341","2070","8"
"42","I. Pacheco","I. Pacheco","RB","KC","10","","injury-status","Final W 27-20 vs BAL","51","83","310","1","12","16","79","-","-","-","-","-"
"43","D. Achane","D. Achane","RB","MIA","12","Ques","injury-status questionable","Final W 20-17 vs JAX","260","203","907","6","78","87","592","6","-","-","-","-"
"44","A. St. Brown","A. St. Brown","WR","DET","8","","injury-status","Final W 26-20 vs LAR","258","2","6","-","115","141","1263","12","1","1","7","1"
"45","A. Kamara","A. Kamara","RB","NO","11","","injury-status","Final W 47-10 vs CAR","230","228","950","6","68","89","543","2","-","-","-","-"
"46","K. Williams","K. Williams","RB","LAR","8","","injury-status","Final L 20-26 @ DET","250","316","1299","14","34","40","182","2","-","-","-","-"
"47","J. Gibbs","J. Gibbs","RB","DET","8","","injury-status","Final W 26-20 vs LAR","336","250","1412","16","52","63","517","4","-","-","-","-"
"48","P. Nacua","P. Nacua","WR","LAR","8","","injury-status","Final L 20-26 @ DET","167","11","46","1","79","106","990","3","-","-","-","-"
"49","A. Cooper","A. Cooper","WR","BUF","7","","injury-status","Final W 34-28 vs ARI","101","-","-","-","44","85","547","4","-","-","-","-"
"50","J. Mixon","J. Mixon","RB","HOU","6","PUP","injury-status pup","Final W 29-27 @ IND","223","245","1016","11","36","52","309","1","-","1","-","-"
"51","T. Etienne","T. Etienne","RB","JAX","8","","injury-status","Final L 17-20 @ MIA","110","150","558","2","39","52","254","-","-","-","-","-"
"52","D. Swift","D. Swift","RB","CHI","5","","injury-status","Final W 24-17 vs TEN","192","253","959","6","42","52","386","-","-","-","-","-"
"53","C. Godwin","C. Godwin","WR","TB","9","Doub","injury-status doubtful","Final W 37-20 vs WAS","112","1","2","-","50","62","576","5","-","-","-","-"
"54","N. Collins","N. Collins","WR","HOU","6","","injury-status","Final W 29-27 @ IND","177","-","-","-","68","99","1006","7","-","-","-","-"
"55","J. Jacobs","J. Jacobs","RB","GB","5","","injury-status","Final L 29-34 @ PHI","271","301","1329","15","36","43","342","1","-","-","-","-"
"56","D. Adams","D. Adams","WR","NYJ","9","","injury-status","Final L 19-32 @ SF","199","-","-","-","85","141","1063","8","-","-","-","-"
"57","J. Cook","J. Cook","RB","BUF","7","","injury-status","Final W 34-28 vs ARI","250","207","1009","16","32","38","258","2","-","-","-","-"
"58","G. Wilson","G. Wilson","WR","NYJ","9","","injury-status","Final L 19-32 @ SF","199","2","5","-","101","154","1104","7","-","-","-","-"
"59","T. Pollard","T. Pollard","RB","TEN","10","","injury-status","Final L 17-24 @ CHI","178","260","1079","5","41","57","238","-","-","-","-","-"
"60","M. Harrison","M. Harrison","WR","ARI","8","","injury-status","Final L 28-34 @ BUF","165","-","-","-","62","116","885","8","-","-","-","-"
"61","R. Stevenson","R. Stevenson","RB","NE","14","Ques","injury-status questionable","Final W 16-10 @ CIN","152","207","801","7","33","41","168","1","-","-","-","-"
"62","M. Evans","M. Evans","WR","TB","9","","injury-status","Final W 37-20 vs WAS","203","-","-","-","74","110","1004","11","-","-","-","-"
"63","D. London","D. London","WR","ATL","5","","injury-status","Final L 10-18 vs PIT","231","1","-3","-","100","158","1271","9","-","-","-","-"
"64","R. White","R. White","RB","TB","9","Ques","injury-status questionable","Final W 37-20 vs WAS","171","144","613","3","51","57","393","6","-","-","-","-"
"65","M. Nabers","M. Nabers","WR","NYG","14","Ques","injury-status questionable","Final L 6-28 vs MIN","218","5","2","-","109","170","1204","7","-","1","-","-"
"66","D. Metcalf","D. Metcalf","WR","SEA","8","","injury-status","Final W 26-20 vs DEN","156","-","-","-","66","108","992","5","-","-","-","-"
"67","T. McLaurin","T. McLaurin","WR","WAS","12","","injury-status","Final L 20-37 @ TB","226","2","2","-","82","117","1096","13","-","-","-","-"
"68","C. Kupp","C. Kupp","WR","LAR","8","","injury-status","Final L 20-26 @ DET","141","2","10","-","67","100","710","6","-","-","-","-"
"69","G. Minshew","G. Minshew","QB","LV","8","","injury-status","Final L 10-22 @ LAC","100","19","58","-","-","-","-","-","203","306","2013","9"
"70","D. Moore","D. Moore","WR","CHI","5","","injury-status","Final W 24-17 vs TEN","188","14","75","-","98","140","966","6","-","1","-","-"
"71","T. Higgins","T. Higgins","WR","CIN","10","","injury-status","Final L 10-16 vs NE","185","-","-","-","73","109","911","10","-","-","-","-"
"72","S. Diggs","S. Diggs","WR","HOU","6","Ques","injury-status questionable","Final W 29-27 @ IND","98","3","8","1","47","64","496","3","1","1","13","-"
"73","J. Waddle","J. Waddle","WR","MIA","12","","injury-status","Final W 20-17 vs JAX","121","4","12","-","58","83","744","2","-","-","-","-"
"74","R. Wilson","R. Wilson","QB","PIT","5","","injury-status","Final W 18-10 @ ATL","173","43","155","2","-","-","-","-","214","336","2482","16"
"75","B. Thomas","B. Thomas","WR","JAX","8","","injury-status","Final L 17-20 @ MIA","241","6","48","-","87","133","1282","10","-","-","-","-"
"76","D. Montgomery","D. Montgomery","RB","DET","8","","injury-status","Final W 26-20 vs LAR","202","185","775","12","36","38","341","-","1","1","3","1"
"77","N. Harris","N. Harris","RB","PIT","5","Ques","injury-status questionable","Final W 18-10 @ ATL","187","263","1043","6","36","48","283","-","-","-","-","-"
"78","A. Jones","A. Jones","RB","MIN","6","","injury-status","Final W 28-6 @ NYG","211","255","1138","5","51","62","408","2","-","-","-","-"
"79","D. Smith","D. Smith","WR","PHI","9","Ques","injury-status questionable","Final W 34-29 vs GB","165","1","1","-","68","89","833","8","-","-","-","-"
"80","B. Aiyuk","B. Aiyuk","WR","SF","14","PUP","injury-status pup","Final W 32-19 vs NYJ","50","-","-","-","25","47","374","-","-","-","-","-"
"81","K. Walker","K. Walker","RB","SEA","8","","injury-status","Final W 26-20 vs DEN","157","153","573","7","46","53","299","1","-","-","-","-"
"82","D. Johnson","D. Johnson","WR","HOU","6","","injury-status","Final W 29-27 @ IND","73","2","6","-","33","67","375","3","-","-","-","-"
"83","Z. Flowers","Z. Flowers","WR","BAL","7","","injury-status","Final L 20-27 @ KC","173","9","56","-","74","116","1059","4","-","-","-","-"
"84","D. Samuel","D. Samuel","WR","SF","14","","injury-status","Final W 32-19 vs NYJ","126","42","136","1","51","81","670","3","-","-","-","-"
"85","G. Pickens","G. Pickens","WR","PIT","5","","injury-status","Final W 18-10 @ ATL","134","2","-6","-","59","103","900","3","-","-","-","-"
"86","C. Hubbard","C. Hubbard","RB","CAR","14","","injury-status","Final L 10-47 @ NO","216","250","1195","10","43","54","171","1","-","-","-","-"
"87","T. Dell","T. Dell","WR","HOU","6","PUP","injury-status pup","Final W 29-27 @ IND","115","9","43","-","51","81","667","3","-","-","-","-"
"88","C. Sutton","C. Sutton","WR","DEN","12","","injury-status","Final L 20-26 @ SEA","199","-","-","-","81","135","1081","8","2","2","30","1"
"89","J. Williams","J. Williams","WR","DET","8","","injury-status","Final W 26-20 vs LAR","183","11","61","1","58","91","1001","7","-","-","-","-"
"90","L. McConkey","L. McConkey","WR","LAC","12","","injury-status","Final W 22-10 vs LV","198","-","-","-","82","112","1149","7","-","-","-","-"
