index,pick,player,position,team,bidder,amount
"180","1","S. Barkley","RB","","lmamut925","54"
"179","2","C. McCaffrey","RB","","DannyTheSwift","79"
"178","3","C. Newton","QB","","DannyTheSwift","1"
"177","4","A. Kamara","RB","","broadwayed","69"
"176","5","J. Taylor","RB","","eqengineering","69"
"175","6","D. Cook","RB","","squeege8","72"
"174","7","A. Jones","RB","","klulaj","56"
"173","8","N. Chubb","RB","","jonjak","59"
"172","9","E. Elliott","RB","","getbiggs","66"
"171","10","T. Hill","WR","","vrael28","49"
"170","11","D. Henry","RB","","vrael28","65"
"169","12","P. Mahomes","QB","","vrael28","38"
"168","13","N. Harris","RB","","getbiggs","48"
"167","14","D. Adams","WR","","Nunchuker","53"
"166","15","T. Buccaneers","DEF","TB","DannyTheSwift","3"
"165","16","T. Kelce","TE","","squeege8","52"
"164","17","S. Diggs","WR","","Crogkiller","48"
"163","18","J. Mixon","RB","","klulaj","43"
"162","19","C. Edwards-Helaire","RB","","squeege8","41"
"161","20","D. Metcalf","WR","","jonjak","42"
"160","21","A. Gibson","RB","","DannyTheSwift","41"
"159","22","A. Ekeler","RB","","Hurwitz","56"
"158","23","D. Hopkins","WR","","klulaj","33"
"157","24","C. Ridley","WR","","Crogkiller","45"
"156","25","D. Montgomery","RB","","lmamut925","40"
"155","26","M. Andrews","TE","","Crogkiller","24"
"154","27","C. Lamb","WR","","Nunchuker","21"
"153","28","K. Allen","WR","","klulaj","26"
"152","29","A. Brown","WR","","getbiggs","31"
"151","30","J. Jefferson","WR","","Hurwitz","35"
"150","31","C. Carson","RB","","Nunchuker","42"
"149","32","M. Evans","WR","","jonjak","24"
"148","33","G. Kittle","TE","","broadwayed","32"
"147","34","J. Jacobs","RB","","eqengineering","39"
"146","35","D. Swift","RB","","Crogkiller","29"
"145","36","A. Robinson","WR","","eqengineering","22"
"144","37","D. Waller","TE","","Hurwitz","31"
"143","38","K. Pitts","TE","","vrael28","20"
"142","39","M. Sanders","RB","","eqengineering","24"
"141","40","T. McLaurin","WR","","broadwayed","28"
"140","41","J. Jones","WR","","lmamut925","20"
"139","42","J. Allen","QB","","DannyTheSwift","29"
"138","43","A. Cooper","WR","","Crogkiller","20"
"137","44","B. Aiyuk","WR","","Nunchuker","15"
"136","45","J. Robinson","RB","","Nunchuker","29"
"135","46","K. Murray","QB","","getbiggs","19"
"134","47","D. Henderson","RB","","Hurwitz","21"
"133","48","D. Moore","WR","","lmamut925","18"
"132","49","R. Woods","WR","","Hurwitz","20"
"131","50","C. Godwin","WR","","DannyTheSwift","17"
"130","51","K. Hunt","RB","","Nunchuker","15"
"129","52","C. Kupp","WR","","DannyTheSwift","18"
"128","53","M. Gaskin","RB","","broadwayed","12"
"127","54","T. Lockett","WR","","Crogkiller","19"
"126","55","C. Edmonds","RB","","squeege8","9"
"125","56","J. Williams","RB","","jonjak","11"
"124","57","D. Prescott","QB","","Hurwitz","7"
"123","58","A. Thielen","WR","","lmamut925","16"
"122","59","M. Davis","RB","","klulaj","16"
"121","60","T. Higgins","WR","","broadwayed","12"
"120","61","L. Jackson","QB","","lmamut925","15"
"119","62","J. Chase","WR","","getbiggs","10"
"118","63","T. Hockenson","TE","","eqengineering","10"
