index,pick,player,position,team,bidder,amount
"117","64","C. Claypool","WR","","squeege8","10"
"116","65","R. Wilson","QB","","jonjak","10"
"115","66","D. Johnson","WR","","eqengineering","9"
"114","67","M. Thomas","WR","","Nunchuker","5"
"113","68","O. Beckham","WR","","jonjak","14"
"112","69","G. Edwards","RB","","broadwayed","17"
"111","70","J. Herbert","QB","","eqengineering","10"
"110","71","C. Sutton","WR","","vrael28","7"
"109","72","K. Golladay","WR","","eqengineering","8"
"108","73","A. Rodgers","QB","","jonjak","8"
"107","74","N. Fant","TE","","getbiggs","5"
"106","75","M. Gordon","RB","","jonjak","7"
"105","76","R. Mostert","RB","","jonjak","8"
"104","77","J. Smith-Schuster","WR","","vrael28","7"
"103","78","L. Fournette","RB","","getbiggs","6"
"102","79","T. Sermon","RB","","broadwayed","7"
"101","80","B. Cooks","WR","","jonjak","1"
"100","81","D. Harris","RB","","Hurwitz","10"
"99","82","J. Conner","RB","","Crogkiller","6"
"98","83","D. Goedert","TE","","Hurwitz","3"
"97","84","J. Jeudy","WR","","Hurwitz","9"
"96","85","R. Jones","RB","","vrael28","5"
"95","86","M. Stafford","QB","","broadwayed","3"
"94","87","D. Samuel","WR","","klulaj","7"
"93","88","R. Anderson","WR","","broadwayed","7"
"92","89","D. Smith","WR","","getbiggs","4"
"91","90","D. Chark","WR","","DannyTheSwift","3"
"90","91","T. Boyd","WR","","lmamut925","7"
"89","92","R. Gronkowski","TE","","jonjak","3"
"88","93","A. Brown","WR","","jonjak","5"
"87","94","M. Carter","RB","","klulaj","2"
"86","95","R. Tonyan","TE","","DannyTheSwift","2"
"85","96","T. Brady","QB","","klulaj","3"
"84","97","L. Thomas","TE","","klulaj","2"
"83","98","J. Landry","WR","","Hurwitz","3"
"82","99","A. Dillon","RB","","getbiggs","3"
"81","100","K. Drake","RB","","klulaj","3"
"80","101","A. Firkser","TE","","lmamut925","1"
"79","102","J. Tucker","K","","klulaj","2"
"78","103","J. Hurts","QB","","squeege8","2"
"77","104","N. Patriots","DEF","NE","jonjak","3"
"76","105","R. Moore","WR","","lmamut925","2"
"75","106","Z. Moss","RB","","lmamut925","2"
"74","107","J. Waddle","WR","","lmamut925","4"
"73","108","C. Davis","WR","","broadwayed","5"
"72","109","T. Pollard","RB","","Nunchuker","1"
"71","110","L. Rams","DEF","LAR","getbiggs","2"
"70","111","D. Singletary","RB","","lmamut925","3"
"69","112","L. Shenault","WR","","squeege8","6"
"68","113","R. Tannehill","QB","","Nunchuker","3"
"67","114","Y. Koo","K","","eqengineering","1"
"66","115","J. Burrow","QB","","Crogkiller","1"
"65","116","D. Johnson","RB","","jonjak","1"
"64","117","M. Pittman","WR","","lmamut925","5"
"63","118","T. Lawrence","QB","","vrael28","1"
"62","119","C. Samuel","WR","","Nunchuker","2"
"61","120","H. Butker","K","","jonjak","2"
"60","121","W. Fuller","WR","","klulaj","2"
"59","122","B. Ravens","DEF","BAL","lmamut925","2"
"58","123","M. Williams","WR","","eqengineering","3"
"57","124","T. Bass","K","","broadwayed","2"
"56","125","H. Henry","TE","","lmamut925","1"
"55","126","W. Football Team","DEF","WAS","eqengineering","1"
"54","127","J. Williams","RB","","Crogkiller","1"
"53","128","M. Gallup","WR","","getbiggs","2"
"52","129","M. Hardman","WR","","vrael28","1"
"51","130","D. Mooney","WR","","klulaj","1"
"50","131","T. Higbee","TE","","Nunchuker","3"
"49","132","H. Ruggs","WR","","broadwayed","3"
"48","133","P. Steelers","DEF","PIT","squeege8","1"
"47","134","E. Moore","WR","","DannyTheSwift","1"
"46","135","J. Sanders","K","","getbiggs","1"
"45","136","M. Brown","WR","","eqengineering","1"
"44","137","M. Gesicki","TE","","Nunchuker","2"
"43","138","R. Gage","WR","","Hurwitz","1"
"42","139","B. Bills","DEF","BUF","vrael28","1"
"41","140","S. 49ers","DEF","SF","Nunchuker","2"
"40","141","P. Lindsay","RB","","broadwayed","1"
"39","142","S. Michel","RB","","Nunchuker","1"
"38","143","M. Callaway","WR","","squeege8","1"
"37","144","D. Parker","WR","","vrael28","2"
"36","145","N. Agholor","WR","","DannyTheSwift","2"
"35","146","M. Jones","WR","","Crogkiller","2"
"34","147","C. Hubbard","RB","","Crogkiller","1"
"33","148","I. Colts","DEF","IND","klulaj","2"
"32","149","N. Hines","RB","","vrael28","1"
"31","150","B. Mayfield","QB","","klulaj","1"
"30","151","T. Coleman","RB","","broadwayed","1"
"29","152","M. Crosby","K","","Nunchuker","1"
"28","153","D. Broncos","DEF","DEN","squeege8","1"
"27","154","G. Zuerlein","K","","DannyTheSwift","1"
"26","155","T. Lance","QB","","getbiggs","1"
"25","156","L. Murray","RB","","eqengineering","1"
"24","157","A. Mattison","RB","","Crogkiller","1"
"23","158","R. Stevenson","RB","","Hurwitz","1"
"22","159","C. Beasley","WR","","vrael28","1"
"21","160","C. Browns","DEF","CLE","broadwayed","1"
"20","161","J. Meyers","WR","","squeege8","1"
"19","162","J. Reagor","WR","","DannyTheSwift","1"
"18","163","J. McKissic","RB","","getbiggs","1"
"17","164","J. Fields","QB","","eqengineering","1"
"16","165","M. Ryan","QB","","Crogkiller","1"
"15","166","N. Saints","DEF","NO","Hurwitz","1"
"14","167","J. Smith","TE","","vrael28","1"
"13","168","T. Williams","WR","","squeege8","1"
"12","169","T. Marshall","WR","","DannyTheSwift","1"
"11","170","T. Hilton","WR","","getbiggs","1"
"10","171","K. Gainwell","RB","","eqengineering","1"
"9","172","J. Myers","K","","Crogkiller","1"
"8","173","R. Penny","RB","","Hurwitz","1"
"7","174","R. Succop","K","","vrael28","1"
"6","175","G. Bernard","RB","","squeege8","1"
"5","176","G. Davis","WR","","DannyTheSwift","1"
"4","177","K. Chiefs","DEF","KC","Crogkiller","1"
"3","178","M. Prater","K","","Hurwitz","1"
"2","179","A. St. Brown","WR","","squeege8","1"
"1","180","R. Blankenship","K","","squeege8","1"
