"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12"
"88","J. Gibbs","J. Gibbs","RB","DET","8","","injury-status","Final W 21-20 @ KC","214","182","945","10","52","71","316","1","-","-","-","-"
"89","M. Andrews","M. Andrews","TE","BAL","7","","injury-status","Final W 25-9 vs HOU","112","1","-","-","45","61","544","6","-","-","-","-"
"90","J. Ford","J. Ford","RB","CLE","9","","injury-status","Final W 24-3 vs CIN","188","204","813","4","44","63","319","5","-","-","-","-"
"91","C. Kirk","C. Kirk","WR","JAX","8","","injury-status","Final W 31-21 @ IND","120","1","6","-","57","85","787","3","1","2","-1","-"
"92","K. Williams","K. Williams","RB","LAR","8","","injury-status","Final W 30-13 @ SEA","236","228","1144","12","32","48","206","3","-","-","-","-"
"93","M. Pittman","M. Pittman","WR","IND","11","","injury-status","Final L 21-31 vs JAX","194","-","-","-","109","156","1152","4","-","-","-","-"
"94","A. Dillon","A. Dillon","RB","GB","5","","injury-status","Final W 38-20 @ CHI","107","178","613","2","22","28","223","-","-","-","-","-"
"95","I. Pacheco","I. Pacheco","RB","KC","10","","injury-status","Final L 20-21 vs DET","191","205","935","7","44","49","244","2","-","-","-","-"
"96","B. Robinson","B. Robinson","RB","WAS","12","","injury-status","Final W 20-16 vs ARI","176","178","733","5","36","43","368","4","-","-","-","-"
"97","G. Pickens","G. Pickens","WR","PIT","5","","injury-status","Final L 7-30 vs SF","174","3","18","-","63","106","1140","5","-","-","-","-"
"98","J. Cook","J. Cook","RB","BUF","7","","injury-status","Final L 16-22 @ NYJ","207","237","1122","2","44","54","445","4","-","-","-","-"
"99","N. Collins","N. Collins","WR","HOU","6","","injury-status","Final L 9-25 @ BAL","219","1","7","-","80","109","1297","8","-","-","-","-"
"100","J. Dotson","J. Dotson","WR","WAS","12","","injury-status","Final W 20-16 vs ARI","100","-","-","-","49","83","518","4","-","-","-","-"
"101","H. Brown","H. Brown","WR","ARI","8","Ques","injury-status questionable","Final L 16-20 @ WAS","109","2","23","-","51","101","574","4","-","-","-","-"
"102","R. Mostert","R. Mostert","RB","MIA","12","","injury-status","Final W 36-34 @ LAC","251","209","1012","18","25","32","175","3","-","-","-","-"
"103","J. Addison","J. Addison","WR","MIN","6","Sus","injury-status sus","Final L 17-20 vs TB","186","1","2","-","70","108","911","10","-","-","-","-"
"104","D. Cook","D. Cook","RB","BAL","7","","injury-status","Final W 25-9 vs HOU","31","67","214","-","15","20","78","-","-","-","-","-"
"105","C. Watson","C. Watson","WR","GB","5","PUP","injury-status pup","Final W 38-20 @ CHI","87","4","11","-","28","53","422","5","-","-","-","-"
"106","B. Cooks","B. Cooks","WR","DAL","10","","injury-status","Final W 40-0 @ NYG","145","5","35","-","54","81","657","8","-","-","-","-"
"107","T. Hockenson","T. Hockenson","TE","MIN","6","","injury-status","Final L 17-20 vs TB","171","-","-","-","95","127","960","5","-","-","-","-"
"108","G. Davis","G. Davis","WR","BUF","7","Ques","injury-status questionable","Final L 16-22 @ NYJ","138","1","-2","-","45","81","746","7","-","-","-","-"
"109","K. Herbert","K. Herbert","RB","CHI","5","","injury-status","Final L 20-38 vs GB","102","132","611","2","20","31","134","1","-","-","-","-"
"110","G. Edwards","G. Edwards","RB","BAL","7","","injury-status","Final W 25-9 vs HOU","178","198","810","13","12","13","180","-","-","-","-","-"
"111","M. Thomas","M. Thomas","WR","NO","11","","injury-status","Final W 16-15 vs TEN","70","-","-","-","39","64","448","1","-","-","-","-"
"112","G. Kittle","G. Kittle","TE","SF","14","","injury-status","Final W 30-7 @ PIT","171","1","2","-","65","90","1020","6","-","-","-","-"
"113","J. Dobbs","J. Dobbs","QB","MIN","6","","injury-status","Final L 17-20 vs TB","197","77","421","6","-","-","-","-","262","417","2464","13"
"114","D. Waller","D. Waller","TE","NYG","14","","injury-status","Final L 0-40 vs DAL","87","-","-","-","52","74","552","1","-","-","-","-"
"115","C. Sutton","C. Sutton","WR","DEN","12","","injury-status","Final L 16-17 vs LV","158","-","-","-","59","90","772","10","-","-","-","-"
"116","S. Moore","S. Moore","WR","KC","10","","injury-status","Final L 20-21 vs DET","43","3","23","-","21","38","244","1","-","-","-","-"
"117","Z. Charbonnet","Z. Charbonnet","RB","SEA","8","","injury-status","Final L 13-30 vs LAR","90","108","462","1","33","40","209","-","-","-","-","-"
"118","J. Williams","J. Williams","RB","NO","11","","injury-status","Final W 16-15 vs TEN","51","106","306","1","18","20","62","-","-","-","-","-"
"119","T. Burks","T. Burks","WR","TEN","10","IR","injury-status ir","Final L 15-16 @ NO","32","5","18","-","16","30","221","-","-","-","-","-"
"120","T. Atwell","T. Atwell","WR","LAR","8","","injury-status","Final W 30-13 @ SEA","93","5","31","-","39","67","483","3","-","-","-","-"
"121","J. Meyers","J. Meyers","WR","LV","8","","injury-status","Final W 17-16 @ DEN","183","4","24","2","71","106","807","8","2","3","12","1"
"122","D. Goedert","D. Goedert","TE","PHI","9","Ques","injury-status questionable","Final W 25-20 @ NE","107","1","1","-","59","83","592","3","-","-","-","-"
"123","Z. Flowers","Z. Flowers","WR","BAL","7","","injury-status","Final W 25-9 vs HOU","168","8","56","1","77","108","858","5","-","-","-","-"
"124","T. Dell","T. Dell","WR","HOU","6","PUP","injury-status pup","Final L 9-25 @ BAL","141","11","51","-","47","75","709","7","-","-","-","-"
"125","D. Johnson","D. Johnson","WR","PIT","5","","injury-status","Final L 7-30 vs SF","126","-","-","-","51","87","717","5","-","-","-","-"
"126","K. Pitts","K. Pitts","TE","ATL","5","","injury-status","Final W 24-10 vs CAR","111","1","-4","-","53","90","667","3","-","-","-","-"
"127","A. Gibson","A. Gibson","RB","WAS","12","","injury-status","Final W 20-16 vs ARI","99","65","265","1","48","59","389","2","-","-","-","-"
"128","J. Smith-Schuster","J. Smith-Schuster","WR","NE","14","","injury-status","Final L 20-25 vs PHI","47","-","-","-","29","47","260","1","-","-","-","-"
"129","R. Bateman","R. Bateman","WR","BAL","7","","injury-status","Final W 25-9 vs HOU","61","1","18","-","32","56","367","1","-","-","-","-"
"130","D. Njoku","D. Njoku","TE","CLE","9","","injury-status","Final W 24-3 vs CIN","159","-","-","-","81","123","882","6","-","-","-","-"
"131","S. Perine","S. Perine","RB","DEN","12","","injury-status","Final L 16-17 vs LV","93","53","238","1","50","56","455","-","-","-","-","-"
"132","E. Engram","E. Engram","TE","JAX","8","","injury-status","Final W 31-21 @ IND","170","-","-","-","114","143","963","4","-","-","-","-"
"133","T. Boyd","T. Boyd","WR","CIN","10","","injury-status","Final L 3-24 @ CLE","112","2","11","-","67","98","667","2","-","1","-","-"
"134","P. Freiermuth","P. Freiermuth","TE","PIT","5","","injury-status","Final L 7-30 vs SF","61","-","-","-","32","47","308","2","-","-","-","-"
"135","O. Beckham","O. Beckham","WR","BAL","7","","injury-status","Final W 25-9 vs HOU","89","-","-","-","35","64","565","3","-","-","-","-"
"136","J. Williams","J. Williams","WR","DET","8","","injury-status","Final W 21-20 @ KC","67","3","29","1","24","42","354","2","-","-","-","-"
"137","J. Smith-Njigba","J. Smith-Njigba","WR","SEA","8","","injury-status","Final L 13-30 vs LAR","118","-","-","-","63","93","628","4","-","-","-","-"
"138","K. Toney","K. Toney","WR","KC","10","","injury-status","Final L 20-21 vs DET","39","11","31","-","27","38","169","1","-","1","-","-"
"139","E. Moore","E. Moore","WR","CLE","9","","injury-status","Final W 24-3 vs CIN","101","9","11","-","59","104","640","2","-","-","-","-"
"140","R. Woods","R. Woods","WR","HOU","6","","injury-status","Final L 9-25 @ BAL","69","1","7","-","40","75","426","1","-","-","-","-"
"141","P. Walker","P. Walker","QB","CLE","9","","injury-status","Final W 24-3 vs CIN","21","13","30","-","-","-","-","-","54","111","674","1"
"142","T. Allgeier","T. Allgeier","RB","ATL","5","","injury-status","Final W 24-10 vs CAR","129","186","683","4","18","23","193","1","-","-","-","-"
"143","D. Mooney","D. Mooney","WR","CHI","5","Ques","injury-status questionable","Final L 20-38 vs GB","63","2","5","-","31","61","414","1","-","-","-","-"
"144","Z. Jones","Z. Jones","WR","JAX","8","","injury-status","Final W 31-21 @ IND","61","-","-","-","34","64","321","2","-","-","-","-"
"145","A. Lazard","A. Lazard","WR","NYJ","9","Ques","injury-status questionable","Final W 22-16 vs BUF","49","-","-","-","23","49","311","1","-","-","-","-"
"146","J. Kelley","J. Kelley","RB","LAC","12","","injury-status","Final L 34-36 vs MIA","57","107","405","2","8","12","32","-","-","-","-","-"
"147","A. Thielen","A. Thielen","WR","CAR","14","","injury-status","Final L 10-24 @ ATL","178","1","6","-","103","137","1014","4","-","-","-","-"
"148","Q. Johnston","Q. Johnston","WR","LAC","12","Ques","injury-status questionable","Final L 34-36 vs MIA","75","3","9","-","38","67","431","2","-","-","-","-"
"149","W. Levis","W. Levis","QB","TEN","10","IR","injury-status ir","Final L 15-16 @ NO","99","25","57","1","-","-","-","-","149","255","1808","8"
"150","R. Rice","R. Rice","WR","KC","10","Sus","injury-status sus","Final L 20-21 vs DET","171","1","-3","-","79","102","938","7","-","-","-","-"
"151","S. LaPorta","S. LaPorta","TE","DET","8","","injury-status","Final W 21-20 @ KC","196","1","4","-","86","120","889","10","-","-","-","-"
"152","M. Mims","M. Mims","WR","DEN","12","Ques","injury-status questionable","Final L 16-17 vs LV","58","9","30","-","22","33","377","1","-","-","-","-"
"153","D. Singletary","D. Singletary","RB","HOU","6","","injury-status","Final L 9-25 @ BAL","151","216","898","4","30","38","193","-","1","1","6","1"
"154","R. Doubs","R. Doubs","WR","GB","5","","injury-status","Final W 38-20 @ CHI","144","-","-","-","59","96","674","8","-","-","-","-"
"155","H. Henry","H. Henry","TE","NE","14","","injury-status","Final L 20-25 vs PHI","98","-","-","-","42","61","419","6","-","-","-","-"
"156","R. Shaheed","R. Shaheed","WR","NO","11","","injury-status","Final W 16-15 vs TEN","132","7","37","-","46","75","719","5","-","-","-","-"
"157","D. Peoples-Jones","D. Peoples-Jones","WR","DET","8","","injury-status","Final W 21-20 @ KC","21","-","-","-","13","25","155","-","-","-","-","-"
"158","D. Thompson-Robinson","D. Thompson-Robinson","QB","CLE","9","","injury-status","Final W 24-3 vs CIN","24","14","65","-","-","-","-","-","60","112","440","1"
"159","J. Hill","J. Hill","RB","BAL","7","","injury-status","Final W 25-9 vs HOU","94","84","387","3","28","39","206","1","-","-","-","-"
"160","C. Samuel","C. Samuel","WR","WAS","12","Ques","injury-status questionable","Final W 20-16 vs ARI","126","7","39","1","62","91","613","4","-","-","-","-"
"161","K. Gainwell","K. Gainwell","RB","PHI","9","","injury-status","Final W 25-20 @ NE","79","84","364","2","30","37","183","-","1","1","17","-"
"162","M. Gallup","M. Gallup","WR","DAL","10","","injury-status","Final W 40-0 @ NYG","71","-","-","-","34","57","418","2","-","-","-","-"
"163","R. Moore","R. Moore","WR","ARI","8","IR","injury-status ir","Final L 16-20 @ WAS","84","28","178","1","40","62","352","1","-","-","-","-"
"164","San Francisco. 49ers","San Francisco. 49ers","DEF","SF","14","","injury-status","Final W 30-7 @ PIT","150","-","-","-","-","-","-","-","-","-","-","-"
"165","J. Hyatt","J. Hyatt","WR","NYG","14","","injury-status","Final L 0-40 vs DAL","48","-","-","-","23","40","373","-","-","-","-","-"
"166","J. Reed","J. Reed","WR","GB","5","Ques","injury-status questionable","Final W 38-20 @ CHI","183","11","119","2","64","94","793","8","-","-","-","-"
"167","D. Parker","D. Parker","WR","NE","14","","injury-status","Final L 20-25 vs PHI","56","-","-","-","33","55","394","-","-","-","-","-"
"168","D. Chark","D. Chark","WR","CAR","14","","injury-status","Final L 10-24 @ ATL","96","-","-","-","35","66","525","5","-","-","-","-"
"169","Dallas. Cowboys","Dallas. Cowboys","DEF","DAL","10","","injury-status","Final W 40-0 @ NYG","192","-","-","-","-","-","-","-","-","-","-","-"
"170","J. Warren","J. Warren","RB","PIT","5","","injury-status","Final L 7-30 vs SF","162","149","784","4","61","74","370","-","-","-","-","-"
"171","D. Harris","D. Harris","RB","BUF","7","","injury-status","Final L 16-22 @ NYJ","18","23","94","1","2","2","16","-","-","-","-","-"
"172","C. Kmet","C. Kmet","TE","CHI","5","","injury-status","Final L 20-38 vs GB","144","3","2","-","73","90","719","6","-","-","-","-"
"173","J. Tucker","J. Tucker","K","BAL","7","Sus","injury-status sus","Final W 25-9 vs HOU","154","-","-","-","-","-","-","-","-","-","-","-"
"174","A. Pierce","A. Pierce","WR","IND","11","","injury-status","Final L 21-31 vs JAX","79","-","-","-","32","65","514","2","-","-","-","-"
"175","J. Mingo","J. Mingo","WR","CAR","14","IR","injury-status ir","Final L 10-24 @ ATL","62","-","-","-","43","85","418","-","-","-","-","-"
"176","K. Osborn","K. Osborn","WR","MIN","6","","injury-status","Final L 17-20 vs TB","95","-","-","-","48","75","540","3","-","-","-","-"
"177","T. Bass","T. Bass","K","BUF","7","","injury-status","Final L 16-22 @ NYJ","127","-","-","-","-","-","-","-","-","-","-","-"
"178","Buffalo. Bills","Buffalo. Bills","DEF","BUF","7","","injury-status","Final L 16-22 @ NYJ","172","-","-","-","-","-","-","-","-","-","-","-"
"179","C. Hubbard","C. Hubbard","RB","CAR","14","","injury-status","Final L 10-24 @ ATL","162","238","902","5","39","44","233","-","-","-","-","-"
"180","E. Elliott","E. Elliott","RB","NE","14","","injury-status","Final L 20-25 vs PHI","147","184","642","3","51","65","313","2","-","-","-","-"
"181","E. McPherson","E. McPherson","K","CIN","10","","injury-status","Final L 3-24 @ CLE","135","-","-","-","-","-","-","-","-","-","-","-"
"182","D. Slayton","D. Slayton","WR","NYG","14","","injury-status","Final L 0-40 vs DAL","126","-","-","-","50","79","770","4","-","-","-","-"
"183","D. Schultz","D. Schultz","TE","HOU","6","","injury-status","Final L 9-25 @ BAL","120","-","-","-","59","88","635","5","-","-","-","-"
"184","D. Achane","D. Achane","RB","MIA","12","Ques","injury-status questionable","Final W 36-34 @ LAC","176","103","800","8","27","37","197","3","-","-","-","-"
"185","Philadelphia. Eagles","Philadelphia. Eagles","DEF","PHI","9","","injury-status","Final W 25-20 @ NE","116","-","-","-","-","-","-","-","-","-","-","-"
"186","Miami. Dolphins","Miami. Dolphins","DEF","MIA","12","","injury-status","Final W 36-34 @ LAC","165","-","-","-","-","-","-","-","-","-","-","-"
"187","M. Valdes-Scantling","M. Valdes-Scantling","WR","KC","10","","injury-status","Final L 20-21 vs DET","45","-","-","-","21","42","315","1","-","-","-","-"
"188","H. Butker","H. Butker","K","KC","10","","injury-status","Final L 20-21 vs DET","152","-","-","-","-","-","-","-","-","-","-","-"
"189","T. DeVito","T. DeVito","QB","NYG","14","","injury-status","Final L 0-40 vs DAL","95","36","195","1","-","-","-","-","114","178","1101","8"
"190","E. Mitchell","E. Mitchell","RB","SF","14","","injury-status","Final W 30-7 @ PIT","45","75","281","2","6","8","14","-","-","-","-","-"
"191","D. Kincaid","D. Kincaid","TE","BUF","7","","injury-status","Final L 16-22 @ NYJ","113","-","-","-","73","91","673","2","-","-","-","-"
