"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12"
"1","J. Hurts","J. Hurts","QB","PHI","9","","injury-status","Final W 25-20 @ NE","363","157","605","15","-","-","-","-","352","538","3858","23"
"2","P. Mahomes","P. Mahomes","QB","KC","10","","injury-status","Final L 20-21 vs DET","289","75","389","-","-","-","-","-","401","597","4183","27"
"3","J. Allen","J. Allen","QB","BUF","7","","injury-status","Final L 16-22 @ NYJ","404","111","524","15","-","-","-","-","385","579","4306","29"
"4","L. Jackson","L. Jackson","QB","BAL","7","Ques","injury-status questionable","Final W 25-9 vs HOU","327","148","821","5","-","-","-","-","307","457","3678","24"
"5","J. Burrow","J. Burrow","QB","CIN","10","","injury-status","Final L 3-24 @ CLE","151","31","88","-","-","-","-","-","244","365","2309","15"
"6","J. Herbert","J. Herbert","QB","LAC","12","","injury-status","Final L 34-36 vs MIA","237","52","228","3","1","1","10","-","297","456","3134","20"
"7","T. Tagovailoa","T. Tagovailoa","QB","MIA","12","","injury-status","Final W 36-34 @ LAC","271","35","74","-","-","-","-","-","388","560","4624","29"
"8","J. Fields","J. Fields","QB","CHI","5","","injury-status","Final L 20-38 vs GB","229","124","657","4","-","-","-","-","227","370","2562","16"
"9","C. McCaffrey","C. McCaffrey","RB","SF","14","","injury-status","Final W 30-7 @ PIT","355","272","1459","14","67","83","564","7","-","-","-","-"
"10","T. Lawrence","T. Lawrence","QB","JAX","8","","injury-status","Final W 31-21 @ IND","265","70","339","4","-","-","-","-","370","564","4016","21"
"11","D. Prescott","D. Prescott","QB","DAL","10","","injury-status","Final W 40-0 @ NYG","348","55","242","2","-","-","-","-","410","590","4516","36"
"12","D. Watson","D. Watson","QB","CLE","9","PUP","injury-status pup","Final W 24-3 vs CIN","86","26","142","1","-","-","-","-","105","171","1115","7"
"13","A. Richardson","A. Richardson","QB","IND","11","","injury-status","Final L 21-31 vs JAX","71","25","136","4","-","-","-","-","50","84","577","3"
"14","K. Cousins","K. Cousins","QB","MIN","6","","injury-status","Final L 17-20 vs TB","148","14","25","-","-","-","-","-","216","311","2331","18"
"15","D. Jones","D. Jones","QB","NYG","14","","injury-status","Final L 0-40 vs DAL","59","40","206","1","-","-","-","-","108","160","909","2"
"16","J. Jefferson","J. Jefferson","WR","MIN","6","Ques","injury-status questionable","Final L 17-20 vs TB","167","1","-12","-","68","100","1074","5","-","1","-","-"
"17","R. Wilson","R. Wilson","QB","DEN","12","","injury-status","Final L 16-17 vs LV","255","80","341","3","-","-","-","-","297","447","3070","26"
"18","G. Smith","G. Smith","QB","SEA","8","","injury-status","Final L 13-30 vs LAR","231","37","155","1","1","1","-2","-","323","499","3624","20"
"19","M. Stafford","M. Stafford","QB","LAR","8","","injury-status","Final W 30-13 @ SEA","254","21","65","-","-","-","-","-","326","521","3965","24"
"20","C. Stroud","C. Stroud","QB","HOU","6","","injury-status","Final L 9-25 @ BAL","273","39","167","3","1","1","-","-","319","499","4108","23"
"21","B. Purdy","B. Purdy","QB","SF","14","","injury-status","Final W 30-7 @ PIT","301","39","144","2","-","-","-","-","308","444","4280","31"
"22","J. Chase","J. Chase","WR","CIN","10","","injury-status","Final L 3-24 @ CLE","212","3","-6","-","100","145","1216","7","1","1","-7","-"
"23","J. Goff","J. Goff","QB","DET","8","","injury-status","Final W 21-20 @ KC","295","32","21","2","-","-","-","-","407","605","4575","30"
"24","J. Love","J. Love","QB","GB","5","","injury-status","Final W 38-20 @ CHI","321","50","247","4","-","-","-","-","372","579","4159","32"
"25","A. Ekeler","A. Ekeler","RB","LAC","12","","injury-status","Final L 34-36 vs MIA","155","179","628","5","51","74","436","1","-","-","-","-"
"26","T. Hill","T. Hill","WR","MIA","12","Ques","injury-status questionable","Final W 36-34 @ LAC","316","6","15","-","119","171","1799","13","-","-","-","-"
"27","K. Pickett","K. Pickett","QB","PIT","5","Ques","injury-status questionable","Final L 7-30 vs SF","112","42","54","1","-","-","-","-","201","324","2070","6"
"28","S. Howell","S. Howell","QB","WAS","12","","injury-status","Final W 20-16 vs ARI","274","48","263","5","1","1","4","-","388","612","3946","21"
"29","D. Carr","D. Carr","QB","NO","11","NA","injury-status na","Final W 16-15 vs TEN","242","32","40","-","-","-","-","-","375","548","3878","25"
"30","K. Murray","K. Murray","QB","ARI","8","","injury-status","Final L 16-20 @ WAS","144","44","244","3","-","-","-","-","176","268","1799","10"
"31","B. Young","B. Young","QB","CAR","14","","injury-status","Final L 10-24 @ ATL","155","39","253","-","-","-","-","-","315","527","2877","11"
"32","D. Adams","D. Adams","WR","LV","8","","injury-status","Final W 17-16 @ DEN","214","-","-","-","103","175","1144","8","-","-","-","-"
"33","S. Diggs","S. Diggs","WR","BUF","7","Ques","injury-status questionable","Final L 16-22 @ NYJ","218","1","5","-","107","160","1183","8","-","-","-","-"
"34","B. Mayfield","B. Mayfield","QB","TB","9","","injury-status","Final W 20-17 @ MIN","276","62","163","1","-","-","-","-","364","566","4044","28"
"35","M. Jones","M. Jones","QB","NE","14","Ques","injury-status questionable","Final L 20-25 vs PHI","115","26","96","-","-","-","-","-","224","345","2120","10"
"36","A. Brown","A. Brown","WR","PHI","9","Ques","injury-status questionable","Final W 25-20 @ NE","235","-","-","-","106","158","1456","7","-","-","-","-"
"37","B. Robinson","B. Robinson","RB","ATL","5","","injury-status","Final W 24-10 vs CAR","213","214","976","4","58","86","487","4","-","-","-","-"
"38","R. Tannehill","R. Tannehill","QB","TEN","10","","injury-status","Final L 15-16 @ NO","83","17","74","1","-","1","-","-","149","230","1616","4"
"39","C. Lamb","C. Lamb","WR","DAL","10","","injury-status","Final W 40-0 @ NYG","333","14","113","2","135","181","1749","12","-","-","-","-"
"40","D. Henry","D. Henry","RB","TEN","10","","injury-status","Final L 15-16 @ NO","233","280","1167","12","28","36","214","-","2","3","14","2"
"41","S. Barkley","S. Barkley","RB","NYG","14","","injury-status","Final L 0-40 vs DAL","201","247","962","6","41","60","280","4","-","-","-","-"
"42","D. Ridder","D. Ridder","QB","ATL","5","","injury-status","Final W 24-10 vs CAR","177","53","193","5","1","1","-6","-","249","388","2836","12"
"43","J. Garoppolo","J. Garoppolo","QB","LV","8","","injury-status","Final W 17-16 @ DEN","72","20","39","-","-","-","-","-","110","169","1205","7"
"44","J. Jacobs","J. Jacobs","RB","LV","8","","injury-status","Final W 17-16 @ DEN","160","233","805","6","37","54","296","-","-","-","-","-"
"45","T. Etienne","T. Etienne","RB","JAX","8","","injury-status","Final W 31-21 @ IND","253","267","1008","11","58","73","476","1","-","-","-","-"
"46","T. Pollard","T. Pollard","RB","DAL","10","","injury-status","Final W 40-0 @ NYG","192","252","1005","6","55","67","311","-","-","-","-","-"
"47","A. St. Brown","A. St. Brown","WR","DET","8","","injury-status","Final W 21-20 @ KC","270","4","24","-","119","164","1515","10","-","-","-","-"
"48","D. Montgomery","D. Montgomery","RB","DET","8","","injury-status","Final W 21-20 @ KC","197","219","1015","13","16","24","117","-","-","-","-","-"
"49","T. Kelce","T. Kelce","TE","KC","10","","injury-status","Final L 20-21 vs DET","172","-","-","-","93","121","984","5","-","-","-","-"
"50","J. Waddle","J. Waddle","WR","MIA","12","","injury-status","Final W 36-34 @ LAC","163","3","12","-","72","104","1014","4","-","-","-","-"
"51","R. Stevenson","R. Stevenson","RB","NE","14","Ques","injury-status questionable","Final L 20-25 vs PHI","126","156","619","4","38","51","238","-","-","-","-","-"
"52","N. Harris","N. Harris","RB","PIT","5","Ques","injury-status questionable","Final L 7-30 vs SF","179","255","1035","8","29","38","170","-","-","-","-","-"
"53","J. Mixon","J. Mixon","RB","CIN","10","PUP","injury-status pup","Final L 3-24 @ CLE","241","257","1034","9","52","64","376","3","-","-","-","-"
"54","G. Wilson","G. Wilson","WR","NYJ","9","","injury-status","Final W 22-16 vs BUF","164","4","-","-","95","168","1042","3","-","1","-","-"
"55","D. Pierce","D. Pierce","RB","HOU","6","","injury-status","Final L 9-25 @ BAL","76","145","416","2","13","17","101","-","-","-","-","-"
"56","Z. Wilson","Z. Wilson","QB","NYJ","9","","injury-status","Final W 22-16 vs BUF","116","36","211","-","-","-","-","-","221","368","2271","8"
"57","C. Ridley","C. Ridley","WR","JAX","8","Ques","injury-status questionable","Final W 31-21 @ IND","191","9","23","-","76","136","1016","8","-","-","-","-"
"58","C. Olave","C. Olave","WR","NO","11","","injury-status","Final W 16-15 vs TEN","188","-","-","-","87","138","1123","5","-","-","-","-"
"59","D. Smith","D. Smith","WR","PHI","9","Ques","injury-status questionable","Final W 25-20 @ NE","186","-","-","-","81","112","1066","7","-","-","-","-"
"60","T. Higgins","T. Higgins","WR","CIN","10","","injury-status","Final L 3-24 @ CLE","117","-","-","-","42","76","656","5","-","-","-","-"
"61","K. Walker","K. Walker","RB","SEA","8","","injury-status","Final L 13-30 vs LAR","184","219","905","8","29","37","259","1","-","-","-","-"
"62","C. Kupp","C. Kupp","WR","LAR","8","","injury-status","Final W 30-13 @ SEA","135","1","-3","-","59","95","737","5","-","-","-","-"
"63","D. Samuel","D. Samuel","WR","SF","14","","injury-status","Final W 30-7 @ PIT","213","37","225","5","60","89","892","7","-","1","-","-"
"64","C. Godwin","C. Godwin","WR","TB","9","Doub","injury-status doubtful","Final W 20-17 @ MIN","168","4","38","1","83","130","1024","2","-","1","-","-"
"65","A. Jones","A. Jones","RB","GB","5","","injury-status","Final W 38-20 @ CHI","118","142","656","2","30","43","233","1","-","-","-","-"
"66","D. Metcalf","D. Metcalf","WR","SEA","8","","injury-status","Final L 13-30 vs LAR","192","-","-","-","66","119","1114","8","-","-","-","-"
"67","P. Nacua","P. Nacua","WR","LAR","8","","injury-status","Final W 30-13 @ SEA","245","12","89","-","105","160","1486","6","-","-","-","-"
"68","M. Evans","M. Evans","WR","TB","9","","injury-status","Final W 20-17 @ MIN","243","-","-","-","79","136","1255","13","-","-","-","-"
"69","D. Moore","D. Moore","WR","CHI","5","","injury-status","Final L 20-38 vs GB","238","4","21","1","96","136","1364","8","-","-","-","-"
"70","B. Hall","B. Hall","RB","NYJ","9","","injury-status","Final W 22-16 vs BUF","251","223","994","5","76","95","591","4","-","-","-","-"
"71","A. Cooper","A. Cooper","WR","CLE","9","","injury-status","Final W 24-3 vs CIN","189","-","-","-","72","128","1250","5","-","-","-","-"
"72","M. Sanders","M. Sanders","RB","CAR","14","Ques","injury-status questionable","Final L 10-24 @ ATL","72","129","432","1","27","41","154","-","-","-","-","-"
"73","K. Allen","K. Allen","WR","LAC","12","","injury-status","Final L 34-36 vs MIA","223","2","6","-","108","150","1243","7","1","2","49","1"
"74","D. London","D. London","WR","ATL","5","","injury-status","Final W 24-10 vs CAR","140","-","-","-","69","110","905","2","1","1","22","-"
"75","T. McLaurin","T. McLaurin","WR","WAS","12","","injury-status","Final W 20-16 vs ARI","170","-","-","-","79","132","1002","4","-","-","-","-"
"76","J. Williams","J. Williams","RB","DEN","12","","injury-status","Final L 16-17 vs LV","155","217","774","3","47","58","228","2","-","-","-","-"
"77","D. Swift","D. Swift","RB","PHI","9","","injury-status","Final W 25-20 @ NE","177","229","1049","5","39","49","214","1","-","-","-","-"
"78","A. Mattison","A. Mattison","RB","MIN","6","IR","injury-status ir","Final L 17-20 vs TB","115","180","700","-","30","44","192","3","-","-","-","-"
"79","J. Taylor","J. Taylor","RB","IND","11","","injury-status","Final L 21-31 vs JAX","146","169","741","7","19","23","153","1","-","-","-","-"
"80","J. Conner","J. Conner","RB","ARI","8","","injury-status","Final L 16-20 @ WAS","188","208","1040","7","27","33","165","2","-","-","-","-"
"81","D. Hopkins","D. Hopkins","WR","TEN","10","Ques","injury-status questionable","Final L 15-16 @ NO","186","2","9","-","75","137","1057","7","-","1","-","-"
"82","B. Aiyuk","B. Aiyuk","WR","SF","14","PUP","injury-status pup","Final W 30-7 @ PIT","211","-","-","-","75","105","1342","7","-","-","-","-"
"83","T. Lockett","T. Lockett","WR","SEA","8","","injury-status","Final L 13-30 vs LAR","163","-","-","-","79","122","894","5","-","-","-","-"
"84","J. Jeudy","J. Jeudy","WR","DEN","12","","injury-status","Final L 16-17 vs LV","115","-","-","-","54","87","758","2","-","-","-","-"
"85","M. Williams","M. Williams","WR","LAC","12","DNR","injury-status dnr","Final L 34-36 vs MIA","41","1","3","-","19","26","249","1","-","-","-","-"
"86","A. Kamara","A. Kamara","RB","NO","11","","injury-status","Final W 16-15 vs TEN","196","180","694","5","75","86","466","1","-","-","-","-"
"87","R. White","R. White","RB","TB","9","Ques","injury-status questionable","Final W 20-17 @ MIN","233","272","990","6","64","70","549","3","-","-","-","-"
