index,pick,player,position,team,bidder,amount
192,1,C. McCaffrey,RB,,AKIRA33,80
191,2,D. Adams,WR,,squeege8,27
190,3,T. Hill,WR,,squeege8,62
189,4,G. Wilson,WR,,broadwayed,49
188,5,B. Robinson,RB,,Hurwitz,64
187,6,A. St. Brown,WR,,squeege8,49
186,7,C. Lamb,WR,,lmamut925,63
185,8,S. Barkley,RB,,getbiggs,61
184,9,B. Hall,RB,,broadwayed,68
183,10,J. Chase,WR,,getbiggs,46
182,11,J. Taylor,RB,,jonjak,61
181,12,J. Jefferson,WR,,vrael28,55
180,13,J. Gibbs,RB,,eqengineering,52
179,14,T. Etienne,RB,,DannyTheSwift,47
178,15,J. Tucker,K,,DannyTheSwift,4
177,16,T. Kelce,TE,,vrael28,32
176,17,M. Harrison,WR,,eqengineering,30
175,18,A. Brown,WR,,jonjak,45
174,19,S. Diggs,WR,,vrael28,18
173,20,K. Williams,RB,,vrael28,46
172,21,J. Allen,QB,,Crogkiller,37
171,22,J. Jacobs,RB,,eqengineering,42
170,23,B. Aiyuk,WR,,squeege8,24
169,24,D. Henry,RB,,getbiggs,45
168,25,P. Nacua,WR,,eqengineering,30
167,26,P. Mahomes,QB,,DannyTheSwift,25
166,27,C. Olave,WR,,AKIRA33,27
165,28,M. Nabers,WR,,AKIRA33,20
164,29,S. LaPorta,TE,,Crogkiller,27
163,30,D. Samuel,WR,,Crogkiller,23
162,31,J. Hurts,QB,,vrael28,26
161,32,I. Pacheco,RB,,Crogkiller,45
160,33,L. Jackson,QB,,AKIRA33,20
159,34,H. Butker,K,,Crogkiller,3
158,35,M. Evans,WR,,broadwayed,24
157,36,D. Achane,RB,,DannyTheSwift,41
156,37,D. London,WR,,Crogkiller,23
155,38,N. Collins,WR,,AKIRA33,24
154,39,N. Jets,DEF,NYJ,vrael28,2
153,40,R. White,RB,,DannyTheSwift,35
152,41,J. Waddle,WR,,eqengineering,23
151,42,C. Kupp,WR,,klulaj,33
150,43,J. Mixon,RB,,lmamut925,35
149,44,D. Kincaid,TE,,klulaj,15
148,45,M. Andrews,TE,,lmamut925,20
147,46,C. Godwin,WR,,getbiggs,12
146,47,D. Moore,WR,,jonjak,26
145,48,D. Metcalf,WR,,lmamut925,22
144,49,D. Smith,WR,,AKIRA33,18
143,50,A. Jones,RB,,jonjak,29
142,51,D. Cowboys,DEF,DAL,DannyTheSwift,1
141,52,J. Cook,RB,,lmamut925,30
140,53,M. Pittman,WR,,Hurwitz,18
139,54,T. Higgins,WR,,Crogkiller,11
138,55,K. Walker,RB,,broadwayed,23
137,56,G. Pickens,WR,,Crogkiller,13
136,57,T. Dell,WR,,getbiggs,17
135,58,R. Odunze,WR,,eqengineering,7
134,59,T. McBride,TE,,Hurwitz,21
133,60,C. Stroud,QB,,Hurwitz,8
132,61,A. Kamara,RB,,Hurwitz,22
131,62,J. Conner,RB,,klulaj,21
130,63,D. Montgomery,RB,,DannyTheSwift,15
129,64,R. Stevenson,RB,,broadwayed,13
128,65,G. Kittle,TE,,jonjak,13
127,66,A. Richardson,QB,,DannyTheSwift,2
126,67,D. Swift,RB,,Hurwitz,13
125,68,C. Browns,DEF,CLE,AKIRA33,1
124,69,A. Cooper,WR,,DannyTheSwift,13
123,70,Z. Flowers,WR,,klulaj,15
122,71,B. Ravens,DEF,BAL,Hurwitz,1
121,72,J. Burrow,QB,,jonjak,6
120,73,N. Harris,RB,,squeege8,10
119,74,K. Allen,WR,,vrael28,6
118,75,K. Pitts,TE,,squeege8,7
117,76,C. Kirk,WR,,jonjak,8
116,77,D. Prescott,QB,,getbiggs,2
115,78,T. Tagovailoa,QB,,eqengineering,2
114,79,S. 49ers,DEF,SF,getbiggs,1
113,80,B. Corum,RB,,eqengineering,2
112,81,L. Chargers,DEF,LAC,jonjak,1
111,82,K. Murray,QB,,squeege8,1
110,83,R. Rice,WR,,Hurwitz,20
109,84,T. McLaurin,WR,,Hurwitz,10
108,85,Z. White,RB,,lmamut925,12
107,86,A. Ekeler,RB,,Crogkiller,8
106,87,R. Mostert,RB,,squeege8,5
105,88,J. Reed,WR,,Hurwitz,8
104,89,X. Worthy,WR,,broadwayed,4
103,90,T. Pollard,RB,,klulaj,9
102,91,B. Aubrey,K,,vrael28,2
