index,pick,player,position,team,bidder,amount
101,92,C. Ridley,WR,,klulaj,10
100,93,J. Addison,WR,,klulaj,7
99,94,D. Njoku,TE,,getbiggs,3
98,95,Z. Moss,RB,,Crogkiller,2
97,96,N. Chubb,RB,,vrael28,6
96,97,J. Williams,RB,,Hurwitz,6
95,98,J. Warren,RB,,broadwayed,4
94,99,B. Purdy,QB,,klulaj,6
93,100,J. Ferguson,TE,,klulaj,8
92,101,J. Love,QB,,klulaj,5
91,102,T. Spears,RB,,klulaj,4
90,103,E. McPherson,K,,klulaj,3
89,104,E. Engram,TE,,Hurwitz,5
88,105,Y. Koo,K,,getbiggs,2
87,106,L. McConkey,WR,,squeege8,1
86,107,K. Coleman,WR,,lmamut925,2
85,108,D. Schultz,TE,,eqengineering,4
84,109,B. Bowers,TE,,DannyTheSwift,4
83,110,C. Watson,WR,,lmamut925,5
82,111,C. Sutton,WR,,lmamut925,4
81,112,J. Smith-Njigba,WR,,broadwayed,3
80,113,A. Rodgers,QB,,broadwayed,1
79,114,H. Brown,WR,,getbiggs,2
78,115,B. Thomas,WR,,jonjak,2
77,116,D. Singletary,RB,,klulaj,7
76,117,K. Herbert,RB,,jonjak,1
75,118,K. Chiefs,DEF,KC,squeege8,1
74,119,K. Fairbairn,K,,Hurwitz,1
73,120,M. Dolphins,DEF,MIA,eqengineering,1
72,121,C. Williams,QB,,Crogkiller,1
71,122,J. Herbert,QB,,eqengineering,2
70,123,D. Johnson,WR,,AKIRA33,2
69,124,T. Benson,RB,,DannyTheSwift,2
68,125,D. Hopkins,WR,,DannyTheSwift,2
67,126,B. Robinson,RB,,klulaj,12
66,127,J. Williams,WR,,DannyTheSwift,2
65,128,C. Hubbard,RB,,AKIRA33,1
64,129,J. Palmer,WR,,DannyTheSwift,3
63,130,J. Moody,K,,squeege8,1
62,131,J. Daniels,QB,,Hurwitz,1
61,132,J. Brooks,RB,,broadwayed,4
60,133,G. Edwards,RB,,Crogkiller,1
59,134,K. Cousins,QB,,lmamut925,1
58,135,J. Jeudy,WR,,DannyTheSwift,1
57,136,D. Goedert,TE,,Crogkiller,2
56,137,J. Goff,QB,,broadwayed,1
55,138,C. Samuel,WR,,klulaj,1
54,139,T. Lockett,WR,,getbiggs,1
53,140,R. Dowdle,RB,,squeege8,2
52,141,M. Stafford,QB,,jonjak,1
51,142,R. Doubs,WR,,squeege8,1
50,143,J. Ford,RB,,squeege8,3
49,144,J. Meyers,WR,,eqengineering,1
48,145,C. Brown,RB,,jonjak,2
47,146,K. Shakir,WR,,DannyTheSwift,2
46,147,E. Elliott,RB,,getbiggs,2
45,148,Z. Charbonnet,RB,,jonjak,2
44,149,P. Steelers,DEF,PIT,klulaj,1
43,150,T. Allgeier,RB,,getbiggs,1
42,151,J. Dobbins,RB,,AKIRA33,1
41,152,M. Wilson,WR,,jonjak,1
40,153,J. Mason,RB,,squeege8,1
39,154,M. Williams,WR,,Hurwitz,1
38,155,T. Hockenson,TE,,getbiggs,2
37,156,A. Mitchell,WR,,getbiggs,2
36,157,R. Shaheed,WR,,lmamut925,1
35,158,P. Freiermuth,TE,,vrael28,1
34,159,C. Kmet,TE,,broadwayed,1
33,160,X. Legette,WR,,getbiggs,1
32,161,L. Musgrave,TE,,AKIRA33,1
31,162,D. Mooney,WR,,jonjak,1
30,163,J. Wright,RB,,squeege8,1
29,164,T. Chandler,RB,,Hurwitz,1
28,165,B. Cooks,WR,,eqengineering,1
27,166,G. Davis,WR,,Crogkiller,1
26,167,J. McLaughlin,RB,,lmamut925,1
25,168,T. Lawrence,QB,,vrael28,1
24,169,J. Elliott,K,,broadwayed,1
23,170,M. Lloyd,RB,,AKIRA33,1
22,171,M. Prater,K,,jonjak,1
21,172,T. Bass,K,,eqengineering,1
20,173,D. Wicks,WR,,Crogkiller,1
19,174,C. Dicker,K,,lmamut925,1
18,175,A. Gibson,RB,,vrael28,1
17,176,J. Polk,WR,,broadwayed,1
16,177,R. Davis,RB,,AKIRA33,1
15,178,D. Douglas,WR,,eqengineering,1
14,179,P. Eagles,DEF,PHI,Crogkiller,1
13,180,W. Robinson,WR,,lmamut925,1
12,181,T. Hill,TE,,vrael28,1
11,182,J. Dotson,WR,,broadwayed,1
10,183,B. Irving,RB,,AKIRA33,1
9,184,D. Pierce,RB,,eqengineering,1
8,185,N. Saints,DEF,NO,lmamut925,1
7,186,A. Thielen,WR,,vrael28,1
6,187,T. Buccaneers,DEF,TB,broadwayed,1
5,188,H. Henry,TE,,AKIRA33,1
4,189,B. Allen,RB,,lmamut925,1
3,190,K. Miller,RB,,vrael28,1
2,191,K. Vidal,RB,,AKIRA33,1
1,192,R. Pearsall,WR,,vrael28,1
