index,pick,player,position,team,bidder,amount
"61","132","J. Williams","WR","","Crogkiller","1"
"60","133","E. Mitchell","RB","","Crogkiller","2"
"59","134","M. Dolphins","DEF","MIA","eqengineering","1"
"58","135","S. Moore","WR","","Nunchuker","2"
"57","136","E. Elliott","RB","","Crogkiller","2"
"56","137","D. Jones","QB","","Hurwitz","1"
"55","138","M. Mims","WR","","Crogkiller","2"
"54","139","D. Achane","RB","","vrael28","1"
"53","140","A. Lazard","WR","","eqengineering","2"
"52","141","G. Packers","DEF","GB","DannyTheSwift","1"
"51","142","G. Dulcich","TE","","squeege8","1"
"50","143","E. McPherson","K","","Crogkiller","1"
"49","144","J. Elliott","K","","broadwayed","1"
"48","145","D. Singletary","RB","","eqengineering","1"
"47","146","R. Shaheed","WR","","jonjak","1"
"46","147","N. Patriots","DEF","NE","lmamut925","1"
"45","148","H. Butker","K","","Hurwitz","1"
"44","149","C. Okonkwo","TE","","Nunchuker","1"
"43","150","D. Carlson","K","","vrael28","1"
"42","151","B. Ravens","DEF","BAL","getbiggs","1"
"41","152","T. Boyd","WR","","DannyTheSwift","1"
"40","153","J. McKinnon","RB","","squeege8","1"
"39","154","N. Saints","DEF","NO","broadwayed","1"
"38","155","D. Foreman","RB","","eqengineering","1"
"37","156","G. Zuerlein","K","","jonjak","1"
"36","157","J. Hyatt","WR","","lmamut925","1"
"35","158","T. Higbee","TE","","Hurwitz","1"
"34","159","G. Everett","TE","","Nunchuker","1"
"33","160","Y. Koo","K","","getbiggs","1"
"32","161","J. Mingo","WR","","DannyTheSwift","1"
"31","162","V. Jefferson","WR","","squeege8","1"
"30","163","R. Doubs","WR","","broadwayed","1"
"29","164","J. Meyers","WR","","eqengineering","1"
"28","165","G. Gano","K","","lmamut925","1"
"27","166","N. Collins","WR","","Hurwitz","1"
"26","167","J. Sanders","K","","Nunchuker","1"
"25","168","D. Mooney","WR","","getbiggs","1"
"24","169","J. Reed","WR","","DannyTheSwift","1"
"23","170","K. Gainwell","RB","","squeege8","1"
"22","171","K. Miller","RB","","broadwayed","1"
"21","172","C. Hubbard","RB","","eqengineering","1"
"20","173","C. Samuel","WR","","lmamut925","1"
"19","174","W. Commanders","DEF","WAS","Nunchuker","1"
"18","175","C. Kmet","TE","","getbiggs","1"
