"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"39","C. Lamb","C. Lamb","WR","DAL","10","","injury-status","Final W 40-0 @ NYG","233","15.0","13","71","-","96","-","1256","9","-","-","-","-"
"40","D. Henry","D. Henry","RB","TEN","10","","injury-status","Final L 15-16 @ NO","230","13.7","291","1278","11","25","-","181","1","-","-","-","-"
"41","S. Barkley","S. Barkley","RB","NYG","14","","injury-status","Final L 0-40 vs DAL","229","9.0","253","1103","7","50","-","392","2","-","-","-","-"
"42","D. Ridder","D. Ridder","QB","ATL","5","","injury-status","Final W 24-10 vs CAR","228","256.9","74","304","3","-","-","-","-","274","442","3019","19"
"43","J. Garoppolo","J. Garoppolo","QB","LV","8","","injury-status","Final W 17-16 @ DEN","223","230.3","7","22","1","-","-","-","-","345","519","3655","22"
"44","J. Jacobs","J. Jacobs","RB","LV","8","","injury-status","Final W 17-16 @ DEN","222","17.6","269","1164","8","41","-","306","1","-","-","-","-"
"45","T. Etienne","T. Etienne","RB","JAX","8","","injury-status","Final W 31-21 @ IND","217","29.4","265","1178","8","37","-","288","1","-","-","-","-"
"46","T. Pollard","T. Pollard","RB","DAL","10","","injury-status","Final W 40-0 @ NYG","213","19.6","217","971","7","50","-","388","2","-","-","-","-"
"47","A. St. Brown","A. St. Brown","WR","DET","8","","injury-status","Final W 21-20 @ KC","213","17.5","9","56","-","105","-","1148","7","-","-","-","-"
"48","D. Montgomery","D. Montgomery","RB","DET","8","","injury-status","Final W 21-20 @ KC","213","78.1","272","1142","10","28","-","205","1","-","-","-","-"
"49","T. Kelce","T. Kelce","TE","KC","10","","injury-status","Final L 20-21 vs DET","206","5.1","-","-","-","93","-","1119","8","-","-","-","-"
"50","J. Waddle","J. Waddle","WR","MIA","12","","injury-status","Final W 36-34 @ LAC","205","22.3","7","41","-","83","-","1194","7","-","-","-","-"
"51","R. Stevenson","R. Stevenson","RB","NE","14","Ques","injury-status questionable","Final L 20-25 vs PHI","204","31.8","239","1051","7","41","-","300","1","-","-","-","-"
"52","N. Harris","N. Harris","RB","PIT","5","Ques","injury-status questionable","Final L 7-30 vs SF","203","24.3","259","1052","7","41","-","292","1","-","-","-","-"
"53","J. Mixon","J. Mixon","RB","CIN","10","PUP","injury-status pup","Final L 3-24 @ CLE","202","33.8","239","990","7","44","-","327","1","-","-","-","-"
"54","G. Wilson","G. Wilson","WR","NYJ","9","","injury-status","Final W 22-16 vs BUF","201","21.7","7","45","-","91","-","1112","7","-","-","-","-"
"55","D. Pierce","D. Pierce","RB","HOU","6","","injury-status","Final L 9-25 @ BAL","201","47.0","260","1122","7","33","-","244","1","-","-","-","-"
"56","Z. Wilson","Z. Wilson","QB","NYJ","9","","injury-status","Final W 22-16 vs BUF","200","999.0","39","208","3","-","-","-","-","257","448","3073","14"
"57","C. Ridley","C. Ridley","WR","JAX","8","Ques","injury-status questionable","Final W 31-21 @ IND","198","38.1","-","-","-","82","-","1146","7","-","-","-","-"
"58","C. Olave","C. Olave","WR","NO","11","","injury-status","Final W 16-15 vs TEN","196","26.3","1","5","-","81","-","1152","7","-","-","-","-"
"59","D. Smith","D. Smith","WR","PHI","9","Ques","injury-status questionable","Final W 25-20 @ NE","196","30.7","1","7","-","84","-","1130","7","-","-","-","-"
"60","T. Higgins","T. Higgins","WR","CIN","10","","injury-status","Final L 3-24 @ CLE","195","28.7","1","5","-","83","-","1131","7","-","-","-","-"
"61","K. Walker","K. Walker","RB","SEA","8","","injury-status","Final L 13-30 vs LAR","195","42.4","240","1081","8","26","-","197","1","-","-","-","-"
"62","C. Kupp","C. Kupp","WR","LAR","8","","injury-status","Final W 30-13 @ SEA","192","16.5","4","18","-","89","-","1054","7","-","-","-","-"
"63","D. Samuel","D. Samuel","WR","SF","14","","injury-status","Final W 30-7 @ PIT","189","35.4","38","205","2","70","-","932","5","-","-","-","-"
"64","C. Godwin","C. Godwin","WR","TB","9","Doub","injury-status doubtful","Final W 20-17 @ MIN","188","65.9","2","10","-","91","-","1074","6","-","-","-","-"
"65","A. Jones","A. Jones","RB","GB","5","","injury-status","Final W 38-20 @ CHI","188","40.5","201","884","5","46","-","362","2","-","-","-","-"
"66","D. Metcalf","D. Metcalf","WR","SEA","8","","injury-status","Final L 13-30 vs LAR","187","35.9","3","19","-","79","-","1034","7","-","-","-","-"
"67","P. Nacua","P. Nacua","WR","LAR","8","","injury-status","Final W 30-13 @ SEA","186","248.5","-","-","-","87","-","1004","7","-","-","-","-"
"68","M. Evans","M. Evans","WR","TB","9","","injury-status","Final W 20-17 @ MIN","186","74.0","1","6","-","74","-","1079","7","-","-","-","-"
"69","D. Moore","D. Moore","WR","CHI","5","","injury-status","Final L 20-38 vs GB","185","50.9","13","68","-","77","-","1032","6","-","-","-","-"
"70","B. Hall","B. Hall","RB","NYJ","9","","injury-status","Final W 22-16 vs BUF","184","39.0","196","901","7","40","-","303","1","-","-","-","-"
"71","A. Cooper","A. Cooper","WR","CLE","9","","injury-status","Final W 24-3 vs CIN","184","43.2","-","-","-","79","-","1048","7","-","-","-","-"
"72","M. Sanders","M. Sanders","RB","CAR","14","Ques","injury-status questionable","Final L 10-24 @ ATL","182","52.2","251","1087","6","27","-","202","1","-","-","-","-"
"73","K. Allen","K. Allen","WR","LAC","12","","injury-status","Final L 34-36 vs MIA","182","41.6","2","11","-","91","-","1016","6","-","-","-","-"
"74","D. London","D. London","WR","ATL","5","","injury-status","Final W 24-10 vs CAR","182","56.4","-","-","-","87","-","1046","6","-","-","-","-"
"75","T. McLaurin","T. McLaurin","WR","WAS","12","","injury-status","Final W 20-16 vs ARI","182","53.6","6","31","-","78","-","1059","6","-","-","-","-"
"76","J. Williams","J. Williams","RB","DEN","12","","injury-status","Final L 16-17 vs LV","181","70.7","208","907","7","36","-","262","1","-","-","-","-"
"77","D. Swift","D. Swift","RB","PHI","9","","injury-status","Final W 25-20 @ NE","180","64.5","187","901","6","34","-","268","2","-","-","-","-"
"78","A. Mattison","A. Mattison","RB","MIN","6","IR","injury-status ir","Final L 17-20 vs TB","179","53.6","218","901","7","34","-","257","1","-","-","-","-"
"79","J. Taylor","J. Taylor","RB","IND","11","","injury-status","Final L 21-31 vs JAX","178","43.5","217","979","7","27","-","209","1","-","-","-","-"
"80","J. Conner","J. Conner","RB","ARI","8","","injury-status","Final L 16-20 @ WAS","178","62.6","199","831","6","42","-","321","1","-","-","-","-"
"81","D. Hopkins","D. Hopkins","WR","TEN","10","Ques","injury-status questionable","Final L 15-16 @ NO","178","49.8","-","-","-","86","-","1005","6","-","-","-","-"
"82","B. Aiyuk","B. Aiyuk","WR","SF","14","PUP","injury-status pup","Final W 30-7 @ PIT","176","66.2","7","39","-","70","-","974","7","-","-","-","-"
"83","T. Lockett","T. Lockett","WR","SEA","8","","injury-status","Final L 13-30 vs LAR","176","69.1","1","9","-","72","-","986","7","-","-","-","-"
"84","J. Jeudy","J. Jeudy","WR","DEN","12","","injury-status","Final L 16-17 vs LV","175","76.5","5","26","-","73","-","959","7","-","-","-","-"
"85","M. Williams","M. Williams","WR","LAC","12","DNR","injury-status dnr","Final L 34-36 vs MIA","174","68.9","1","7","-","68","-","996","7","-","-","-","-"
"86","A. Kamara","A. Kamara","RB","NO","11","","injury-status","Final W 16-15 vs TEN","174","67.8","185","760","4","47","-","385","2","-","-","-","-"
"87","R. White","R. White","RB","TB","9","Ques","injury-status questionable","Final W 20-17 @ MIN","172","73.9","201","849","6","36","-","272","1","-","-","-","-"
"88","J. Gibbs","J. Gibbs","RB","DET","8","","injury-status","Final W 21-20 @ KC","172","32.3","135","552","4","61","-","459","3","-","-","-","-"
"89","M. Andrews","M. Andrews","TE","BAL","7","","injury-status","Final W 25-9 vs HOU","170","26.0","-","-","-","75","-","908","7","-","-","-","-"
"90","J. Ford","J. Ford","RB","CLE","9","","injury-status","Final W 24-3 vs CIN","170","223.3","192","850","6","37","-","267","1","-","-","-","-"
"91","C. Kirk","C. Kirk","WR","JAX","8","","injury-status","Final W 31-21 @ IND","170","71.3","3","20","-","77","-","957","6","-","-","-","-"
"92","K. Williams","K. Williams","RB","LAR","8","","injury-status","Final W 30-13 @ SEA","169","999.0","167","691","5","48","-","341","2","-","-","-","-"
"93","M. Pittman","M. Pittman","WR","IND","11","","injury-status","Final L 21-31 vs JAX","168","80.8","6","30","-","85","-","944","5","-","-","-","-"
"94","A. Dillon","A. Dillon","RB","GB","5","","injury-status","Final W 38-20 @ CHI","167","87.4","203","849","7","28","-","202","1","-","-","-","-"
"95","I. Pacheco","I. Pacheco","RB","KC","10","","injury-status","Final L 20-21 vs DET","166","75.1","206","882","7","25","-","193","1","-","-","-","-"
"96","B. Robinson","B. Robinson","RB","WAS","12","","injury-status","Final W 20-16 vs ARI","166","100.3","207","877","7","26","-","188","1","-","-","-","-"
"97","G. Pickens","G. Pickens","WR","PIT","5","","injury-status","Final L 7-30 vs SF","165","76.9","2","13","-","68","-","939","6","-","-","-","-"
"98","J. Cook","J. Cook","RB","BUF","7","","injury-status","Final L 16-22 @ NYJ","165","77.3","180","771","6","38","-","289","1","-","-","-","-"
"99","N. Collins","N. Collins","WR","HOU","6","","injury-status","Final L 9-25 @ BAL","163","166.4","-","-","-","72","-","907","6","-","-","-","-"
"100","J. Dotson","J. Dotson","WR","WAS","12","","injury-status","Final W 20-16 vs ARI","160","85.1","-","-","-","66","-","932","6","-","-","-","-"
"101","H. Brown","H. Brown","WR","ARI","8","Ques","injury-status questionable","Final L 16-20 @ WAS","160","79.3","3","20","-","76","-","921","5","-","-","-","-"
"102","R. Mostert","R. Mostert","RB","MIA","12","","injury-status","Final W 36-34 @ LAC","156","130.4","187","844","6","25","-","193","1","-","-","-","-"
"103","J. Addison","J. Addison","WR","MIN","6","Sus","injury-status sus","Final L 17-20 vs TB","155","83.5","5","52","-","71","-","865","5","-","-","-","-"
"104","D. Cook","D. Cook","RB","BAL","7","","injury-status","Final W 25-9 vs HOU","152","71.2","177","756","6","29","-","218","1","-","-","-","-"
"105","C. Watson","C. Watson","WR","GB","5","PUP","injury-status pup","Final W 38-20 @ CHI","151","60.3","6","39","-","59","-","838","6","-","-","-","-"
"106","B. Cooks","B. Cooks","WR","DAL","10","","injury-status","Final W 40-0 @ NYG","151","93.7","2","12","-","66","-","885","5","-","-","-","-"
"107","T. Hockenson","T. Hockenson","TE","MIN","6","","injury-status","Final L 17-20 vs TB","148","48.4","-","-","-","72","-","759","6","-","-","-","-"
"108","G. Davis","G. Davis","WR","BUF","7","Ques","injury-status questionable","Final L 16-22 @ NYJ","147","94.3","2","13","-","52","-","795","7","-","-","-","-"
"109","K. Herbert","K. Herbert","RB","CHI","5","","injury-status","Final L 20-38 vs GB","147","96.8","189","829","5","23","-","181","1","-","-","-","-"
"110","G. Edwards","G. Edwards","RB","BAL","7","","injury-status","Final W 25-9 vs HOU","146","215.0","202","916","6","15","-","113","-","-","-","-","-"
"111","M. Thomas","M. Thomas","WR","NO","11","","injury-status","Final W 16-15 vs TEN","145","99.0","-","-","-","73","-","808","5","-","-","-","-"
"112","G. Kittle","G. Kittle","TE","SF","14","","injury-status","Final W 30-7 @ PIT","144","44.7","-","-","-","62","-","772","6","-","-","-","-"
"113","J. Dobbs","J. Dobbs","QB","MIN","6","","injury-status","Final L 17-20 vs TB","144","516.7","10","43","-","-","-","-","-","239","368","2560","12"
"114","D. Waller","D. Waller","TE","NYG","14","","injury-status","Final L 0-40 vs DAL","143","55.0","-","-","-","67","-","796","5","-","-","-","-"
"115","C. Sutton","C. Sutton","WR","DEN","12","","injury-status","Final L 16-17 vs LV","141","109.4","-","-","-","59","-","834","5","-","-","-","-"
"116","S. Moore","S. Moore","WR","KC","10","","injury-status","Final L 20-21 vs DET","141","124.8","11","61","-","65","-","719","5","-","-","-","-"
"117","Z. Charbonnet","Z. Charbonnet","RB","SEA","8","","injury-status","Final L 13-30 vs LAR","140","98.5","161","720","5","27","-","205","1","-","-","-","-"
"118","J. Williams","J. Williams","RB","NO","11","","injury-status","Final W 16-15 vs TEN","140","105.3","178","733","6","21","-","161","1","-","-","-","-"
"119","T. Burks","T. Burks","WR","TEN","10","IR","injury-status ir","Final L 15-16 @ NO","140","107.7","-","-","-","62","-","808","5","-","-","-","-"
"120","T. Atwell","T. Atwell","WR","LAR","8","","injury-status","Final W 30-13 @ SEA","140","999.0","7","39","-","56","-","776","5","-","-","-","-"
"121","J. Meyers","J. Meyers","WR","LV","8","","injury-status","Final W 17-16 @ DEN","140","154.6","1","7","-","67","-","773","5","-","-","-","-"
"122","D. Goedert","D. Goedert","TE","PHI","9","Ques","injury-status questionable","Final W 25-20 @ NE","138","62.6","-","-","-","62","-","714","6","-","-","-","-"
"123","Z. Flowers","Z. Flowers","WR","BAL","7","","injury-status","Final W 25-9 vs HOU","138","97.2","8","44","-","57","-","749","5","-","-","-","-"
"124","T. Dell","T. Dell","WR","HOU","6","PUP","injury-status pup","Final L 9-25 @ BAL","138","188.8","1","10","-","58","-","718","6","-","-","-","-"
"125","D. Johnson","D. Johnson","WR","PIT","5","","injury-status","Final L 7-30 vs SF","138","80.1","10","55","-","73","-","736","4","-","-","-","-"
"126","K. Pitts","K. Pitts","TE","ATL","5","","injury-status","Final W 24-10 vs CAR","137","61.5","-","-","-","63","-","756","5","-","-","-","-"
"127","A. Gibson","A. Gibson","RB","WAS","12","","injury-status","Final W 20-16 vs ARI","136","89.2","112","497","4","40","-","304","2","-","-","-","-"
"128","J. Smith-Schuster","J. Smith-Schuster","WR","NE","14","","injury-status","Final L 20-25 vs PHI","135","107.1","6","28","-","71","-","749","4","-","-","-","-"
"129","R. Bateman","R. Bateman","WR","BAL","7","","injury-status","Final W 25-9 vs HOU","135","125.2","-","-","-","57","-","780","5","-","-","-","-"
"130","D. Njoku","D. Njoku","TE","CLE","9","","injury-status","Final W 24-3 vs CIN","134","89.2","-","-","-","66","-","711","5","-","-","-","-"
"131","S. Perine","S. Perine","RB","DEN","12","","injury-status","Final L 16-17 vs LV","134","112.5","148","612","4","36","-","266","1","-","-","-","-"
"132","E. Engram","E. Engram","TE","JAX","8","","injury-status","Final W 31-21 @ IND","134","82.6","-","-","-","66","-","706","5","-","-","-","-"
"133","T. Boyd","T. Boyd","WR","CIN","10","","injury-status","Final L 3-24 @ CLE","133","148.9","2","16","-","60","-","736","5","-","-","-","-"
"134","P. Freiermuth","P. Freiermuth","TE","PIT","5","","injury-status","Final L 7-30 vs SF","133","88.3","-","-","-","65","-","704","5","-","-","-","-"
"135","O. Beckham","O. Beckham","WR","BAL","7","","injury-status","Final W 25-9 vs HOU","132","113.2","2","12","-","58","-","714","5","-","-","-","-"
"136","J. Williams","J. Williams","WR","DET","8","","injury-status","Final W 21-20 @ KC","132","134.4","5","29","1","45","-","681","5","-","-","-","-"
"137","J. Smith-Njigba","J. Smith-Njigba","WR","SEA","8","","injury-status","Final L 13-30 vs LAR","131","84.1","2","13","-","68","-","681","5","-","-","-","-"
"138","K. Toney","K. Toney","WR","KC","10","","injury-status","Final L 20-21 vs DET","131","101.9","13","80","1","54","-","621","5","-","-","-","-"
"139","E. Moore","E. Moore","WR","CLE","9","","injury-status","Final W 24-3 vs CIN","130","117.0","9","58","-","56","-","684","5","-","-","-","-"
"140","R. Woods","R. Woods","WR","HOU","6","","injury-status","Final L 9-25 @ BAL","130","239.6","7","42","-","66","-","688","4","-","-","-","-"
"141","P. Walker","P. Walker","QB","CLE","9","","injury-status","Final W 24-3 vs CIN","128","999.0","39","94","1","-","-","-","-","186","343","2186","11"
"142","T. Allgeier","T. Allgeier","RB","ATL","5","","injury-status","Final W 24-10 vs CAR","128","134.7","163","714","5","18","-","132","1","-","-","-","-"
"143","D. Mooney","D. Mooney","WR","CHI","5","Ques","injury-status questionable","Final L 20-38 vs GB","127","157.3","5","29","-","53","-","759","4","-","-","-","-"
"144","Z. Jones","Z. Jones","WR","JAX","8","","injury-status","Final W 31-21 @ IND","126","175.5","2","12","-","63","-","709","4","-","-","-","-"
"145","A. Lazard","A. Lazard","WR","NYJ","9","Ques","injury-status questionable","Final W 22-16 vs BUF","125","122.8","2","10","-","53","-","676","5","-","-","-","-"
"146","J. Kelley","J. Kelley","RB","LAC","12","","injury-status","Final L 34-36 vs MIA","125","227.0","136","563","6","22","-","158","1","-","-","-","-"
"147","A. Thielen","A. Thielen","WR","CAR","14","","injury-status","Final L 10-24 @ ATL","125","128.8","-","-","-","61","-","664","5","-","-","-","-"
"148","Q. Johnston","Q. Johnston","WR","LAC","12","Ques","injury-status questionable","Final L 34-36 vs MIA","121","102.8","1","5","-","51","-","672","5","-","-","-","-"
"149","W. Levis","W. Levis","QB","TEN","10","IR","injury-status ir","Final L 15-16 @ NO","121","999.0","23","59","1","-","-","-","-","185","320","2032","8"
"150","R. Rice","R. Rice","WR","KC","10","Sus","injury-status sus","Final L 20-21 vs DET","121","149.4","-","-","-","53","-","646","5","-","-","-","-"
"151","S. LaPorta","S. LaPorta","TE","DET","8","","injury-status","Final W 21-20 @ KC","120","155.1","-","-","-","57","-","618","5","-","-","-","-"
"152","M. Mims","M. Mims","WR","DEN","12","Ques","injury-status questionable","Final L 16-17 vs LV","120","179.5","1","13","-","50","-","694","4","-","-","-","-"
"153","D. Singletary","D. Singletary","RB","HOU","6","","injury-status","Final L 9-25 @ BAL","119","170.7","126","527","4","31","-","231","1","-","-","-","-"
"154","R. Doubs","R. Doubs","WR","GB","5","","injury-status","Final W 38-20 @ CHI","118","152.0","1","5","-","56","-","653","4","-","-","-","-"
"155","H. Henry","H. Henry","TE","NE","14","","injury-status","Final L 20-25 vs PHI","117","999.0","-","-","-","54","-","603","5","-","-","-","-"
"156","R. Shaheed","R. Shaheed","WR","NO","11","","injury-status","Final W 16-15 vs TEN","117","236.9","10","74","1","46","-","587","4","-","-","-","-"
"157","D. Peoples-Jones","D. Peoples-Jones","WR","DET","8","","injury-status","Final W 21-20 @ KC","117","216.0","2","10","-","46","-","689","4","-","-","-","-"
"158","D. Thompson-Robinson","D. Thompson-Robinson","QB","CLE","9","","injury-status","Final W 24-3 vs CIN","117","999.0","36","142","3","-","-","-","-","155","277","1639","9"
"159","J. Hill","J. Hill","RB","BAL","7","","injury-status","Final W 25-9 vs HOU","116","678.6","130","550","4","25","-","189","1","-","-","-","-"
"160","C. Samuel","C. Samuel","WR","WAS","12","Ques","injury-status questionable","Final W 20-16 vs ARI","116","233.5","21","117","1","53","-","542","3","-","-","-","-"
"161","K. Gainwell","K. Gainwell","RB","PHI","9","","injury-status","Final W 25-20 @ NE","116","164.8","115","521","4","28","-","201","1","-","-","-","-"
"162","M. Gallup","M. Gallup","WR","DAL","10","","injury-status","Final W 40-0 @ NYG","116","192.5","-","-","-","51","-","661","4","-","-","-","-"
"163","R. Moore","R. Moore","WR","ARI","8","IR","injury-status ir","Final L 16-20 @ WAS","115","194.5","32","177","1","51","-","499","3","-","-","-","-"
"164","San Francisco. 49ers","San Francisco. 49ers","DEF","SF","14","","injury-status","Final W 30-7 @ PIT","115","95.6","-","-","-","-","-","-","-","-","-","-","-"
"165","J. Hyatt","J. Hyatt","WR","NYG","14","","injury-status","Final L 0-40 vs DAL","115","165.9","1","10","-","48","-","657","4","-","-","-","-"
"166","J. Reed","J. Reed","WR","GB","5","Ques","injury-status questionable","Final W 38-20 @ CHI","113","212.8","-","-","-","57","-","609","4","-","-","-","-"
"167","D. Parker","D. Parker","WR","NE","14","","injury-status","Final L 20-25 vs PHI","113","231.8","-","-","-","48","-","653","4","-","-","-","-"
"168","D. Chark","D. Chark","WR","CAR","14","","injury-status","Final L 10-24 @ ATL","112","200.5","-","-","-","46","-","651","4","-","-","-","-"
"169","Dallas. Cowboys","Dallas. Cowboys","DEF","DAL","10","","injury-status","Final W 40-0 @ NYG","112","113.7","-","-","-","-","-","-","-","-","-","-","-"
"170","J. Warren","J. Warren","RB","PIT","5","","injury-status","Final L 7-30 vs SF","112","141.9","114","489","3","33","-","244","1","-","-","-","-"
"171","D. Harris","D. Harris","RB","BUF","7","","injury-status","Final L 16-22 @ NYJ","112","129.8","123","545","5","18","-","142","1","-","-","-","-"
"172","C. Kmet","C. Kmet","TE","CHI","5","","injury-status","Final L 20-38 vs GB","111","127.8","-","-","-","57","-","588","4","-","-","-","-"
"173","J. Tucker","J. Tucker","K","BAL","7","Sus","injury-status sus","Final W 25-9 vs HOU","111","136.4","-","-","-","-","-","-","-","-","-","-","-"
"174","A. Pierce","A. Pierce","WR","IND","11","","injury-status","Final L 21-31 vs JAX","110","214.0","1","6","-","46","-","627","4","-","-","-","-"
"175","J. Mingo","J. Mingo","WR","CAR","14","IR","injury-status ir","Final L 10-24 @ ATL","110","169.4","3","16","-","52","-","584","4","-","-","-","-"
"176","K. Osborn","K. Osborn","WR","MIN","6","","injury-status","Final L 17-20 vs TB","110","219.0","1","8","-","50","-","599","4","-","-","-","-"
"177","T. Bass","T. Bass","K","BUF","7","","injury-status","Final L 16-22 @ NYJ","109","140.7","-","-","-","-","-","-","-","-","-","-","-"
"178","Buffalo. Bills","Buffalo. Bills","DEF","BUF","7","","injury-status","Final L 16-22 @ NYJ","109","119.5","-","-","-","-","-","-","-","-","-","-","-"
"179","C. Hubbard","C. Hubbard","RB","CAR","14","","injury-status","Final L 10-24 @ ATL","109","197.7","122","511","4","24","-","177","1","-","-","-","-"
"180","E. Elliott","E. Elliott","RB","NE","14","","injury-status","Final L 20-25 vs PHI","109","120.1","136","554","5","14","-","104","1","-","-","-","-"
"181","E. McPherson","E. McPherson","K","CIN","10","","injury-status","Final L 3-24 @ CLE","107","137.4","-","-","-","-","-","-","-","-","-","-","-"
