"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"1","J. Hurts","J. Hurts","QB","PHI","9","","injury-status","Final W 25-20 @ NE","376","23.2","155","768","11","-","-","-","-","314","490","3815","23"
"2","P. Mahomes","P. Mahomes","QB","KC","10","","injury-status","Final L 20-21 vs DET","375","14.6","70","351","3","-","-","-","-","388","590","4704","37"
"3","J. Allen","J. Allen","QB","BUF","7","","injury-status","Final L 16-22 @ NYJ","374","20.5","110","599","6","-","-","-","-","363","579","4193","32"
"4","L. Jackson","L. Jackson","QB","BAL","7","Ques","injury-status questionable","Final W 25-9 vs HOU","357","34.2","160","969","6","-","-","-","-","313","495","3670","23"
"5","J. Burrow","J. Burrow","QB","CIN","10","","injury-status","Final L 3-24 @ CLE","335","37.7","45","226","3","-","-","-","-","388","583","4428","33"
"6","J. Herbert","J. Herbert","QB","LAC","12","","injury-status","Final L 34-36 vs MIA","317","44.3","52","171","2","-","-","-","-","412","614","4504","31"
"7","T. Tagovailoa","T. Tagovailoa","QB","MIA","12","","injury-status","Final W 36-34 @ LAC","311","95.4","46","117","2","-","-","-","-","363","548","4363","32"
"8","J. Fields","J. Fields","QB","CHI","5","","injury-status","Final L 20-38 vs GB","311","46.0","164","827","7","-","-","-","-","278","456","3271","19"
"9","C. McCaffrey","C. McCaffrey","RB","SF","14","","injury-status","Final W 30-7 @ PIT","309","2.8","258","1231","11","72","-","599","4","-","-","-","-"
"10","T. Lawrence","T. Lawrence","QB","JAX","8","","injury-status","Final W 31-21 @ IND","308","57.4","61","277","3","-","-","-","-","377","600","4249","28"
"11","D. Prescott","D. Prescott","QB","DAL","10","","injury-status","Final W 40-0 @ NYG","307","92.0","64","260","3","-","-","-","-","373","555","4078","29"
"12","D. Watson","D. Watson","QB","CLE","9","PUP","injury-status pup","Final W 24-3 vs CIN","305","86.8","82","433","4","-","-","-","-","346","533","3814","25"
"13","A. Richardson","A. Richardson","QB","IND","11","","injury-status","Final L 21-31 vs JAX","296","111.6","139","754","6","-","-","-","-","271","454","3186","19"
"14","K. Cousins","K. Cousins","QB","MIN","6","","injury-status","Final L 17-20 vs TB","291","115.4","32","97","1","-","-","-","-","390","595","4395","29"
"15","D. Jones","D. Jones","QB","NYG","14","","injury-status","Final L 0-40 vs DAL","289","142.9","102","561","4","-","-","-","-","343","526","3626","21"
"16","J. Jefferson","J. Jefferson","WR","MIN","6","Ques","injury-status questionable","Final L 17-20 vs TB","289","1.6","6","33","-","116","-","1674","10","-","-","-","-"
"17","R. Wilson","R. Wilson","QB","DEN","12","","injury-status","Final L 16-17 vs LV","280","170.9","58","253","3","-","-","-","-","348","533","3800","25"
"18","G. Smith","G. Smith","QB","SEA","8","","injury-status","Final L 13-30 vs LAR","280","133.4","44","171","2","-","-","-","-","347","541","3922","28"
"19","M. Stafford","M. Stafford","QB","LAR","8","","injury-status","Final W 30-13 @ SEA","275","217.6","15","64","-","-","-","-","-","386","613","4362","28"
"20","C. Stroud","C. Stroud","QB","HOU","6","","injury-status","Final L 9-25 @ BAL","272","218.6","67","242","3","-","-","-","-","326","522","3855","24"
"21","B. Purdy","B. Purdy","QB","SF","14","","injury-status","Final W 30-7 @ PIT","272","161.3","50","162","1","-","-","-","-","339","532","3998","26"
"22","J. Chase","J. Chase","WR","CIN","10","","injury-status","Final L 3-24 @ CLE","267","3.4","8","44","-","105","-","1501","10","-","-","-","-"
"23","J. Goff","J. Goff","QB","DET","8","","injury-status","Final W 21-20 @ KC","267","153.0","17","65","1","-","-","-","-","354","538","3977","28"
"24","J. Love","J. Love","QB","GB","5","","injury-status","Final W 38-20 @ CHI","265","188.7","55","233","3","-","-","-","-","309","499","3604","23"
"25","A. Ekeler","A. Ekeler","RB","LAC","12","","injury-status","Final L 34-36 vs MIA","261","4.3","201","888","8","84","-","619","4","-","-","-","-"
"26","T. Hill","T. Hill","WR","MIA","12","Ques","injury-status questionable","Final W 36-34 @ LAC","254","6.8","16","88","-","102","-","1424","9","-","-","-","-"
"27","K. Pickett","K. Pickett","QB","PIT","5","Ques","injury-status questionable","Final L 7-30 vs SF","251","184.0","63","303","3","-","-","-","-","324","511","3517","20"
"28","S. Howell","S. Howell","QB","WAS","12","","injury-status","Final W 20-16 vs ARI","251","228.7","65","267","3","-","-","-","-","316","504","3551","21"
"29","D. Carr","D. Carr","QB","NO","11","NA","injury-status na","Final W 16-15 vs TEN","249","195.0","13","62","1","-","-","-","-","351","529","3822","25"
"30","K. Murray","K. Murray","QB","ARI","8","","injury-status","Final L 16-20 @ WAS","244","196.1","56","315","3","-","-","-","-","300","455","3224","20"
"31","B. Young","B. Young","QB","CAR","14","","injury-status","Final L 10-24 @ ATL","243","176.0","66","271","2","-","-","-","-","321","525","3608","20"
"32","D. Adams","D. Adams","WR","LV","8","","injury-status","Final W 17-16 @ DEN","241","16.9","1","5","-","102","-","1292","10","-","-","-","-"
"33","S. Diggs","S. Diggs","WR","BUF","7","Ques","injury-status questionable","Final L 16-22 @ NYJ","241","11.4","2","12","-","108","-","1334","9","-","-","-","-"
"34","B. Mayfield","B. Mayfield","QB","TB","9","","injury-status","Final W 20-17 @ MIN","240","255.1","41","151","2","-","-","-","-","297","485","3453","23"
"35","M. Jones","M. Jones","QB","NE","14","Ques","injury-status questionable","Final L 20-25 vs PHI","240","260.4","42","141","1","-","-","-","-","330","521","3637","23"
"36","A. Brown","A. Brown","WR","PHI","9","Ques","injury-status questionable","Final W 25-20 @ NE","238","12.5","8","45","-","88","-","1350","9","-","-","-","-"
"37","B. Robinson","B. Robinson","RB","ATL","5","","injury-status","Final W 24-10 vs CAR","237","7.8","262","1178","9","44","-","334","2","-","-","-","-"
"38","R. Tannehill","R. Tannehill","QB","TEN","10","","injury-status","Final L 15-16 @ NO","235","252.0","49","181","2","-","-","-","-","294","456","3361","21"
