"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"1","L. Jackson","L. Jackson","QB","BAL","7","Ques","injury-status questionable","Sun 8:20 PM@ BUF","359","20.1","140","832","4","-","-","-","-","301","453","3671","30"
"2","J. Allen","J. Allen","QB","BUF","7","","injury-status","Sun 8:20 PMvs BAL","356","19.0","98","504","11","-","-","-","-","330","499","3716","26"
"3","J. Daniels","J. Daniels","QB","WAS","12","","injury-status","Sun 1:00 PMvs NYG","354","34.7","143","775","6","-","-","-","-","345","501","3799","26"
"4","J. Hurts","J. Hurts","QB","PHI","9","","injury-status","Thu 8:20 PMvs DAL","352","33.8","152","535","14","-","-","-","-","301","457","3475","22"
"5","J. Burrow","J. Burrow","QB","CIN","10","","injury-status","Sun 1:00 PM@ CLE","331","40.0","46","180","2","-","-","-","-","405","600","4506","34"
"6","P. Mahomes","P. Mahomes","QB","KC","10","","injury-status","Fri 8:00 PM@ LAC","327","53.0","64","335","2","-","-","-","-","395","588","4188","32"
"7","K. Murray","K. Murray","QB","ARI","8","","injury-status","Sun 1:00 PM@ NO","314","94.7","92","549","5","-","-","-","-","348","516","3699","24"
"8","B. Purdy","B. Purdy","QB","SF","14","","injury-status","Sun 4:05 PM@ SEA","312","111.4","65","272","4","-","-","-","-","341","510","4163","27"
"9","B. Mayfield","B. Mayfield","QB","TB","9","","injury-status","Sun 1:00 PM@ ATL","312","68.2","56","285","3","-","-","-","-","356","530","4000","31"
"10","B. Nix","B. Nix","QB","DEN","12","","injury-status","Sun 4:05 PMvs TEN","310","74.4","84","412","4","-","-","-","-","355","540","3832","27"
"11","D. Maye","D. Maye","QB","NE","14","","injury-status","Sun 1:00 PMvs LV","302","130.1","70","465","4","-","-","-","-","354","529","3750","25"
"12","J. McCarthy","J. McCarthy","QB","MIN","6","","injury-status","Mon 8:15 PM@ CHI","300","155.2","62","285","3","-","-","-","-","356","550","4060","27"
"13","T. Lawrence","T. Lawrence","QB","JAX","8","","injury-status","Sun 1:00 PMvs CAR","291","185.9","59","255","3","-","-","-","-","369","560","4055","26"
"14","C. Williams","C. Williams","QB","CHI","5","","injury-status","Mon 8:15 PMvs MIN","291","143.7","69","384","4","-","-","-","-","345","531","3753","24"
"15","J. Fields","J. Fields","QB","NYJ","9","","injury-status","Sun 1:00 PMvs PIT","288","146.9","155","825","7","-","-","-","-","266","429","2971","16"
"16","J. Herbert","J. Herbert","QB","LAC","12","","injury-status","Fri 8:00 PMvs KC","287","109.4","55","234","3","-","-","-","-","353","531","3835","26"
"17","D. Prescott","D. Prescott","QB","DAL","10","","injury-status","Thu 8:20 PM@ PHI","287","110.1","42","159","2","-","-","-","-","388","585","4195","27"
"18","C. Stroud","C. Stroud","QB","HOU","6","","injury-status","Sun 4:25 PM@ LAR","286","125.0","51","196","2","-","-","-","-","357","544","4035","27"
"19","S. Barkley","S. Barkley","RB","PHI","9","","injury-status","Thu 8:20 PMvs DAL","283","3.6","300","1590","11","39","-","305","2","-","-","-","-"
"20","B. Robinson","B. Robinson","RB","ATL","5","","injury-status","Sun 1:00 PMvs TB","280","2.6","287","1334","11","56","-","427","2","-","-","-","-"
"21","J. Goff","J. Goff","QB","DET","8","","injury-status","Sun 4:25 PM@ GB","278","101.2","31","63","1","-","-","-","-","369","537","4221","28"
"22","J. Love","J. Love","QB","GB","5","","injury-status","Sun 4:25 PMvs DET","277","146.3","35","166","2","-","-","-","-","342","522","3907","27"
"23","J. Gibbs","J. Gibbs","RB","DET","8","","injury-status","Sun 4:25 PM@ GB","275","4.9","233","1204","12","56","-","449","2","-","-","-","-"
"24","J. Chase","J. Chase","WR","CIN","10","","injury-status","Sun 1:00 PM@ CLE","272","1.1","4","23","-","113","-","1470","11","-","-","-","-"
"25","B. Young","B. Young","QB","CAR","14","","injury-status","Sun 1:00 PM@ JAX","268","215.8","54","297","4","-","-","-","-","342","539","3613","22"
"26","D. Henry","D. Henry","RB","BAL","7","","injury-status","Sun 8:20 PM@ BUF","263","6.5","285","1542","14","15","-","130","1","-","-","-","-"
"27","T. Tagovailoa","T. Tagovailoa","QB","MIA","12","","injury-status","Sun 1:00 PM@ IND","263","206.1","32","96","1","-","-","-","-","361","534","3975","26"
"28","C. Ward","C. Ward","QB","TEN","10","","injury-status","Sun 4:05 PM@ DEN","258","174.8","71","312","3","-","-","-","-","337","526","3640","21"
