"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"29","G. Smith","G. Smith","QB","LV","8","","injury-status","Sun 1:00 PM@ NE","258","240.8","49","225","2","-","-","-","-","365","538","3780","22"
"30","A. Jeanty","A. Jeanty","RB","LV","8","","injury-status","Sun 1:00 PM@ NE","257","10.7","280","1255","10","49","-","373","2","-","-","-","-"
"31","M. Stafford","M. Stafford","QB","LAR","8","","injury-status","Sun 4:25 PMvs HOU","257","207.0","30","48","1","-","-","-","-","357","541","4005","25"
"32","M. Penix","M. Penix","QB","ATL","5","","injury-status","Sun 1:00 PMvs TB","253","194.9","47","198","2","-","-","-","-","321","512","3656","23"
"33","C. Lamb","C. Lamb","WR","DAL","10","","injury-status","Thu 8:20 PM@ PHI","249","6.3","14","81","1","108","-","1324","8","-","-","-","-"
"34","J. Jefferson","J. Jefferson","WR","MIN","6","Ques","injury-status questionable","Mon 8:15 PM@ CHI","246","5.0","1","6","-","102","-","1407","9","-","-","-","-"
"35","J. Jacobs","J. Jacobs","RB","GB","5","","injury-status","Sun 4:25 PMvs DET","244","13.2","276","1188","11","39","-","295","2","-","-","-","-"
"36","C. McCaffrey","C. McCaffrey","RB","SF","14","","injury-status","Sun 4:05 PM@ SEA","243","8.1","219","995","8","62","-","505","3","-","-","-","-"
"37","J. Taylor","J. Taylor","RB","IND","11","","injury-status","Sun 1:00 PMvs MIA","239","16.7","286","1320","10","34","-","255","1","-","-","-","-"
"38","A. Rodgers","A. Rodgers","QB","PIT","5","","injury-status","Sun 1:00 PM@ NYJ","238","230.1","33","101","1","-","-","-","-","338","522","3656","22"
"39","D. Achane","D. Achane","RB","MIA","12","Ques","injury-status questionable","Sun 1:00 PM@ IND","233","15.1","199","931","7","67","-","508","3","-","-","-","-"
"40","S. Darnold","S. Darnold","QB","SEA","8","","injury-status","Sun 4:05 PMvs SF","232","237.7","45","187","2","-","-","-","-","322","496","3433","20"
"41","N. Collins","N. Collins","WR","HOU","6","","injury-status","Sun 4:25 PM@ LAR","229","13.5","1","6","-","92","-","1285","9","-","-","-","-"
"42","M. Nabers","M. Nabers","WR","NYG","14","Ques","injury-status questionable","Sun 1:00 PM@ WAS","228","11.0","6","35","-","102","-","1278","8","-","-","-","-"
"43","P. Nacua","P. Nacua","WR","LAR","8","","injury-status","Sun 4:25 PMvs HOU","228","12.5","12","71","1","98","-","1237","7","-","-","-","-"
"44","B. Thomas","B. Thomas","WR","JAX","8","","injury-status","Sun 1:00 PMvs CAR","226","20.4","3","18","-","95","-","1290","8","-","-","-","-"
"45","C. Brown","C. Brown","RB","CIN","10","","injury-status","Sun 1:00 PM@ CLE","225","25.2","237","1013","8","53","-","395","2","-","-","-","-"
"46","B. Irving","B. Irving","RB","TB","9","","injury-status","Sun 1:00 PM@ ATL","225","24.3","245","1094","8","47","-","357","2","-","-","-","-"
"47","D. London","D. London","WR","ATL","5","","injury-status","Sun 1:00 PMvs TB","224","17.5","2","11","-","100","-","1253","8","-","-","-","-"
"48","K. Williams","K. Williams","RB","LAR","8","","injury-status","Sun 4:25 PMvs HOU","223","23.2","274","1170","11","30","-","211","1","-","-","-","-"
"49","A. St. Brown","A. St. Brown","WR","DET","8","","injury-status","Sun 4:25 PM@ GB","222","9.5","2","12","-","104","-","1210","8","-","-","-","-"
"50","O. Hampton","O. Hampton","RB","LAC","12","","injury-status","Fri 8:00 PMvs KC","217","30.4","243","1068","10","37","-","281","1","-","-","-","-"
"51","T. Hill","T. Hill","WR","MIA","12","Ques","injury-status questionable","Sun 1:00 PM@ IND","215","27.5","6","35","-","89","-","1194","8","-","-","-","-"
"52","A. Brown","A. Brown","WR","PHI","9","Ques","injury-status questionable","Thu 8:20 PMvs DAL","211","18.5","-","-","-","86","-","1255","7","-","-","-","-"
"53","J. Cook","J. Cook","RB","BUF","7","","injury-status","Sun 8:20 PMvs BAL","204","27.7","225","1035","8","33","-","257","2","-","-","-","-"
"54","J. Conner","J. Conner","RB","ARI","8","","injury-status","Sun 1:00 PM@ NO","204","47.3","214","951","8","40","-","304","2","-","-","-","-"
"55","B. Bowers","B. Bowers","TE","LV","8","","injury-status","Sun 1:00 PM@ NE","200","22.5","5","16","-","101","-","1062","7","-","-","-","-"
"56","A. Kamara","A. Kamara","RB","NO","11","","injury-status","Sun 1:00 PMvs ARI","199","38.2","210","875","5","59","-","438","2","-","-","-","-"
"57","C. Hubbard","C. Hubbard","RB","CAR","14","","injury-status","Sun 1:00 PM@ JAX","197","45.0","244","1050","7","38","-","268","1","-","-","-","-"
"58","T. McBride","T. McBride","TE","ARI","8","","injury-status","Sun 1:00 PM@ NO","196","29.5","1","3","-","102","-","1031","7","-","-","-","-"
"59","G. Wilson","G. Wilson","WR","NYJ","9","","injury-status","Sun 1:00 PMvs PIT","196","42.0","7","37","-","89","-","1115","6","-","-","-","-"
"60","L. McConkey","L. McConkey","WR","LAC","12","","injury-status","Fri 8:00 PMvs KC","196","26.6","3","17","-","89","-","1075","7","-","-","-","-"
"61","M. Harrison","M. Harrison","WR","ARI","8","","injury-status","Sun 1:00 PM@ NO","195","36.6","3","16","-","80","-","1112","7","-","-","-","-"
"62","T. McLaurin","T. McLaurin","WR","WAS","12","","injury-status","Sun 1:00 PMvs NYG","195","43.6","1","6","-","80","-","1121","7","-","-","-","-"
"63","D. Metcalf","D. Metcalf","WR","PIT","5","","injury-status","Sun 1:00 PM@ NYJ","195","46.9","1","6","-","80","-","1141","7","-","-","-","-"
"64","M. Evans","M. Evans","WR","TB","9","","injury-status","Sun 1:00 PM@ ATL","194","39.7","-","-","-","72","-","1041","9","-","-","-","-"
"65","B. Hall","B. Hall","RB","NYJ","9","","injury-status","Sun 1:00 PMvs PIT","194","34.0","230","1005","5","43","-","339","2","-","-","-","-"
"66","T. Higgins","T. Higgins","WR","CIN","10","","injury-status","Sun 1:00 PM@ CLE","194","31.6","-","-","-","82","-","1047","8","-","-","-","-"
"67","D. Adams","D. Adams","WR","LAR","8","","injury-status","Sun 4:25 PMvs HOU","193","44.7","-","-","-","82","-","1040","8","-","-","-","-"
"68","T. Pollard","T. Pollard","RB","TEN","10","","injury-status","Sun 4:05 PM@ DEN","190","65.9","226","960","6","44","-","320","1","-","-","-","-"
"69","T. McMillan","T. McMillan","WR","CAR","14","Ques","injury-status questionable","Sun 1:00 PM@ JAX","189","56.0","5","28","-","84","-","1044","7","-","-","-","-"
"70","J. Williams","J. Williams","WR","DET","8","","injury-status","Sun 4:25 PM@ GB","188","61.1","11","67","1","68","-","1013","7","-","-","-","-"
"71","J. Smith-Njigba","J. Smith-Njigba","WR","SEA","8","","injury-status","Sun 4:05 PMvs SF","185","32.4","8","43","-","87","-","1007","6","-","-","-","-"
"72","G. Pickens","G. Pickens","WR","DAL","10","","injury-status","Thu 8:20 PM@ PHI","182","62.4","3","16","-","71","-","1028","7","-","-","-","-"
"73","C. Sutton","C. Sutton","WR","DEN","12","","injury-status","Sun 4:05 PMvs TEN","182","50.9","-","-","-","76","-","1018","7","-","-","-","-"
"74","T. Henderson","T. Henderson","RB","NE","14","","injury-status","Sun 1:00 PMvs LV","182","48.4","196","840","6","41","-","312","2","-","-","-","-"
"75","R. Wilson","R. Wilson","QB","NYG","14","","injury-status","Sun 1:00 PM@ WAS","181","262.0","44","195","2","-","-","-","-","236","366","2555","14"
"76","R. Harvey","R. Harvey","RB","DEN","12","","injury-status","Sun 4:05 PMvs TEN","181","54.9","185","795","6","43","-","315","2","-","-","-","-"
"77","D. Moore","D. Moore","WR","CHI","5","","injury-status","Mon 8:15 PMvs MIN","180","51.2","8","46","-","80","-","989","6","-","-","-","-"
"78","C. Ridley","C. Ridley","WR","TEN","10","Ques","injury-status questionable","Sun 4:05 PM@ DEN","177","69.7","6","33","-","73","-","1031","6","-","-","-","-"
"79","J. Jeudy","J. Jeudy","WR","CLE","9","","injury-status","Sun 1:00 PMvs CIN","176","75.8","3","18","-","80","-","1039","5","-","-","-","-"
"80","I. Pacheco","I. Pacheco","RB","KC","10","","injury-status","Fri 8:00 PM@ LAC","175","55.1","200","865","7","33","-","243","1","-","-","-","-"
"81","X. Worthy","X. Worthy","WR","KC","10","","injury-status","Fri 8:00 PM@ LAC","173","58.5","16","92","1","68","-","840","7","-","-","-","-"
"82","D. Jones","D. Jones","QB","IND","11","","injury-status","Sun 1:00 PMvs MIA","173","269.9","61","318","3","-","-","-","-","209","320","2171","13"
"83","G. Kittle","G. Kittle","TE","SF","14","","injury-status","Sun 4:05 PM@ SEA","173","37.0","-","-","-","71","-","970","7","-","-","-","-"
"84","J. Waddle","J. Waddle","WR","MIA","12","","injury-status","Sun 1:00 PM@ IND","172","71.7","4","23","-","75","-","980","6","-","-","-","-"
"85","D. Smith","D. Smith","WR","PHI","9","Ques","injury-status questionable","Thu 8:20 PMvs DAL","170","57.0","1","5","-","81","-","952","6","-","-","-","-"
"86","D. Swift","D. Swift","RB","CHI","5","","injury-status","Mon 8:15 PMvs MIN","169","64.0","206","866","6","33","-","238","1","-","-","-","-"
"87","D. Montgomery","D. Montgomery","RB","DET","8","","injury-status","Sun 4:25 PM@ GB","168","52.2","180","786","8","29","-","225","1","-","-","-","-"
"88","C. Olave","C. Olave","WR","NO","11","","injury-status","Sun 1:00 PMvs ARI","167","76.5","1","5","-","77","-","997","5","-","-","-","-"
"89","K. Walker","K. Walker","RB","SEA","8","","injury-status","Sun 4:05 PMvs SF","166","41.1","204","880","6","32","-","235","1","-","-","-","-"
"90","D. Samuel","D. Samuel","WR","WAS","12","","injury-status","Sun 1:00 PMvs NYG","165","79.6","22","120","1","67","-","856","5","-","-","-","-"
"91","M. Golden","M. Golden","WR","GB","5","","injury-status","Sun 4:25 PMvs DET","165","86.3","4","24","-","68","-","925","6","-","-","-","-"
"92","R. Rice","R. Rice","WR","KC","10","Sus","injury-status sus","Fri 8:00 PM@ LAC","164","59.9","2","11","-","74","-","842","7","-","-","-","-"
"93","T. Hunter","T. Hunter","WR, DB - JAX(8)","","","","injury-status","Sun 1:00 PMvs CAR","164","69.8","5","28","-","71","-","892","6","-","-","-","-"
"94","K. Johnson","K. Johnson","RB","PIT","5","","injury-status","Sun 1:00 PM@ NYJ","163","73.1","197","840","7","25","-","185","1","-","-","-","-"
"95","T. Tracy","T. Tracy","RB","NYG","14","","injury-status","Sun 1:00 PM@ WAS","162","78.7","187","795","5","37","-","275","1","-","-","-","-"
"96","Z. Flowers","Z. Flowers","WR","BAL","7","","injury-status","Sun 8:20 PM@ BUF","159","60.0","8","43","-","70","-","919","5","-","-","-","-"
"97","A. Jones","A. Jones","RB","MIN","6","","injury-status","Mon 8:15 PM@ CHI","159","67.3","180","782","4","38","-","280","2","-","-","-","-"
"98","R. Pearsall","R. Pearsall","WR","SF","14","","injury-status","Sun 4:05 PM@ SEA","158","83.9","11","58","-","65","-","861","6","-","-","-","-"
"99","E. Egbuka","E. Egbuka","WR","TB","9","","injury-status","Sun 1:00 PM@ ATL","158","85.9","3","17","-","70","-","875","6","-","-","-","-"
"100","R. Odunze","R. Odunze","WR","CHI","5","","injury-status","Mon 8:15 PMvs MIN","158","76.3","1","5","-","67","-","896","6","-","-","-","-"
"101","J. Warren","J. Warren","RB","PIT","5","","injury-status","Sun 1:00 PM@ NYJ","154","90.7","160","690","4","45","-","340","1","-","-","-","-"
"102","S. Diggs","S. Diggs","WR","NE","14","Ques","injury-status questionable","Sun 1:00 PMvs LV","149","93.0","2","11","-","70","-","785","6","-","-","-","-"
"103","S. LaPorta","S. LaPorta","TE","DET","8","","injury-status","Sun 4:25 PM@ GB","147","48.1","-","-","-","71","-","774","6","-","-","-","-"
"104","J. Flacco","J. Flacco","QB","CLE","9","","injury-status","Sun 1:00 PMvs CIN","146","279.2","19","35","1","-","-","-","-","222","353","2382","14"
"105","S. Rattler","S. Rattler","QB","NO","11","","injury-status","Sun 1:00 PMvs ARI","145","692.8","35","186","1","-","-","-","-","202","326","2208","11"
"106","J. Addison","J. Addison","WR","MIN","6","Sus","injury-status sus","Mon 8:15 PM@ CHI","145","95.3","1","6","-","59","-","804","6","-","-","-","-"
"107","J. Meyers","J. Meyers","WR","LV","8","","injury-status","Sun 1:00 PM@ NE","144","87.4","2","11","-","73","-","840","4","1","2","14","-"
"108","J. Dobbins","J. Dobbins","RB","DEN","12","","injury-status","Sun 4:05 PMvs TEN","144","103.9","140","590","5","38","-","275","2","-","-","-","-"
"109","R. Shaheed","R. Shaheed","WR","NO","11","","injury-status","Sun 1:00 PMvs ARI","142","125.6","7","43","-","57","-","815","5","-","-","-","-"
"110","Z. Charbonnet","Z. Charbonnet","RB","SEA","8","","injury-status","Sun 4:05 PMvs SF","142","97.3","140","601","5","39","-","285","1","-","-","-","-"
"111","T. Etienne","T. Etienne","RB","JAX","8","","injury-status","Sun 1:00 PMvs CAR","141","83.5","137","582","4","39","-","290","2","-","-","-","-"
"112","T. Hockenson","T. Hockenson","TE","MIN","6","","injury-status","Mon 8:15 PM@ CHI","139","66.4","-","-","-","74","-","740","5","-","-","-","-"
"113","M. Andrews","M. Andrews","TE","BAL","7","","injury-status","Sun 8:20 PM@ BUF","138","72.6","3","4","-","55","-","681","7","-","-","-","-"
"114","T. Kelce","T. Kelce","TE","KC","10","","injury-status","Fri 8:00 PM@ LAC","138","63.0","1","1","-","74","-","728","5","-","-","-","-"
"115","K. Shakir","K. Shakir","WR","BUF","7","Ques","injury-status questionable","Sun 8:20 PMvs BAL","136","99.5","2","11","-","71","-","777","4","-","-","-","-"
"116","A. Ekeler","A. Ekeler","RB","WAS","12","","injury-status","Sun 1:00 PMvs NYG","136","114.4","115","505","4","40","-","315","2","-","-","-","-"
"117","M. Pittman","M. Pittman","WR","IND","11","","injury-status","Sun 1:00 PMvs MIA","135","111.5","1","5","-","68","-","785","4","-","-","-","-"
"118","C. Kupp","C. Kupp","WR","SEA","8","","injury-status","Sun 4:05 PMvs SF","135","90.1","3","16","-","67","-","719","5","-","-","-","-"
"119","C. Godwin","C. Godwin","WR","TB","9","Doub","injury-status doubtful","Sun 1:00 PM@ ATL","134","104.1","2","9","-","63","-","734","5","-","-","-","-"
"120","E. Engram","E. Engram","TE","DEN","12","","injury-status","Sun 4:05 PMvs TEN","133","81.2","-","-","-","72","-","691","5","-","-","-","-"
"121","J. Jennings","J. Jennings","WR","SF","14","Ques","injury-status questionable","Sun 4:05 PM@ SEA","132","106.4","1","5","-","59","-","744","5","-","-","-","-"
"122","J. Mason","J. Mason","RB","MIN","6","","injury-status","Mon 8:15 PM@ CHI","132","96.9","163","715","5","20","-","140","1","-","-","-","-"
"123","J. Downs","J. Downs","WR","IND","11","Ques","injury-status questionable","Sun 1:00 PMvs MIA","131","118.3","3","17","-","67","-","740","4","-","-","-","-"
"124","D. Mooney","D. Mooney","WR","ATL","5","Ques","injury-status questionable","Sun 1:00 PMvs TB","131","131.1","1","5","-","58","-","795","4","-","-","-","-"
"125","A. Richardson","A. Richardson","QB","IND","11","","injury-status","Sun 1:00 PMvs MIA","131","247.9","64","355","3","-","-","-","-","115","197","1380","7"
"126","K. Coleman","K. Coleman","WR","BUF","7","","injury-status","Sun 8:20 PMvs BAL","130","115.4","1","6","-","53","-","749","5","-","-","-","-"
"127","J. Higgins","J. Higgins","WR","HOU","6","","injury-status","Sun 4:25 PM@ LAR","129","121.3","1","6","-","54","-","710","5","-","-","-","-"
"128","M. Mims","M. Mims","WR","DEN","12","Ques","injury-status questionable","Sun 4:05 PMvs TEN","129","144.0","8","48","-","55","-","682","5","-","-","-","-"
"129","D. Njoku","D. Njoku","TE","CLE","9","","injury-status","Sun 1:00 PMvs CIN","125","92.6","-","-","-","69","-","685","4","-","-","-","-"
"130","J. Williams","J. Williams","RB","DAL","10","","injury-status","Thu 8:20 PM@ PHI","125","102.8","133","545","4","33","-","238","1","-","-","-","-"
"131","J. Palmer","J. Palmer","WR","BUF","7","","injury-status","Sun 8:20 PMvs BAL","124","174.2","-","-","-","48","-","696","5","-","-","-","-"
"132","T. Kraft","T. Kraft","TE","GB","5","","injury-status","Sun 4:25 PMvs DET","124","104.3","-","-","-","62","-","645","5","-","-","-","-"
"133","T. Warren","T. Warren","TE","IND","11","","injury-status","Sun 1:00 PMvs MIA","122","89.7","4","21","-","60","-","615","5","-","-","-","-"
"134","R. Bateman","R. Bateman","WR","BAL","7","","injury-status","Sun 8:20 PM@ BUF","120","158.4","-","-","-","45","-","679","5","-","-","-","-"
"135","X. Legette","X. Legette","WR","CAR","14","","injury-status","Sun 1:00 PM@ JAX","118","193.1","6","26","-","54","-","665","4","-","-","-","-"
"136","B. Aubrey","B. Aubrey","K","DAL","10","","injury-status","Thu 8:20 PM@ PHI","118","136.6","-","-","-","-","-","-","-","-","-","-","-"
"137","J. Mixon","J. Mixon","RB","HOU","6","PUP","injury-status pup","Sun 4:25 PM@ LAR","118","80.5","125","524","5","20","-","195","1","-","-","-","-"
"138","D. Goedert","D. Goedert","TE","PHI","9","Ques","injury-status questionable","Thu 8:20 PMvs DAL","118","152.8","1","4","-","61","-","648","4","-","-","-","-"
"139","C. Kirk","C. Kirk","WR","HOU","6","","injury-status","Sun 4:25 PM@ LAR","117","148.5","2","9","-","56","-","660","4","-","-","-","-"
"140","C. Loveland","C. Loveland","TE","CHI","5","","injury-status","Mon 8:15 PMvs MIN","117","108.9","-","-","-","62","-","638","4","-","-","-","-"
"141","C. Tillman","C. Tillman","WR","CLE","9","","injury-status","Sun 1:00 PMvs CIN","116","186.1","1","7","-","50","-","660","4","-","-","-","-"
"142","T. Benson","T. Benson","RB","ARI","8","","injury-status","Sun 1:00 PM@ NO","115","142.4","132","568","4","24","-","178","1","-","-","-","-"
"143","J. Ferguson","J. Ferguson","TE","DAL","10","","injury-status","Thu 8:20 PM@ PHI","114","141.3","-","-","-","63","-","600","4","-","-","-","-"
"144","J. Croskey-Merritt","J. Croskey-Merritt","RB","WAS","12","","injury-status","Sun 1:00 PMvs NYG","113","100.6","136","587","5","15","-","112","1","-","-","-","-"
"145","J. Blue","J. Blue","RB","DAL","10","Ques","injury-status questionable","Thu 8:20 PM@ PHI","113","127.8","130","552","3","27","-","205","1","-","-","-","-"
"146","D. Douglas","D. Douglas","WR","NE","14","","injury-status","Sun 1:00 PMvs LV","113","198.5","8","44","-","58","-","616","3","-","-","-","-"
"147","C. Okonkwo","C. Okonkwo","TE","TEN","10","","injury-status","Sun 4:05 PM@ DEN","113","188.5","1","6","-","59","-","605","4","-","-","-","-"
"148","D. Kincaid","D. Kincaid","TE","BUF","7","","injury-status","Sun 8:20 PMvs BAL","113","123.0","-","-","-","59","-","610","4","-","-","-","-"
"149","K. Pitts","K. Pitts","TE","ATL","5","","injury-status","Sun 1:00 PMvs TB","112","118.6","-","-","-","50","-","628","4","-","-","-","-"
"150","R. Stevenson","R. Stevenson","RB","NE","14","Ques","injury-status questionable","Sun 1:00 PMvs LV","111","122.7","130","540","4","24","-","172","1","-","-","-","-"
"151","Philadelphia. Eagles","Philadelphia. Eagles","DEF","PHI","9","","injury-status","Thu 8:20 PMvs DAL","111","150.9","-","-","-","-","-","-","-","-","-","-","-"
"152","T. Harris","T. Harris","WR","LAC","12","Ques","injury-status questionable","Fri 8:00 PMvs KC","111","173.9","1","5","-","48","-","641","4","-","-","-","-"
"153","R. Davis","R. Davis","RB","BUF","7","","injury-status","Sun 8:20 PMvs BAL","111","157.3","122","550","5","17","-","131","1","-","-","-","-"
"154","L. Burden","L. Burden","WR","CHI","5","","injury-status","Mon 8:15 PMvs MIN","110","153.9","8","47","1","47","-","540","4","-","-","-","-"
"155","N. Chubb","N. Chubb","RB","HOU","6","","injury-status","Sun 4:25 PM@ LAR","109","120.2","130","545","5","15","-","111","1","-","-","-","-"
"156","Baltimore. Ravens","Baltimore. Ravens","DEF","BAL","7","","injury-status","Sun 8:20 PM@ BUF","109","185.5","-","-","-","-","-","-","-","-","-","-","-"
"157","T. Allgeier","T. Allgeier","RB","ATL","5","","injury-status","Sun 1:00 PMvs TB","109","167.1","146","636","4","14","-","103","1","-","-","-","-"
"158","D. Sampson","D. Sampson","RB","CLE","9","","injury-status","Sun 1:00 PMvs CIN","109","162.9","126","528","4","21","-","155","1","-","-","-","-"
"159","W. Robinson","W. Robinson","WR","NYG","14","","injury-status","Sun 1:00 PM@ WAS","108","214.2","5","23","-","63","-","585","3","-","-","-","-"
"160","R. Doubs","R. Doubs","WR","GB","5","","injury-status","Sun 4:25 PMvs DET","108","211.4","-","-","-","49","-","615","4","-","-","-","-"
"161","Houston. Texans","Houston. Texans","DEF","HOU","6","","injury-status","Sun 4:25 PM@ LAR","108","191.5","-","-","-","-","-","-","-","-","-","-","-"
"162","Denver. Broncos","Denver. Broncos","DEF","DEN","12","","injury-status","Sun 4:05 PMvs TEN","108","152.8","-","-","-","-","-","-","-","-","-","-","-"
"163","H. Brown","H. Brown","WR","KC","10","Ques","injury-status questionable","Fri 8:00 PM@ LAC","108","197.6","-","-","-","46","-","608","4","-","-","-","-"
"164","B. Aiyuk","B. Aiyuk","WR","SF","14","PUP","injury-status pup","Sun 4:05 PM@ SEA","107","129.3","-","-","-","44","-","630","4","-","-","-","-"
"165","T. Shough","T. Shough","QB","NO","11","","injury-status","Sun 1:00 PMvs ARI","107","274.7","27","136","1","-","-","-","-","144","234","1585","8"
"166","J. Bates","J. Bates","K","DET","8","","injury-status","Sun 4:25 PM@ GB","107","138.1","-","-","-","-","-","-","-","-","-","-","-"
"167","Pittsburgh. Steelers","Pittsburgh. Steelers","DEF","PIT","5","","injury-status","Sun 1:00 PM@ NYJ","107","157.1","-","-","-","-","-","-","-","-","-","-","-"
"168","Minnesota. Vikings","Minnesota. Vikings","DEF","MIN","6","","injury-status","Mon 8:15 PM@ CHI","107","161.4","-","-","-","-","-","-","-","-","-","-","-"
"169","Green Bay. Packers","Green Bay. Packers","DEF","GB","5","","injury-status","Sun 4:25 PMvs DET","105","240.7","-","-","-","-","-","-","-","-","-","-","-"
"170","Buffalo. Bills","Buffalo. Bills","DEF","BUF","7","","injury-status","Sun 8:20 PMvs BAL","105","233.8","-","-","-","-","-","-","-","-","-","-","-"
"171","H. Henry","H. Henry","TE","NE","14","","injury-status","Sun 1:00 PMvs LV","105","192.1","-","-","-","53","-","564","4","-","-","-","-"
"172","Q. Judkins","Q. Judkins","RB","CLE","9","","injury-status","Sun 1:00 PMvs CIN","104","82.4","139","588","4","14","-","106","1","-","-","-","-"
"173","Detroit. Lions","Detroit. Lions","DEF","DET","8","","injury-status","Sun 4:25 PM@ GB","104","190.6","-","-","-","-","-","-","-","-","-","-","-"
"174","J. Reed","J. Reed","WR","GB","5","Ques","injury-status questionable","Sun 4:25 PMvs DET","104","113.5","10","55","1","41","-","496","4","-","-","-","-"
"175","C. Dicker","C. Dicker","K","LAC","12","","injury-status","Fri 8:00 PMvs KC","103","137.6","-","-","-","-","-","-","-","-","-","-","-"
"176","Kansas City. Chiefs","Kansas City. Chiefs","DEF","KC","10","","injury-status","Fri 8:00 PM@ LAC","103","193.1","-","-","-","-","-","-","-","-","-","-","-"
