index,pick,player,position,team,bidder,amount
"139","54","M. Williams","WR","","getbiggs","21"
"138","55","T. McLaurin","WR","","eqengineering","20"
"137","56","C. Sutton","WR","","jonjak","19"
"136","57","J. Jacobs","RB","","jonjak","19"
"135","58","M. Sanders","RB","","Hurwitz","5"
"134","59","D. Metcalf","WR","","squeege8","14"
"133","60","A. Gibson","RB","","broadwayed","10"
"132","61","G. Davis","WR","","Nunchuker","14"
"131","62","Z. Ertz","TE","","Nunchuker","7"
"130","63","A. Cooper","WR","","Crogkiller","8"
"129","64","E. Mitchell","RB","","Hurwitz","10"
"128","65","A. Dillon","RB","","Nunchuker","15"
"127","66","A. Robinson","WR","","vrael28","20"
"126","67","J. Burrow","QB","","Crogkiller","7"
"125","68","M. Brown","WR","","Crogkiller","9"
"124","69","C. Edwards-Helaire","RB","","getbiggs","12"
"123","70","M. Gordon","RB","","jonjak","2"
"122","71","J. Jeudy","WR","","vrael28","13"
"121","72","J. Smith-Schuster","WR","","Hurwitz","8"
"120","73","D. Goedert","TE","","Hurwitz","6"
"119","74","M. Thomas","WR","","jonjak","9"
"118","75","C. Patterson","RB","","lmamut925","4"
"117","76","B. Cooks","WR","","Hurwitz","13"
"116","77","A. St. Brown","WR","","eqengineering","7"
"115","78","A. Thielen","WR","","eqengineering","5"
"114","79","D. Singletary","RB","","jonjak","8"
"113","80","C. Godwin","WR","","lmamut925","7"
"112","81","T. Brady","QB","","broadwayed","8"
"111","82","A. Mattison","RB","","eqengineering","5"
"110","83","D. Mooney","WR","","jonjak","6"
"109","84","T. Pollard","RB","","lmamut925","4"
"108","85","T. Hockenson","TE","","Crogkiller","10"
"107","86","C. Edmonds","RB","","Crogkiller","9"
"106","87","H. Renfrow","WR","","Hurwitz","6"
"105","88","A. Lazard","WR","","Crogkiller","5"
"104","89","K. Hunt","RB","","Crogkiller","6"
"103","90","R. Wilson","QB","","jonjak","3"
"102","91","R. Penny","RB","","DannyTheSwift","5"
"101","92","R. Bateman","WR","","Nunchuker","12"
"100","93","D. Hopkins","WR","","lmamut925","5"
"99","94","D. Smith","WR","","vrael28","5"
"98","95","D. Prescott","QB","","klulaj","3"
"97","96","B. Aiyuk","WR","","jonjak","7"
"96","97","D. Pierce","RB","","Crogkiller","12"
"95","98","E. Moore","WR","","broadwayed","7"
"94","99","K. Walker","RB","","DannyTheSwift","2"
"93","100","D. London","WR","","DannyTheSwift","3"
"92","101","T. Lance","QB","","Hurwitz","4"
"91","102","C. Kirk","WR","","getbiggs","3"
"90","103","T. Burks","WR","","broadwayed","3"
"89","104","C. Olave","WR","","Nunchuker","3"
"88","105","K. Cousins","QB","","jonjak","1"
"87","106","T. Lockett","WR","","getbiggs","2"
"86","107","R. Stevenson","RB","","jonjak","3"
"85","108","D. Knox","TE","","jonjak","4"
"84","109","C. Kmet","TE","","Hurwitz","3"
"83","110","M. Stafford","QB","","Crogkiller","1"
"82","111","R. Woods","WR","","squeege8","2"
"81","112","J. Cook","RB","","Hurwitz","2"
"80","113","T. Buccaneers","DEF","TB","Hurwitz","2"
"79","114","L. Rams","DEF","LAR","getbiggs","2"
"78","115","P. Freiermuth","TE","","lmamut925","8"
"77","116","S. Moore","WR","","Nunchuker","4"
"76","117","S. 49ers","DEF","SF","jonjak","5"
"75","118","J. Robinson","RB","","klulaj","3"
"74","119","M. Carter","RB","","broadwayed","3"
"73","120","G. Pickens","WR","","lmamut925","4"
"72","121","J. Tucker","K","","Hurwitz","3"
"71","122","D. Cowboys","DEF","DAL","eqengineering","2"
"70","123","D. Henderson","RB","","klulaj","2"
"69","124","G. Wilson","WR","","broadwayed","2"
"68","125","D. Carr","QB","","DannyTheSwift","3"
"67","126","M. Jones","QB","","eqengineering","1"
"66","127","C. Claypool","WR","","Crogkiller","4"
"65","128","N. Hines","RB","","broadwayed","1"
"64","129","E. McPherson","K","","jonjak","1"
"63","130","K. Toney","WR","","Nunchuker","2"
"62","131","M. Valdes-Scantling","WR","","squeege8","2"
"61","132","M. Gesicki","TE","","getbiggs","1"
"60","133","I. Spiller","RB","","Crogkiller","1"
"59","134","J. Jones","WR","","Nunchuker","3"
"58","135","B. Robinson","RB","","vrael28","1"
"57","136","B. Ravens","DEF","BAL","DannyTheSwift","1"
"56","137","D. Carlson","K","","getbiggs","2"
"55","138","H. Butker","K","","lmamut925","1"
"54","139","M. Gay","K","","broadwayed","1"
"53","140","T. Tagovailoa","QB","","squeege8","1"
"52","141","T. Boyd","WR","","squeege8","2"
"51","142","K. Gainwell","RB","","getbiggs","1"
"50","143","I. Pacheco","RB","","Nunchuker","1"
"49","144","S. Watkins","WR","","vrael28","1"
"48","145","T. Allgeier","RB","","DannyTheSwift","1"
"47","146","D. Parker","WR","","eqengineering","1"
"46","147","M. Gallup","WR","","squeege8","2"
"45","148","L. Chargers","DEF","LAC","broadwayed","1"
"44","149","A. Okwuegbunam","TE","","lmamut925","3"
"43","150","J. Landry","WR","","getbiggs","2"
"42","151","M. Ingram","RB","","getbiggs","1"
"41","152","H. Henry","TE","","Nunchuker","1"
"40","153","C. Watson","WR","","vrael28","1"
"39","154","J. Fields","QB","","DannyTheSwift","1"
"38","155","Z. White","RB","","eqengineering","1"
"37","156","N. Saints","DEF","NO","lmamut925","1"
"36","157","R. White","RB","","broadwayed","1"
"35","158","D. Njoku","TE","","squeege8","1"
"34","159","J. Dotson","WR","","broadwayed","2"
"33","160","K. Herbert","RB","","getbiggs","1"
"32","161","T. Bass","K","","Nunchuker","1"
"31","162","K. Golladay","WR","","klulaj","2"
"30","163","T. Lawrence","QB","","DannyTheSwift","1"
"29","164","M. Prater","K","","eqengineering","1"
"28","165","R. Gage","WR","","lmamut925","1"
"27","166","J. Winston","QB","","broadwayed","1"
"26","167","R. Doubs","WR","","squeege8","1"
"25","168","R. Moore","WR","","klulaj","1"
"24","169","R. Tannehill","QB","","getbiggs","1"
"23","170","I. Colts","DEF","IND","Nunchuker","1"
"22","171","A. Rodgers","WR","","vrael28","1"
"21","172","D. Chark","WR","","DannyTheSwift","1"
"20","173","D. Foreman","RB","","eqengineering","1"
"19","174","J. Williams","RB","","broadwayed","2"
"18","175","G. Packers","DEF","GB","squeege8","1"
"17","176","Y. Koo","K","","klulaj","1"
"16","177","R. Mostert","RB","","vrael28","1"
"15","178","N. Folk","K","","DannyTheSwift","1"
"14","179","J. McKissic","RB","","lmamut925","1"
"13","180","J. Williams","WR","","squeege8","1"
"12","181","C. Hubbard","RB","","klulaj","1"
"11","182","R. Jones","RB","","DannyTheSwift","1"
"10","183","M. Mack","RB","","lmamut925","1"
"9","184","B. McManus","K","","squeege8","1"
"8","185","M. Hardman","WR","","klulaj","1"
"7","186","T. Higbee","TE","","DannyTheSwift","1"
"6","187","M. Davis","RB","","squeege8","1"
"5","188","D. Broncos","DEF","DEN","klulaj","1"
"4","189","I. Smith","TE","","squeege8","1"
"3","190","J. Meyers","WR","","klulaj","1"
"2","191","R. Tonyan","TE","","klulaj","1"
"1","192","M. Ryan","QB","","klulaj","1"
