index,pick,player,position,team,bidder,amount
"192","1","R. Blankenship","K","","vrael28","3"
"191","2","D. Cook","RB","","eqengineering","56"
"190","3","J. Chase","WR","","getbiggs","50"
"189","4","J. Taylor","RB","","DannyTheSwift","80"
"188","5","B. Bills","DEF","BUF","vrael28","3"
"187","6","C. McCaffrey","RB","","klulaj","65"
"186","7","C. Kupp","WR","","lmamut925","56"
"185","8","A. Ekeler","RB","","squeege8","61"
"184","9","D. Henry","RB","","squeege8","61"
"183","10","J. Hurts","QB","","lmamut925","22"
"182","11","D. Adams","WR","","klulaj","46"
"181","12","J. Mixon","RB","","jonjak","58"
"180","13","J. Jefferson","WR","","broadwayed","62"
"179","14","D. Swift","RB","","squeege8","48"
"178","15","T. Kelce","TE","","broadwayed","46"
"177","16","A. Brown","WR","","DannyTheSwift","28"
"176","17","M. Andrews","TE","","DannyTheSwift","39"
"175","18","A. Kamara","RB","","lmamut925","52"
"174","19","S. Barkley","RB","","vrael28","45"
"173","20","N. Harris","RB","","Nunchuker","56"
"172","21","S. Diggs","WR","","Hurwitz","41"
"171","22","N. Chubb","RB","","getbiggs","40"
"170","23","T. Higgins","WR","","Crogkiller","26"
"169","24","J. Williams","RB","","broadwayed","42"
"168","25","T. Etienne","RB","","vrael28","42"
"167","26","M. Evans","WR","","jonjak","27"
"166","27","E. Elliott","RB","","getbiggs","26"
"165","28","T. Hill","WR","","Nunchuker","32"
"164","29","J. Allen","QB","","eqengineering","39"
"163","30","A. Jones","RB","","Crogkiller","40"
"162","31","P. Mahomes","QB","","getbiggs","35"
"161","32","C. Lamb","WR","","DannyTheSwift","32"
"160","33","L. Fournette","RB","","Nunchuker","39"
"159","34","A. Rodgers","QB","","vrael28","11"
"158","35","D. Samuel","WR","","klulaj","43"
"157","36","G. Kittle","TE","","eqengineering","17"
"156","37","J. Waddle","WR","","Crogkiller","20"
"155","38","D. Waller","TE","","vrael28","16"
"154","39","K. Pitts","TE","","klulaj","28"
"153","40","J. Conner","RB","","vrael28","33"
"152","41","J. Herbert","QB","","Crogkiller","16"
"151","42","C. Akers","RB","","Hurwitz","20"
"150","43","L. Jackson","QB","","Hurwitz","16"
"149","44","D. Johnson","WR","","eqengineering","16"
"148","45","D. Montgomery","RB","","Crogkiller","26"
"147","46","D. Harris","RB","","eqengineering","7"
"146","47","M. Pittman","WR","","Hurwitz","28"
"145","48","D. Moore","WR","","jonjak","26"
"144","49","B. Hall","RB","","Hurwitz","21"
"143","50","K. Murray","QB","","Nunchuker","9"
"142","51","K. Allen","WR","","lmamut925","30"
"141","52","J. Dobbins","RB","","eqengineering","21"
"140","53","D. Schultz","TE","","vrael28","4"
