,name,position,team,bye_week,points,points_actual,year,difference,pos_med,pos_min,var,pred_mean,pred_variance,mean_error,var_error,mean_actual,lambda,adjusted_pts
12,J. Myers,K,SEA,9.0,95.0,95.0,2021,0.0,92.5,83.0,12.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,94.97951778504799
13,Y. Koo,K,ATL,6.0,91.0,123.0,2021,32.0,92.5,83.0,8.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,91.07783241681767
14,M. Prater,K,ARI,12.0,91.0,145.0,2021,54.0,92.5,83.0,8.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,91.07783241681767
15,Q. Nordin,K,NE,14.0,90.0,0.0,2021,-90.0,92.5,83.0,7.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,90.10241107476008
16,M. Crosby,K,GB,13.0,89.0,123.0,2021,34.0,92.5,83.0,6.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,89.12698973270251
17,T. Vizcaino,K,LAC,7.0,89.0,23.0,2021,-66.0,92.5,83.0,6.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,89.12698973270251
18,M. Badgley,K,IND,14.0,89.0,97.0,2021,8.0,92.5,83.0,6.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,89.12698973270251
19,J. Sanders,K,MIA,14.0,89.0,106.0,2021,17.0,92.5,83.0,6.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,89.12698973270251
20,J. Sanders,K,MIA,14.0,89.0,0.0,2021,-89.0,92.5,83.0,6.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,89.12698973270251
21,R. Gould,K,SF,6.0,89.0,108.0,2021,19.0,92.5,83.0,6.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,89.12698973270251
22,R. Blankenship,K,IND,14.0,86.0,41.0,2021,-45.0,92.5,83.0,3.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,86.20072570652977
23,C. McLaughlin,K,CLE,13.0,86.0,86.0,2021,0.0,92.5,83.0,3.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,86.20072570652977
24,K. Vedvik,"K, P",,,0.0,0.0,2021,0.0,0.0,0.0,0.0,5.666666666666667,68.0,-2.888888888888889,135.36111111111114,2.7777777777777777,0.6656194508946865,1.8948231115967764
25,R. Santoso,"K, P - LAR(11)",,,82.0,15.0,2021,-67.0,82.0,82.0,0.0,82.0,,-67.0,,15.0,,
26,M. Ammendola,"K, P - NYJ(6)",,,61.0,48.0,2021,-13.0,61.0,61.0,0.0,61.0,,-13.0,,48.0,,
27,M. Wile,"P, K",,,0.0,0.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,4.25,100.75000000000001,4.25,1.0,0.0
28,T. Long,"P, K - LAC(7)",,,0.0,0.0,2021,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,
29,B. Wright,"P, K - LAR(11)",,,0.0,30.0,2021,30.0,0.0,0.0,0.0,0.0,0.0,15.0,450.0,15.0,1.0,0.0
30,B. Wright,"P, K - LAR(11)",,,0.0,0.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,15.0,450.0,15.0,1.0,0.0
31,M. Palardy,"P, K - MIA(14)",,,0.0,0.0,2021,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,
32,D. Jones,QB,NYG,10.0,307.0,167.0,2021,-140.0,307.0,157.0,150.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,305.17502790033654
33,T. Lance,QB,SF,6.0,307.0,67.0,2021,-240.0,307.0,157.0,150.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,305.17502790033654
34,J. Fields,QB,CHI,10.0,298.0,125.0,2021,-173.0,307.0,157.0,141.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,297.71786145621644
35,B. Mayfield,QB,CLE,13.0,295.0,188.0,2021,-107.0,307.0,157.0,138.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,295.2321393081764
36,M. Ryan,QB,ATL,6.0,283.0,224.0,2021,-59.0,307.0,157.0,126.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,285.2892507160162
37,T. Lawrence,QB,JAX,7.0,276.0,207.0,2021,-69.0,307.0,157.0,119.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,279.48923237058943
38,T. Taylor,QB,HOU,10.0,257.0,84.0,2021,-173.0,307.0,157.0,100.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,263.7463254330025
39,T. Taylor,QB,HOU,10.0,257.0,5.0,2021,-252.0,307.0,157.0,100.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,263.7463254330025
40,T. Taylor,QB,HOU,10.0,257.0,0.0,2021,-257.0,307.0,157.0,100.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,263.7463254330025
41,J. Winston,QB,NO,6.0,249.0,118.0,2021,-131.0,307.0,157.0,92.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,257.11773303822906
42,J. Goff,QB,DET,9.0,241.0,194.0,2021,-47.0,307.0,157.0,84.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,250.48914064345558
43,Z. Wilson,QB,NYJ,6.0,241.0,158.0,2021,-83.0,307.0,157.0,84.0,296.3541666666667,3200.105939716308,-127.9375,15467.464095744686,168.41666666666666,0.8285740493466812,250.48914064345558
44,M. Sanders,RB,PHI,14.0,214.0,103.0,2021,-111.0,187.0,79.0,135.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,199.07319850201648
45,D. Henderson,RB,LAR,11.0,186.0,149.0,2021,-37.0,187.0,79.0,107.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,180.64915134845555
46,T. Sermon,RB,SF,6.0,171.0,27.0,2021,-144.0,187.0,79.0,92.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,170.77912608761932
47,R. Mostert,RB,SF,6.0,156.0,2.0,2021,-154.0,187.0,79.0,77.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,160.90910082678312
48,T. Williams,RB,BAL,8.0,142.0,36.0,2021,-106.0,187.0,79.0,63.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,151.69707725000265
49,T. Williams,RB,BAL,8.0,142.0,2.0,2021,-140.0,187.0,79.0,63.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,151.69707725000265
50,T. Williams,RB,BAL,8.0,142.0,6.0,2021,-136.0,187.0,79.0,63.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,151.69707725000265
51,T. Williams,RB,BAL,8.0,142.0,0.0,2021,-142.0,187.0,79.0,63.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,151.69707725000265
52,T. Williams,RB,BAL,8.0,142.0,0.0,2021,-142.0,187.0,79.0,63.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,151.69707725000265
53,T. Jones,RB,NO,6.0,117.0,20.0,2021,-97.0,187.0,79.0,38.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,135.24703514860897
54,T. Jones,RB,NO,6.0,117.0,1.0,2021,-116.0,187.0,79.0,38.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,135.24703514860897
55,T. Jones,RB,NO,6.0,117.0,0.0,2021,-117.0,187.0,79.0,38.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,135.24703514860897
56,T. Jones,RB,NO,6.0,117.0,0.0,2021,-117.0,187.0,79.0,38.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,135.24703514860897
57,T. Jones,RB,NO,6.0,117.0,0.0,2021,-117.0,187.0,79.0,38.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,135.24703514860897
58,T. Jones,RB,NO,6.0,117.0,0.0,2021,-117.0,187.0,79.0,38.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,135.24703514860897
59,P. Lindsay,RB,MIA,14.0,111.0,43.0,2021,-68.0,187.0,79.0,32.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,131.29902504427446
60,L. Rountree,RB,LAC,7.0,109.0,15.0,2021,-94.0,187.0,79.0,30.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,129.983021676163
61,S. Ahmed,RB,MIA,14.0,101.0,33.0,2021,-68.0,187.0,79.0,22.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,124.719008203717
62,T. Johnson,RB,NYJ,6.0,99.0,98.0,2021,-1.0,187.0,79.0,20.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,123.4030048356055
63,T. Johnson,RB,NYJ,6.0,99.0,54.0,2021,-45.0,187.0,79.0,20.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,123.4030048356055
64,T. Johnson,RB,NYJ,6.0,99.0,0.0,2021,-99.0,187.0,79.0,20.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,123.4030048356055
65,T. Johnson,RB,NYJ,6.0,99.0,0.0,2021,-99.0,187.0,79.0,20.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,123.4030048356055
66,K. Gainwell,RB,PHI,14.0,98.0,105.0,2021,7.0,187.0,79.0,19.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,122.74500315154975
67,D. Johnson,RB,HOU,10.0,97.0,64.0,2021,-33.0,187.0,79.0,18.0,170.35416666666666,3068.3364035087707,-73.53125,5903.451644736843,96.82291666666667,0.6580016840557477,122.087001467494
68,D. Waller,TE,LV,8.0,210.0,106.0,2021,-104.0,129.0,70.0,140.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,186.97602904488795
69,T. Hockenson,TE,DET,9.0,178.0,115.0,2021,-63.0,129.0,70.0,108.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,163.75141847095549
70,J. Smith,TE,NE,14.0,114.0,52.0,2021,-62.0,129.0,70.0,44.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,117.30219732309051
71,J. Smith,TE,NE,14.0,114.0,15.0,2021,-99.0,129.0,70.0,44.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,117.30219732309051
72,J. Smith,TE,NE,14.0,114.0,0.0,2021,-114.0,129.0,70.0,44.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,117.30219732309051
73,J. Smith,TE,NE,14.0,114.0,0.0,2021,-114.0,129.0,70.0,44.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,117.30219732309051
74,J. Smith,TE,NE,14.0,114.0,0.0,2021,-114.0,129.0,70.0,44.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,117.30219732309051
75,J. Smith,TE,NE,14.0,114.0,0.0,2021,-114.0,129.0,70.0,44.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,117.30219732309051
76,J. Smith,TE,NE,14.0,114.0,0.0,2021,-114.0,129.0,70.0,44.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,117.30219732309051
77,C. Kmet,TE,CHI,10.0,112.0,91.0,2021,-21.0,129.0,70.0,42.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,115.85065916221973
78,B. Jarwin,TE,DAL,7.0,112.0,27.0,2021,-85.0,129.0,70.0,42.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,115.85065916221973
79,D. Arnold,TE,JAX,7.0,110.0,57.0,2021,-53.0,129.0,70.0,40.0,126.04166666666667,1039.0195035460995,-39.520833333333336,2749.829343971631,86.52083333333333,0.7257690804353901,114.39912100134896
80,D. Hopkins,WR,ARI,12.0,250.0,126.0,2021,-124.0,182.0,99.0,151.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,228.61459801736194
81,A. Robinson,WR,CHI,10.0,222.0,68.0,2021,-154.0,182.0,99.0,123.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,208.25941943716836
82,R. Woods,WR,LAR,11.0,216.0,115.0,2021,-101.0,182.0,99.0,117.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,203.8975954556983
83,J. Jeudy,WR,DEN,11.0,203.0,65.0,2021,-138.0,182.0,99.0,104.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,194.44697682917987
84,K. Golladay,WR,NYG,10.0,185.0,71.0,2021,-114.0,182.0,99.0,86.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,181.36150488476972
85,M. Thomas,WR,NO,6.0,176.0,0.0,2021,-176.0,182.0,99.0,77.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,174.81876891256462
86,M. Thomas,WR,NO,6.0,176.0,9.0,2021,-167.0,182.0,99.0,77.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,174.81876891256462
87,R. Moore,WR,ARI,12.0,157.0,79.0,2021,-78.0,182.0,99.0,58.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,161.00632630457613
88,W. Fuller,WR,MIA,14.0,157.0,7.0,2021,-150.0,182.0,99.0,58.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,161.00632630457613
89,D. Mooney,WR,CHI,10.0,152.0,179.0,2021,27.0,182.0,99.0,53.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,157.3714729866844
90,J. Reagor,WR,PHI,14.0,151.0,60.0,2021,-91.0,182.0,99.0,52.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,156.64450232310608
91,G. Davis,WR,BUF,7.0,147.0,108.0,2021,-39.0,182.0,99.0,48.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,153.7366196687927
92,G. Davis,WR,BUF,7.0,147.0,0.0,2021,-147.0,182.0,99.0,48.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,153.7366196687927
93,H. Ruggs,WR,,,145.0,73.0,2021,-72.0,182.0,99.0,46.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,152.28267834163603
94,S. Shepard,WR,NYG,10.0,144.0,60.0,2021,-84.0,182.0,99.0,45.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,151.55570767805767
95,T. Marshall,WR,CAR,13.0,133.0,24.0,2021,-109.0,182.0,99.0,34.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,143.55903037869592
96,J. Palmer,WR,LAC,7.0,133.0,76.0,2021,-57.0,182.0,99.0,34.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,143.55903037869592
97,T. Williams,WR,,,133.0,36.0,2021,-97.0,182.0,99.0,34.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,143.55903037869592
98,T. Williams,WR,,,133.0,2.0,2021,-131.0,182.0,99.0,34.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,143.55903037869592
99,T. Williams,WR,,,133.0,6.0,2021,-127.0,182.0,99.0,34.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,143.55903037869592
100,T. Williams,WR,,,133.0,0.0,2021,-133.0,182.0,99.0,34.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,143.55903037869592
101,T. Williams,WR,,,133.0,0.0,2021,-133.0,182.0,99.0,34.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,143.55903037869592
102,P. Campbell,WR,IND,14.0,132.0,27.0,2021,-105.0,182.0,99.0,33.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,142.83205971511757
103,D. Brown,WR,WAS,9.0,131.0,22.0,2021,-109.0,182.0,99.0,32.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,142.10508905153924
104,D. Brown,WR,WAS,9.0,131.0,4.0,2021,-127.0,182.0,99.0,32.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,142.10508905153924
105,D. Brown,WR,WAS,9.0,131.0,0.0,2021,-131.0,182.0,99.0,32.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,142.10508905153924
106,D. Brown,WR,WAS,9.0,131.0,0.0,2021,-131.0,182.0,99.0,32.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,142.10508905153924
107,T. Smith,WR,NO,6.0,130.0,71.0,2021,-59.0,182.0,99.0,31.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,141.3781183879609
108,D. Slayton,WR,NYG,10.0,129.0,55.0,2021,-74.0,182.0,99.0,30.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,140.65114772438255
109,R. Cobb,WR,GB,13.0,128.0,79.0,2021,-49.0,182.0,99.0,29.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,139.9241770608042
110,Q. Cephus,WR,DET,9.0,128.0,42.0,2021,-86.0,182.0,99.0,29.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,139.9241770608042
111,Z. Pascal,WR,IND,14.0,128.0,75.0,2021,-53.0,182.0,99.0,29.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,139.9241770608042
112,N. Collins,WR,HOU,10.0,126.0,67.0,2021,-59.0,182.0,99.0,27.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,138.47023573364754
113,S. Watkins,WR,BAL,8.0,125.0,56.0,2021,-69.0,182.0,99.0,26.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,137.74326507006919
114,D. Robinson,WR,KC,12.0,124.0,57.0,2021,-67.0,182.0,99.0,25.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,137.01629440649083
115,Q. Watkins,WR,PHI,14.0,124.0,95.0,2021,-29.0,182.0,99.0,25.0,171.67361111111111,2232.613005050504,-75.90277777777777,5944.577894327896,95.77083333333333,0.7269706635783421,137.01629440649083
116,T. Hunter,"WR, DB - JAX(7)",,,0.0,0.0,2021,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,
117,Tampa Bay. Buccaneers,DEF,TB,11.0,107.0,117.0,2022,10.0,101.0,81.0,26.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,106.31580657890068
118,New Orleans. Saints,DEF,NO,14.0,103.0,124.0,2022,21.0,101.0,81.0,22.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,102.70677424810029
119,Los Angeles. Rams,DEF,LAR,7.0,101.0,113.0,2022,12.0,101.0,81.0,20.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,100.9022580827001
120,Green Bay. Packers,DEF,GB,14.0,100.0,129.0,2022,29.0,101.0,81.0,19.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,100.0
121,Los Angeles. Chargers,DEF,LAC,8.0,97.0,115.0,2022,18.0,101.0,81.0,16.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,97.29322575189971
122,Cleveland. Browns,DEF,CLE,9.0,97.0,120.0,2022,23.0,101.0,81.0,16.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,97.29322575189971
123,Cincinnati. Bengals,DEF,CIN,10.0,97.0,125.0,2022,28.0,101.0,81.0,16.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,97.29322575189971
124,Carolina. Panthers,DEF,CAR,13.0,96.0,120.0,2022,24.0,101.0,81.0,15.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,96.39096766919963
125,Arizona. Cardinals,DEF,ARI,13.0,96.0,115.0,2022,19.0,101.0,81.0,15.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,96.39096766919963
126,Denver. Broncos,DEF,DEN,9.0,95.0,117.0,2022,22.0,101.0,81.0,14.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,95.48870958649952
127,Las Vegas. Raiders,DEF,LV,6.0,94.0,88.0,2022,-6.0,101.0,81.0,13.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,94.58645150379942
128,Washington. Commanders,DEF,WAS,14.0,93.0,124.0,2022,31.0,101.0,81.0,12.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,93.68419342109934
129,M. Prater,K,ARI,13.0,105.0,95.0,2022,-10.0,92.5,83.0,22.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,104.73373120562378
130,Y. Koo,K,ATL,14.0,94.0,145.0,2022,51.0,92.5,83.0,11.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,94.0040964429904
131,C. McLaughlin,K,IND,14.0,92.0,132.0,2022,40.0,92.5,83.0,9.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,92.05325375887524
132,B. McManus,K,DEN,9.0,91.0,125.0,2022,34.0,92.5,83.0,8.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,91.07783241681767
133,J. Slye,K,WAS,14.0,88.0,106.0,2022,18.0,92.5,83.0,5.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,88.15156839064493
134,R. Succop,K,TB,11.0,87.0,125.0,2022,38.0,92.5,83.0,4.0,94.16666666666667,53.80141843971625,11.041666666666666,2135.1471631205677,105.20833333333333,0.9754213420575798,87.17614704858735
