,name,position,team,bye_week,points,points_actual,year,difference,pos_med,pos_min,var,pred_mean,pred_variance,mean_error,var_error,mean_actual,lambda,adjusted_pts
0,Washington. Commanders,DEF,WAS,9.0,108.0,101.0,2021,-7.0,101.0,81.0,27.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,107.21806466160076
1,Pittsburgh. Steelers,DEF,PIT,7.0,101.0,128.0,2021,27.0,101.0,81.0,20.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,100.9022580827001
2,Minnesota. Vikings,DEF,MIN,7.0,100.0,135.0,2021,35.0,101.0,81.0,19.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,100.0
3,Arizona. Cardinals,DEF,ARI,12.0,97.0,145.0,2021,48.0,101.0,81.0,16.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,97.29322575189971
4,Kansas City. Chiefs,DEF,KC,12.0,96.0,147.0,2021,51.0,101.0,81.0,15.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,96.39096766919963
5,New York. Giants,DEF,NYG,10.0,93.0,99.0,2021,6.0,101.0,81.0,12.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,93.68419342109934
6,Tennessee. Titans,DEF,TEN,13.0,92.0,134.0,2021,42.0,101.0,81.0,11.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,92.78193533839924
7,Carolina. Panthers,DEF,CAR,13.0,87.0,102.0,2021,15.0,101.0,81.0,6.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,88.27064492489876
8,Cincinnati. Bengals,DEF,CIN,10.0,85.0,125.0,2021,40.0,101.0,81.0,4.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,86.46612875949857
9,New York. Jets,DEF,NYJ,6.0,81.0,70.0,2021,-11.0,101.0,81.0,0.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,82.85709642869818
10,Las Vegas. Raiders,DEF,LV,8.0,81.0,76.0,2021,-5.0,101.0,81.0,0.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,82.85709642869818
11,Atlanta. Falcons,DEF,ATL,6.0,81.0,76.0,2021,-5.0,101.0,81.0,0.0,100.0,62.25531914893616,26.520833333333332,574.6804078014185,126.52083333333333,0.9022580827000956,82.85709642869818
