,date,category,last_modified,week,season,season_type,sport,game_id,updated_at,player_id,team_x,company,opponent,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,cmp_pct,fum_lost,gp,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,pts_half_ppr,pts_ppr,pts_std,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_rb,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,bonus_rec_wr,bonus_rec_te,def_kr_td,fgm_40_49,fgm_50p,fgm_yds,fgmiss_40_49,fgmiss_50p,xpm,xpmiss,blk_kick,def_fum_td,fum_rec,int,pass_int_td,pts_allow_0,sack,safe,yds_allow_0_100,pr_td,idp_sack,idp_safe,idp_tkl,idp_tkl_ast,idp_tkl_solo,fantasy_positions,first_name,injury_body_part,injury_notes,injury_start_date,injury_status,last_name,news_updated,position,team_y,team_abbr,team_changed_at,years_exp,metadata.channel_id,metadata.rookie_year,metadata,metadata.injury_override_regular_2020_5,metadata.source_id,metadata.years_exp_shift,metadata.injury_override_off_2021_0,metadata.override_active,metadata.injury_override_regular_2020_10,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2021_3,metadata.injury_override_regular_2021_4,pos_med,pos_min,var,pred_variance,prev_mean_error,prev_var_error,prev_mean_actual,lambda,adjusted_pts
10,,proj,1724831472985,,2024,regular,nfl,season,2024-08-28 07:51:12.985,TB,TB,rotowire,,205.2,999.0,278.0,210.2,281.0,214.2,214.2,212.2,207.2,999.0,211.2,,,1.0,,,,,,,,88.0,88.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,9.0,13.0,1.0,1.0,40.0,1.0,1.0,,,,,,,['DEF'],Tampa Bay,,,,,Buccaneers,,DEF,TB,,,,,,,,,,,,,,,,,,,93.5,85.0,3.0,4598.100377258566,47.333333333333336,997.3623188405799,140.08333333333334,0.17824483389655815,130.79974823455427
11,,proj,1724831472980,,2024,regular,nfl,season,2024-08-28 07:51:12.980,WAS,WAS,rotowire,,213.7,999.0,327.0,207.7,320.0,213.7,214.7,214.7,210.7,999.0,212.7,,,1.0,,,,,,,,85.0,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,9.0,12.0,1.0,1.0,39.0,1.0,1.0,,,,,,,['DEF'],Washington,,,,,Commanders,,DEF,WAS,,,,,,,,,,,,,,,,,,,93.5,85.0,0.0,4598.100377258566,47.333333333333336,997.3623188405799,140.08333333333334,0.17824483389655815,130.2650137328646
12,,proj,1724831472990,,2024,regular,nfl,season,2024-08-28 07:51:12.990,SEA,SEA,rotowire,,209.9,999.0,354.0,215.9,354.0,213.9,216.9,217.9,215.9,999.0,214.9,,,1.0,,,,,,,,91.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,9.0,13.0,1.0,1.0,43.0,1.0,1.0,,,,,,,['DEF'],Seattle,,,,,Seahawks,,DEF,SEA,,,,,,,,,,,,,,,,,,,93.5,85.0,6.0,4598.100377258566,47.333333333333336,997.3623188405799,140.08333333333334,0.17824483389655815,131.33448273624396
13,,proj,1724831463069,,2024,regular,nfl,season,2024-08-28 07:51:03.069,1308,,rotowire,,999.0,999.0,999.0,504.0,999.0,504.0,289.0,999.0,999.0,999.0,289.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],Jamize,,,,,Olawale,1615436704534.0,FB,,,,10.0,1116852730262978560,,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
14,,proj,1724831466728,,2024,regular,nfl,season,2024-08-28 07:51:06.728,5355,,rotowire,,999.0,999.0,446.0,446.0,455.3,446.0,299.0,999.0,356.0,999.0,299.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],Nick,,,,,Sharga,,FB,,,,4.0,1116853090167816192,,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
15,,proj,1724831469606,,2024,regular,nfl,season,2024-08-28 07:51:09.606,7216,,rotowire,,546.9,999.0,565.0,999.0,462.0,999.0,329.0,999.0,596.5,999.0,329.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['TE'],Giovanni,Knee,,,Questionable,Ricci,1724369155822.0,FB,,,,4.0,1113708839510765568,2020,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
16,,proj,1724831463067,,2024,regular,nfl,season,2024-08-28 07:51:03.067,1305,,rotowire,,999.0,999.0,588.0,627.0,627.0,627.0,373.0,999.0,353.0,999.0,373.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],Patrick,,,,,DiMarco,1599606612978.0,FB,,,,11.0,1116852730049069056,,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
17,,proj,1724831470593,,2024,regular,nfl,season,2024-08-28 07:51:10.593,7808,,rotowire,,999.0,999.0,694.7,999.0,999.0,999.0,388.0,999.0,655.7,999.0,388.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['TE'],Ben,Undisclosed,,,Questionable,Mason,1723592106159.0,FB,,,,3.0,1113708693091807232,2021,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
18,,proj,1724831464791,,2024,regular,nfl,season,2024-08-28 07:51:04.791,3832,MIN,rotowire,,401.5,999.0,610.0,632.0,700.4,632.0,391.8,666.5,661.3,999.0,391.8,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],C.J.,,,,,Ham,1703505603801.0,FB,MIN,,,8.0,1113708710942765056,2016,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
19,,proj,1724831468295,,2024,regular,nfl,season,2024-08-28 07:51:08.295,6379,CHI,rotowire,,999.0,999.0,622.0,626.0,622.8,626.0,445.8,999.0,698.7,999.0,445.8,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],Khari,,,,,Blasingame,1724809259967.0,FB,,,,5.0,1113708765640683520,2019,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
20,,proj,1724831470668,,2024,regular,nfl,season,2024-08-28 07:51:10.668,7852,,rotowire,,497.1,999.0,999.0,999.0,999.0,999.0,449.5,999.0,999.0,999.0,449.5,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],Tory,,,,,Carter,1670365206702.0,FB,,,,1.0,1116853423371714560,,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
21,,proj,1724831469767,,2024,regular,nfl,season,2024-08-28 07:51:09.767,7315,,rotowire,,999.0,999.0,999.0,999.0,999.0,999.0,464.0,999.0,678.2,999.0,464.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],Bobby,,,,,Holly,1599279055321.0,FB,,,,2.0,1116853367402921984,,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
22,,proj,1724831460681,,2024,regular,nfl,season,2024-08-28 07:51:00.681,11088,,rotowire,,514.7,999.0,524.7,621.0,610.0,621.0,475.5,999.0,393.4,999.0,475.5,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['RB'],Monte,Undisclosed,,,NA,Pottebaum,1690752944697.0,FB,,,,1.0,1116852650265018368,,,,,,,,,,,,,,,,,,4598.100377258566,2.7399999999999998,145.693,13.2375,0.03071234103459115,
